a	b	program	observed	valueObserved	theo	valueTheo	cov	true	valueTrue
childB	childD	plink	J9	0.503	J9	0.25	10.0	J9	0.4936353306173284
childB	childD	plink	J9	0.504	J9	0.25	10.0	J9	0.4936353306173284
childB	childD	plink	J9	0.5037	J9	0.25	10.0	J9	0.4936353306173284
childB	childD	plink	J9	0.5039	J9	0.25	10.0	J9	0.4936353306173284
childB	childD	plink	J9	0.505	J9	0.25	10.0	J9	0.4936353306173284
childB	childD	plink	J9	0.5051	J9	0.25	10.0	J9	0.4936353306173284
childB	childD	plink	J9	0.5048	J9	0.25	10.0	J9	0.4936353306173284
childB	childD	plink	J9	0.5045	J9	0.25	10.0	J9	0.4936353306173284
childB	childD	plink	J9	0.5046	J9	0.25	10.0	J9	0.4936353306173284
childB	childD	plink	J9	0.5046	J9	0.25	10.0	J9	0.4936353306173284
childB	childD	plink	J9	0.5044	J9	0.25	10.0	J9	0.4936353306173284
childB	childD	plink	J9	0.503	J9	0.25	10.0	J9	0.4936353306173284
childB	childD	plink	J9	0.5037	J9	0.25	10.0	J9	0.4936353306173284
childB	childD	plink	J9	0.5048	J9	0.25	10.0	J9	0.4936353306173284
childB	childD	plink	J9	0.5039	J9	0.25	10.0	J9	0.4936353306173284
childB	childD	plink	J9	0.5046	J9	0.25	10.0	J9	0.4936353306173284
childB	childD	plink	J9	0.504	J9	0.25	10.0	J9	0.4936353306173284
childB	childD	plink	J9	1.0	J9	0.5	1.0	J9	0.4936353306173284
childB	childD	plink	J9	0.8901	J9	0.5	2.0	J9	0.4936353306173284
childB	childD	plink	J9	1.0	J9	0.5	1.0	J9	0.4936353306173284
childB	childD	plink	J9	0.905	J9	0.5	2.0	J9	0.4936353306173284
childB	childD	plink	J9	0.9067	J9	0.5	1.0	J9	0.4936353306173284
childB	childD	plink	J9	0.885	J9	0.5	2.0	J9	0.4936353306173284
childB	childD	plink	J9	0.5037	J9	0.5	10.0	J9	0.4936353306173284
childB	childD	plink	J9	1.0	J9	0.5	1.0	J9	0.4936353306173284
childB	childD	plink	J9	0.9015	J9	0.5	2.0	J9	0.4936353306173284
childB	childD	plink	J9	1.0	J9	0.5	1.0	J9	0.4936353306173284
childB	childD	plink	J9	0.8909	J9	0.5	2.0	J9	0.4936353306173284
childB	childD	plink	J9	1.0	J9	0.5	1.0	J9	0.4936353306173284
childB	childD	plink	J9	0.9043	J9	0.5	2.0	J9	0.4936353306173284
childB	childD	plink	J9	1.0	J9	0.5	1.0	J9	0.4936353306173284
childB	childD	plink	J9	0.8868	J9	0.5	2.0	J9	0.4936353306173284
childB	childD	plink	J9	0.5035	J9	0.5	10.0	J9	0.4936353306173284
childB	childD	plink	J9	1.0	J9	0.5	1.0	J9	0.4936353306173284
childB	childD	plink	J9	0.8926	J9	0.5	2.0	J9	0.4936353306173284
childB	childD	plink	J9	1.0	J9	0.5	1.0	J9	0.4936353306173284
childB	childD	plink	J9	0.9009	J9	0.5	2.0	J9	0.4936353306173284
childB	childD	plink	J9	1.0	J9	0.5	1.0	J9	0.4936353306173284
childB	childD	plink	J9	0.8897	J9	0.5	2.0	J9	0.4936353306173284
childB	childD	plink	J9	1.0	J9	0.5	1.0	J9	0.4936353306173284
childB	childD	plink	J9	0.9045	J9	0.5	2.0	J9	0.4936353306173284
childB	childD	plink	J9	1.0	J9	0.5	1.0	J9	0.4936353306173284
childB	childD	plink	J9	0.8886	J9	0.5	2.0	J9	0.4936353306173284
childB	childD	plink	J9	0.5039	J9	0.5	10.0	J9	0.4936353306173284
childB	childD	plink	J9	1.0	J9	0.5	1.0	J9	0.4936353306173284
childB	childD	plink	J9	0.8822	J9	0.5	2.0	J9	0.4936353306173284
childB	childD	plink	J9	1.0	J9	0.5	1.0	J9	0.4936353306173284
childB	childD	plink	J9	0.8882	J9	0.5	2.0	J9	0.4936353306173284
