a	b	program	observed	valueObserved	theo	valueTheo	cov	true	valueTrue
childD	childE	plink	J9	0.7575	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	plink	J9	0.758	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	plink	J9	0.7573	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	plink	J9	0.7565	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	plink	J9	0.7572	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	plink	J9	0.7578	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	plink	J9	0.7568	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	plink	J9	0.7566	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	plink	J9	0.758	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	plink	J9	0.757	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	plink	J9	0.7582	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	plink	J9	0.7563	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	plink	J9	0.7574	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	plink	J9	0.7577	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	plink	J9	0.7587	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	plink	J9	0.7566	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	plink	J9	0.757	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	ngsrelate_trueFreq	J9	0.256695	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	ngsrelate_trueFreq	J9	0.256006	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	ngsrelate_trueFreq	J9	0.255824	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	ngsrelate_trueFreq	J9	0.257126	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	ngsrelate_trueFreq	J9	0.25721	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	ngsrelate_trueFreq	J9	0.256871	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	ngsrelate_trueFreq	J9	0.256604	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	ngsrelate_trueFreq	J9	0.256139	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	ngsrelate_trueFreq	J9	0.256942	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	ngsrelate_trueFreq	J9	0.257783	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	ngsrelate_trueFreq	J9	0.256669	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	ngsrelate_trueFreq	J9	0.256171	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	ngsrelate_trueFreq	J9	0.256972	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	ngsrelate_trueFreq	J9	0.257827	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	ngsrelate_trueFreq	J9	0.256701	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	ngsrelate_trueFreq	J9	0.258193	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	ngsrelate_trueFreq	J9	0.257167	J9	1.0	10.0	J9	0.7393683479827416
childD	childE	plink	J9	1.0	J9	0.75	1.0	J9	0.7393683479827416
childD	childE	plink	J9	1.0	J9	0.75	2.0	J9	0.7393683479827416
childD	childE	plink	J9	1.0	J9	0.75	1.0	J9	0.7393683479827416
childD	childE	plink	J9	1.0	J9	0.75	2.0	J9	0.7393683479827416
childD	childE	plink	J9	1.0	J9	0.75	1.0	J9	0.7393683479827416
childD	childE	plink	J9	1.0	J9	0.75	2.0	J9	0.7393683479827416
childD	childE	plink	J9	0.7567	J9	0.75	10.0	J9	0.7393683479827416
childD	childE	plink	J9	1.0	J9	0.75	1.0	J9	0.7393683479827416
childD	childE	plink	J9	1.0	J9	0.75	2.0	J9	0.7393683479827416
childD	childE	plink	J9	1.0	J9	0.75	1.0	J9	0.7393683479827416
childD	childE	plink	J9	1.0	J9	0.75	2.0	J9	0.7393683479827416
