a	b	program	observed	valueObserved	theo	valueTheo	cov	true	valueTrue
childA	childB	plink	J9	0.2536	J9	0.0	10.0	J9	0.2433226886026333
childA	childB	plink	J9	0.2538	J9	0.0	10.0	J9	0.2433226886026333
childA	childB	plink	J9	0.2536	J9	0.0	10.0	J9	0.2433226886026333
childA	childB	plink	J9	0.2533	J9	0.0	10.0	J9	0.2433226886026333
childA	childB	plink	J9	0.2532	J9	0.0	10.0	J9	0.2433226886026333
childA	childB	plink	J9	0.2545	J9	0.0	10.0	J9	0.2433226886026333
childA	childB	plink	J9	0.2541	J9	0.0	10.0	J9	0.2433226886026333
childA	childB	plink	J9	0.2535	J9	0.0	10.0	J9	0.2433226886026333
childA	childB	plink	J9	0.2536	J9	0.0	10.0	J9	0.2433226886026333
childA	childB	plink	J9	0.2538	J9	0.0	10.0	J9	0.2433226886026333
childA	childB	plink	J9	0.2535	J9	0.0	10.0	J9	0.2433226886026333
childA	childB	plink	J9	0.2535	J9	0.0	10.0	J9	0.2433226886026333
childA	childB	plink	J9	0.2537	J9	0.0	10.0	J9	0.2433226886026333
childA	childB	plink	J9	0.2535	J9	0.0	10.0	J9	0.2433226886026333
childA	childB	plink	J9	0.2535	J9	0.0	10.0	J9	0.2433226886026333
childA	childB	plink	J9	0.2546	J9	0.0	10.0	J9	0.2433226886026333
childA	childB	plink	J9	0.2536	J9	0.0	10.0	J9	0.2433226886026333
childA	childB	plink	J9	0.7457	J9	0.25	1.0	J9	0.2433226886026333
childA	childB	plink	J9	0.5727	J9	0.25	2.0	J9	0.2433226886026333
childA	childB	plink	J9	0.7598	J9	0.25	1.0	J9	0.2433226886026333
childA	childB	plink	J9	0.5798	J9	0.25	2.0	J9	0.2433226886026333
childA	childB	plink	J9	0.6889	J9	0.25	1.0	J9	0.2433226886026333
childA	childB	plink	J9	0.5693	J9	0.25	2.0	J9	0.2433226886026333
childA	childB	plink	J9	0.2533	J9	0.25	10.0	J9	0.2433226886026333
childA	childB	plink	J9	0.7442	J9	0.25	1.0	J9	0.2433226886026333
childA	childB	plink	J9	0.5855	J9	0.25	2.0	J9	0.2433226886026333
childA	childB	plink	J9	0.7528	J9	0.25	1.0	J9	0.2433226886026333
childA	childB	plink	J9	0.5791	J9	0.25	2.0	J9	0.2433226886026333
childA	childB	plink	J9	0.7581	J9	0.25	1.0	J9	0.2433226886026333
childA	childB	plink	J9	0.5948	J9	0.25	2.0	J9	0.2433226886026333
childA	childB	plink	J9	0.7502	J9	0.25	1.0	J9	0.2433226886026333
childA	childB	plink	J9	0.581	J9	0.25	2.0	J9	0.2433226886026333
childA	childB	plink	J9	0.2532	J9	0.25	10.0	J9	0.2433226886026333
childA	childB	plink	J9	0.7617	J9	0.25	1.0	J9	0.2433226886026333
childA	childB	plink	J9	0.5722	J9	0.25	2.0	J9	0.2433226886026333
childA	childB	plink	J9	0.7657	J9	0.25	1.0	J9	0.2433226886026333
childA	childB	plink	J9	0.5808	J9	0.25	2.0	J9	0.2433226886026333
childA	childB	plink	J9	0.7714	J9	0.25	1.0	J9	0.2433226886026333
childA	childB	plink	J9	0.5939	J9	0.25	2.0	J9	0.2433226886026333
childA	childB	plink	J9	0.7648	J9	0.25	1.0	J9	0.2433226886026333
childA	childB	plink	J9	0.5684	J9	0.25	2.0	J9	0.2433226886026333
childA	childB	plink	J9	0.7774	J9	0.25	1.0	J9	0.2433226886026333
childA	childB	plink	J9	0.5766	J9	0.25	2.0	J9	0.2433226886026333
childA	childB	plink	J9	0.2535	J9	0.25	10.0	J9	0.2433226886026333
childA	childB	plink	J9	0.7468	J9	0.25	1.0	J9	0.2433226886026333
childA	childB	plink	J9	0.581	J9	0.25	2.0	J9	0.2433226886026333
childA	childB	plink	J9	0.7467	J9	0.25	1.0	J9	0.2433226886026333
childA	childB	plink	J9	0.5825	J9	0.25	2.0	J9	0.2433226886026333
childA	childB	plink	J9	0.7604	J9	0.25	1.0	J9	0.2433226886026333
childA	childB	plink	J9	0.5684	J9	0.25	2.0	J9	0.2433226886026333
childA	childB	plink	J9	0.7571	J9	0.25	1.0	J9	0.2433226886026333
childA	childB	plink	J9	0.5833	J9	0.25	2.0	J9	0.2433226886026333
childA	childB	plink	J9	0.7308	J9	0.25	1.0	J9	0.2433226886026333
childA	childB	plink	J9	0.582	J9	0.25	2.0	J9	0.2433226886026333
childA	childB	plink	J9	0.7563	J9	0.25	1.0	J9	0.2433226886026333
childA	childB	plink	J9	0.5945	J9	0.25	2.0	J9	0.2433226886026333
childA	childB	plink	J9	0.7501	J9	0.25	1.0	J9	0.2433226886026333
childA	childB	plink	J9	0.5721	J9	0.25	2.0	J9	0.2433226886026333
childA	childB	lcmlkin	J9	0.469	J9	0.25	1.0	J9	0.2433226886026333
childA	childB	lcmlkin	J9	0.453	J9	0.25	2.0	J9	0.2433226886026333
childA	childB	lcmlkin	J9	0.515	J9	0.25	1.0	J9	0.2433226886026333
