a	b	program	observed	valueObserved	theo	valueTheo	cov	true	valueTrue
childF	founder0	plink	J9	0.5029	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	plink	J9	0.5033	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	plink	J9	0.5035	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	plink	J9	0.5032	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	plink	J9	0.5038	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	plink	J9	0.5035	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	plink	J9	0.5041	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	plink	J9	0.5032	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	plink	J9	0.5049	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	plink	J9	0.5035	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	plink	J9	0.5038	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	plink	J9	0.5015	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	plink	J9	0.5026	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	plink	J9	0.5033	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	plink	J9	0.5037	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	plink	J9	0.5052	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	plink	J9	0.5037	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	ngsrelate_trueFreq	J9	0.995269	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	ngsrelate_trueFreq	J9	0.995212	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	ngsrelate_trueFreq	J9	0.995064	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	ngsrelate_trueFreq	J9	0.994852	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	ngsrelate_trueFreq	J9	0.995073	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	ngsrelate_trueFreq	J9	0.995808	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	ngsrelate_trueFreq	J9	0.995235	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	ngsrelate_trueFreq	J9	0.995454	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	ngsrelate_trueFreq	J9	0.995151	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	ngsrelate_trueFreq	J9	0.995049	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	ngsrelate_trueFreq	J9	0.995397	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	ngsrelate_trueFreq	J9	0.9951	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	ngsrelate_trueFreq	J9	0.995315	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	ngsrelate_trueFreq	J9	0.995219	J9	1.0	10.0	J9	0.4900198374731585
childF	founder0	ngsrelate_trueFreq	J9	0.995146	J9	1.0	10.0	J9	0.4900198374731585
