a	b	program	observed	valueObserved	theo	valueTheo	cov	true	valueTrue
childB	childC	plink	J9	1.0	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	plink	J9	0.883	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	plink	J9	1.0	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	plink	J9	0.8983	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	plink	J9	1.0	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	plink	J9	0.8961	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	plink	J9	0.5065	J9	0.5	10.0	J9	0.4956841100656913
childB	childC	plink	J9	1.0	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	plink	J9	0.9056	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	plink	J9	1.0	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	plink	J9	0.895	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	plink	J9	1.0	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	plink	J9	0.9087	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	plink	J9	1.0	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	plink	J9	0.8934	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	plink	J9	0.5068	J9	0.5	10.0	J9	0.4956841100656913
childB	childC	plink	J9	1.0	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	plink	J9	0.8809	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	plink	J9	1.0	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	plink	J9	0.9072	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	plink	J9	1.0	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	plink	J9	0.8883	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	plink	J9	1.0	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	plink	J9	0.8944	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	plink	J9	1.0	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	plink	J9	0.8871	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	plink	J9	0.5061	J9	0.5	10.0	J9	0.4956841100656913
childB	childC	plink	J9	1.0	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	plink	J9	0.8885	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	plink	J9	1.0	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	plink	J9	0.8867	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	plink	J9	1.0	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	plink	J9	0.8952	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	plink	J9	1.0	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	plink	J9	0.9129	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	plink	J9	1.0	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	plink	J9	0.8812	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	plink	J9	1.0	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	plink	J9	0.8943	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	plink	J9	1.0	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	plink	J9	0.8816	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	lcmlkin	J9	0.863	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	lcmlkin	J9	0.836	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	lcmlkin	J9	0.879	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	lcmlkin	J9	0.836	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	lcmlkin	J9	0.872	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	lcmlkin	J9	0.831	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	lcmlkin	J9	0.915	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	lcmlkin	J9	0.82	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	lcmlkin	J9	0.868	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	lcmlkin	J9	0.823	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	lcmlkin	J9	0.869	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	lcmlkin	J9	0.827	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	lcmlkin	J9	0.869	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	lcmlkin	J9	0.843	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	lcmlkin	J9	0.882	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	lcmlkin	J9	0.841	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	lcmlkin	J9	0.871	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	lcmlkin	J9	0.836	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	lcmlkin	J9	0.861	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	lcmlkin	J9	0.831	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	lcmlkin	J9	0.862	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	lcmlkin	J9	0.832	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.568538	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.550485	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.571424	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.55316	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.572971	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.557017	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.570181	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.561821	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.591377	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.562886	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.579129	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.562371	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.569955	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.560134	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.584846	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.55462	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.575332	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.556462	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.578153	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.558514	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.579117	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.559813	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.573086	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.554871	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.582259	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.557948	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.578619	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.565508	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.575662	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.560875	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.584493	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.565038	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.565454	J9	0.5	1.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.555126	J9	0.5	2.0	J9	0.4956841100656913
childB	childC	plink	J9	0.5068	J9	1.0	10.0	J9	0.4956841100656913
childB	childC	plink	J9	0.5069	J9	1.0	10.0	J9	0.4956841100656913
childB	childC	plink	J9	0.5059	J9	1.0	10.0	J9	0.4956841100656913
childB	childC	plink	J9	0.5065	J9	1.0	10.0	J9	0.4956841100656913
childB	childC	plink	J9	0.506	J9	1.0	10.0	J9	0.4956841100656913
childB	childC	plink	J9	0.5052	J9	1.0	10.0	J9	0.4956841100656913
childB	childC	plink	J9	0.506	J9	1.0	10.0	J9	0.4956841100656913
childB	childC	plink	J9	0.5054	J9	1.0	10.0	J9	0.4956841100656913
childB	childC	plink	J9	0.5055	J9	1.0	10.0	J9	0.4956841100656913
childB	childC	plink	J9	0.5066	J9	1.0	10.0	J9	0.4956841100656913
childB	childC	plink	J9	0.5058	J9	1.0	10.0	J9	0.4956841100656913
childB	childC	plink	J9	0.5072	J9	1.0	10.0	J9	0.4956841100656913
childB	childC	plink	J9	0.5057	J9	1.0	10.0	J9	0.4956841100656913
childB	childC	plink	J9	0.5072	J9	1.0	10.0	J9	0.4956841100656913
childB	childC	plink	J9	0.5071	J9	1.0	10.0	J9	0.4956841100656913
childB	childC	plink	J9	0.5063	J9	1.0	10.0	J9	0.4956841100656913
childB	childC	plink	J9	0.5053	J9	1.0	10.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.788896	J9	1.0	10.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.788571	J9	1.0	10.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.789926	J9	1.0	10.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.7885	J9	1.0	10.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.788939	J9	1.0	10.0	J9	0.4956841100656913
childB	childC	ngsrelate_trueFreq	J9	0.788779	J9	1.0	10.0	J9	0.4956841100656913
