a	b	program	observed	valueObserved	theo	valueTheo	cov	true	valueTrue
childA	childD	plink	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	plink	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	plink	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	plink	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	plink	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	plink	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	plink	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	plink	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	plink	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	plink	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	plink	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	plink	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	plink	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	plink	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	plink	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	plink	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	plink	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	ngsrelate_trueFreq	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	ngsrelate_trueFreq	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	ngsrelate_trueFreq	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	ngsrelate_trueFreq	J9	5.4e-05	J9	0.5	10.0	J9	0.0
childA	childD	ngsrelate_trueFreq	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	ngsrelate_trueFreq	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	ngsrelate_trueFreq	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	ngsrelate_trueFreq	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	ngsrelate_trueFreq	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	ngsrelate_trueFreq	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	ngsrelate_trueFreq	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	ngsrelate_trueFreq	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	ngsrelate_trueFreq	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	ngsrelate_trueFreq	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	ngsrelate_trueFreq	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	ngsrelate_trueFreq	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	ngsrelate_trueFreq	J9	0.0	J9	0.5	10.0	J9	0.0
childA	childD	plink	J9	0.6887	J9	0.0	1.0	J9	0.0
childA	childD	plink	J9	0.4355	J9	0.0	2.0	J9	0.0
childA	childD	plink	J9	0.6641	J9	0.0	1.0	J9	0.0
childA	childD	plink	J9	0.4449	J9	0.0	2.0	J9	0.0
childA	childD	plink	J9	0.664	J9	0.0	1.0	J9	0.0
childA	childD	plink	J9	0.4381	J9	0.0	2.0	J9	0.0
childA	childD	plink	J9	0.0	J9	0.0	10.0	J9	0.0
childA	childD	plink	J9	0.6554	J9	0.0	1.0	J9	0.0
childA	childD	plink	J9	0.4311	J9	0.0	2.0	J9	0.0
childA	childD	plink	J9	0.6971	J9	0.0	1.0	J9	0.0
childA	childD	plink	J9	0.4358	J9	0.0	2.0	J9	0.0
childA	childD	plink	J9	0.6737	J9	0.0	1.0	J9	0.0
childA	childD	plink	J9	0.4473	J9	0.0	2.0	J9	0.0
childA	childD	plink	J9	0.6716	J9	0.0	1.0	J9	0.0
childA	childD	plink	J9	0.4278	J9	0.0	2.0	J9	0.0
childA	childD	plink	J9	0.0	J9	0.0	10.0	J9	0.0
childA	childD	plink	J9	0.6762	J9	0.0	1.0	J9	0.0
childA	childD	plink	J9	0.4325	J9	0.0	2.0	J9	0.0
childA	childD	plink	J9	0.6766	J9	0.0	1.0	J9	0.0
childA	childD	plink	J9	0.4306	J9	0.0	2.0	J9	0.0
childA	childD	plink	J9	0.685	J9	0.0	1.0	J9	0.0
childA	childD	plink	J9	0.4366	J9	0.0	2.0	J9	0.0
childA	childD	plink	J9	0.6736	J9	0.0	1.0	J9	0.0
childA	childD	plink	J9	0.4404	J9	0.0	2.0	J9	0.0
childA	childD	plink	J9	0.6966	J9	0.0	1.0	J9	0.0
childA	childD	plink	J9	0.4334	J9	0.0	2.0	J9	0.0
childA	childD	plink	J9	0.0	J9	0.0	10.0	J9	0.0
childA	childD	plink	J9	0.6853	J9	0.0	1.0	J9	0.0
childA	childD	plink	J9	0.4159	J9	0.0	2.0	J9	0.0
childA	childD	plink	J9	0.6982	J9	0.0	1.0	J9	0.0
childA	childD	plink	J9	0.4192	J9	0.0	2.0	J9	0.0
childA	childD	plink	J9	0.6907	J9	0.0	1.0	J9	0.0
childA	childD	plink	J9	0.4236	J9	0.0	2.0	J9	0.0
childA	childD	plink	J9	0.6841	J9	0.0	1.0	J9	0.0
childA	childD	plink	J9	0.4261	J9	0.0	2.0	J9	0.0
childA	childD	plink	J9	0.6792	J9	0.0	1.0	J9	0.0
childA	childD	plink	J9	0.4366	J9	0.0	2.0	J9	0.0
childA	childD	plink	J9	0.6886	J9	0.0	1.0	J9	0.0
childA	childD	plink	J9	0.4324	J9	0.0	2.0	J9	0.0
childA	childD	plink	J9	0.6691	J9	0.0	1.0	J9	0.0
childA	childD	plink	J9	0.4335	J9	0.0	2.0	J9	0.0
childA	childD	lcmlkin	J9	0.238	J9	0.0	1.0	J9	0.0
childA	childD	lcmlkin	J9	0.148	J9	0.0	2.0	J9	0.0
childA	childD	lcmlkin	J9	0.25	J9	0.0	1.0	J9	0.0
childA	childD	lcmlkin	J9	0.162	J9	0.0	2.0	J9	0.0
childA	childD	lcmlkin	J9	0.253	J9	0.0	1.0	J9	0.0
childA	childD	lcmlkin	J9	0.147	J9	0.0	2.0	J9	0.0
childA	childD	lcmlkin	J9	0.255	J9	0.0	1.0	J9	0.0
childA	childD	lcmlkin	J9	0.138	J9	0.0	2.0	J9	0.0
childA	childD	lcmlkin	J9	0.245	J9	0.0	1.0	J9	0.0
childA	childD	lcmlkin	J9	0.15	J9	0.0	2.0	J9	0.0
childA	childD	lcmlkin	J9	0.24	J9	0.0	1.0	J9	0.0
childA	childD	lcmlkin	J9	0.151	J9	0.0	2.0	J9	0.0
childA	childD	lcmlkin	J9	0.242	J9	0.0	1.0	J9	0.0
childA	childD	lcmlkin	J9	0.142	J9	0.0	2.0	J9	0.0
childA	childD	lcmlkin	J9	0.239	J9	0.0	1.0	J9	0.0
childA	childD	lcmlkin	J9	0.145	J9	0.0	2.0	J9	0.0
childA	childD	lcmlkin	J9	0.245	J9	0.0	1.0	J9	0.0
childA	childD	lcmlkin	J9	0.152	J9	0.0	2.0	J9	0.0
childA	childD	lcmlkin	J9	0.248	J9	0.0	1.0	J9	0.0
childA	childD	lcmlkin	J9	0.155	J9	0.0	2.0	J9	0.0
