a	b	J9	J8	J7	pi_HAT	nbSNP	cov	deamination	kinship	degree	program	RMSE
childA	childE	0.814	0.184	0.002	0.094	99997	8	no_deam	A	2	lcmlkin	0.2572003110418026
childA	childF	0.822	0.173	0.005	0.092	99996	8	no_deam	A	2	lcmlkin	0.2649767285379353
childB	childD	0.78	0.219	0.002	0.111	99995	8	no_deam	A	2	lcmlkin	0.22903056564572338
childA	childE	0.818	0.176	0.006	0.094	99647	4	no_deam	A	2	lcmlkin	0.2621297388698962
childA	childF	0.815	0.184	0.001	0.093	99663	4	no_deam	A	2	lcmlkin	0.25760564176016537
childB	childD	0.791	0.206	0.003	0.106	99640	4	no_deam	A	2	lcmlkin	0.23883467084994175
childA	childE	0.872	0.124	0.004	0.066	70099	1	no_deam	A	2	lcmlkin	0.3053828198616724
childA	childF	0.879	0.104	0.016	0.068	67987	1	no_deam	A	2	lcmlkin	0.316603326998733
childB	childD	0.867	0.105	0.028	0.081	68184	1	no_deam	A	2	lcmlkin	0.31171461306778675
childA	childE	0.81	0.186	0.004	0.097	99997	20	no_deam	A	2	lcmlkin	0.25476263462289755
childA	childF	0.819	0.18	0.002	0.092	99997	20	no_deam	A	2	lcmlkin	0.2608735325785274
childB	childD	0.785	0.21	0.006	0.111	99997	20	no_deam	A	2	lcmlkin	0.23477719934723934
childA	childE	0.843	0.145	0.012	0.084	93099	2	no_deam	A	2	lcmlkin	0.28508361346571054
childA	childF	0.839	0.16	0.002	0.081	93102	2	no_deam	A	2	lcmlkin	0.2772032948337134
childB	childD	0.808	0.185	0.006	0.099	93172	2	no_deam	A	2	lcmlkin	0.2543783271690679
childA	childE	0.81	0.187	0.003	0.097	99997	10	no_deam	A	2	lcmlkin	0.25434753127692566
childA	childF	0.819	0.179	0.002	0.092	99997	10	no_deam	A	2	lcmlkin	0.26128273319656364
childB	childD	0.778	0.22	0.002	0.112	99997	10	no_deam	A	2	lcmlkin	0.22780693580310504
childA	childE	0.808	0.192	0.001	0.097	99997	8	deam	A	2	lcmlkin	0.2514816096655976
childA	childF	0.818	0.177	0.005	0.093	99998	8	deam	A	2	lcmlkin	0.2617110365778766
childB	childD	0.783	0.215	0.002	0.11	99996	8	deam	A	2	lcmlkin	0.2318893414253158
childA	childE	0.81	0.19	0.0	0.095	99995	4	deam	A	2	lcmlkin	0.2531139400875951
childA	childF	0.822	0.176	0.003	0.09	99993	4	deam	A	2	lcmlkin	0.26373534714431685
childB	childD	0.78	0.219	0.001	0.11	99996	4	deam	A	2	lcmlkin	0.22902838252059504
childA	childE	0.849	0.139	0.011	0.081	90723	1	deam	A	2	lcmlkin	0.2899672395288819
childA	childF	0.844	0.156	0.0	0.078	90625	1	deam	A	2	lcmlkin	0.2808748238391377
childB	childD	0.825	0.17	0.004	0.089	90743	1	deam	A	2	lcmlkin	0.2674203931390922
childA	childE	0.814	0.184	0.002	0.094	99997	20	deam	A	2	lcmlkin	0.2572003110418026
childA	childF	0.814	0.184	0.002	0.094	99997	20	deam	A	2	lcmlkin	0.2572003110418026
childB	childD	0.777	0.223	0.0	0.112	99997	20	deam	A	2	lcmlkin	0.22616955291698013
childA	childE	0.835	0.162	0.004	0.085	99368	2	deam	A	2	lcmlkin	0.27476353469847486
