a	b	J9	J8	J7	pi_HAT	nbSNP	cov	deamination	kinship	degree	program	RMSE
childD	childE	0.997	0.003	0.0	0.002	99996	8	no_deam	FC	3	lcmlkin	0.20167465548914834
childD	childF	0.996	0.004	0.0	0.002	99995	8	no_deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.997	0.003	0.001	0.002	99636	4	no_deam	FC	3	lcmlkin	0.20167548190099857
childD	childF	0.996	0.004	0.0	0.002	99651	4	no_deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.995	0.004	0.001	0.003	70157	1	no_deam	FC	3	lcmlkin	0.2004511578082468
childD	childF	0.994	0.006	0.0	0.003	67907	1	no_deam	FC	3	lcmlkin	0.19922516574636515
childD	childE	0.997	0.003	0.0	0.002	99997	20	no_deam	FC	3	lcmlkin	0.20167465548914834
childD	childF	0.996	0.004	0.0	0.002	99997	20	no_deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.996	0.004	0.0	0.002	93161	2	no_deam	FC	3	lcmlkin	0.2008581589082206
childD	childF	0.996	0.004	0.0	0.002	93110	2	no_deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.997	0.003	0.0	0.002	99997	10	no_deam	FC	3	lcmlkin	0.20167465548914834
childD	childF	0.996	0.004	0.0	0.002	99997	10	no_deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.997	0.003	0.0	0.002	99996	8	deam	FC	3	lcmlkin	0.20167465548914834
childD	childF	0.996	0.004	0.0	0.002	99997	8	deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.997	0.003	0.0	0.002	99995	4	deam	FC	3	lcmlkin	0.20167465548914834
childD	childF	0.996	0.004	0.0	0.002	99993	4	deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.995	0.005	0.0	0.002	90637	1	deam	FC	3	lcmlkin	0.20004166232729287
childD	childF	0.995	0.005	0.0	0.002	90565	1	deam	FC	3	lcmlkin	0.20004166232729287
childD	childE	0.997	0.003	0.0	0.002	99997	20	deam	FC	3	lcmlkin	0.20167465548914834
childD	childF	0.996	0.004	0.0	0.002	99997	20	deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.996	0.004	0.0	0.002	99360	2	deam	FC	3	lcmlkin	0.2008581589082206
childD	childF	0.996	0.004	0.0	0.002	99346	2	deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.997	0.003	0.0	0.002	99997	10	deam	FC	3	lcmlkin	0.20167465548914834
childD	childF	0.996	0.004	0.0	0.002	99997	10	deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.997	0.003	0.0	0.002	99995	8	no_deam	FC	3	lcmlkin	0.20167465548914834
childD	childF	0.996	0.004	0.0	0.002	99996	8	no_deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.996	0.003	0.0	0.002	99645	4	no_deam	FC	3	lcmlkin	0.2012668212431779
childD	childF	0.996	0.004	0.0	0.002	99652	4	no_deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.995	0.005	0.0	0.002	69975	1	no_deam	FC	3	lcmlkin	0.20004166232729287
childD	childF	0.995	0.005	0.0	0.003	70039	1	no_deam	FC	3	lcmlkin	0.20004166232729287
childD	childE	0.997	0.003	0.0	0.002	99997	20	no_deam	FC	3	lcmlkin	0.20167465548914834
childD	childF	0.996	0.004	0.0	0.002	99997	20	no_deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.996	0.004	0.0	0.002	93044	2	no_deam	FC	3	lcmlkin	0.2008581589082206
childD	childF	0.995	0.005	0.0	0.003	93177	2	no_deam	FC	3	lcmlkin	0.20004166232729287
childD	childE	0.997	0.003	0.0	0.002	99997	10	no_deam	FC	3	lcmlkin	0.20167465548914834
childD	childF	0.996	0.004	0.0	0.002	99997	10	no_deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.997	0.003	0.0	0.002	99997	8	deam	FC	3	lcmlkin	0.20167465548914834
childD	childF	0.996	0.004	0.0	0.002	99997	8	deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.997	0.003	0.0	0.002	99996	4	deam	FC	3	lcmlkin	0.20167465548914834
childD	childF	0.996	0.004	0.0	0.002	99996	4	deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.995	0.005	0.0	0.002	90914	1	deam	FC	3	lcmlkin	0.20004166232729287
childD	childF	0.995	0.005	0.0	0.003	90866	1	deam	FC	3	lcmlkin	0.20004166232729287
childD	childE	0.997	0.003	0.0	0.002	99995	20	deam	FC	3	lcmlkin	0.20167465548914834
childD	childF	0.996	0.004	0.0	0.002	99996	20	deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.996	0.004	0.0	0.002	99341	2	deam	FC	3	lcmlkin	0.2008581589082206
childD	childF	0.996	0.003	0.001	0.002	99346	2	deam	FC	3	lcmlkin	0.20126764932960953
childD	childE	0.997	0.003	0.0	0.002	99998	10	deam	FC	3	lcmlkin	0.20167465548914834
childD	childF	0.996	0.004	0.0	0.002	99997	10	deam	FC	3	lcmlkin	0.2008581589082206
