a	b	J9	J8	J7	pi_HAT	nbSNP	cov	deamination	kinship	degree	program	RMSE
childA	childB	0.376	0.403	0.221	0.423	99996	8	no_deam	FS	1	lcmlkin	0.09332023717643813
childE	childF	0.358	0.423	0.219	0.43	99996	8	no_deam	FS	1	lcmlkin	0.07864265170164766
childA	childB	0.385	0.395	0.22	0.417	99651	4	no_deam	FS	1	lcmlkin	0.10024968827881711
childE	childF	0.371	0.411	0.219	0.424	99646	4	no_deam	FS	1	lcmlkin	0.08854942122905153
childA	childB	0.475	0.29	0.236	0.381	68237	1	no_deam	FS	1	lcmlkin	0.17787729853281822
childE	childF	0.444	0.329	0.227	0.391	67808	1	no_deam	FS	1	lcmlkin	0.14989551916807475
childA	childB	0.38	0.397	0.223	0.422	99997	20	no_deam	FS	1	lcmlkin	0.0970188985026457
childE	childF	0.359	0.422	0.22	0.431	99997	20	no_deam	FS	1	lcmlkin	0.07929901218384333
childA	childB	0.418	0.359	0.223	0.402	93146	2	no_deam	FS	1	lcmlkin	0.12758526560696576
childE	childF	0.396	0.393	0.211	0.407	93045	2	no_deam	FS	1	lcmlkin	0.10690494219944496
childA	childB	0.38	0.396	0.224	0.422	99997	10	no_deam	FS	1	lcmlkin	0.09728309205612247
childE	childF	0.359	0.422	0.22	0.43	99997	10	no_deam	FS	1	lcmlkin	0.07929901218384333
childA	childB	0.38	0.398	0.222	0.421	99997	8	deam	FS	1	lcmlkin	0.09676087363530089
childE	childF	0.36	0.42	0.22	0.43	99997	8	deam	FS	1	lcmlkin	0.08041558721209881
childA	childB	0.38	0.402	0.218	0.419	99996	4	deam	FS	1	lcmlkin	0.09579144011862437
childE	childF	0.362	0.423	0.215	0.426	99992	4	deam	FS	1	lcmlkin	0.08103085831953158
childA	childB	0.437	0.352	0.212	0.387	90821	1	deam	FS	1	lcmlkin	0.1394238143216574
childE	childF	0.42	0.37	0.209	0.394	90588	1	deam	FS	1	lcmlkin	0.12580540528928
childA	childB	0.376	0.402	0.222	0.423	99997	20	deam	FS	1	lcmlkin	0.09356637572689597
childE	childF	0.355	0.427	0.218	0.431	99997	20	deam	FS	1	lcmlkin	0.07610957013849616
childA	childB	0.399	0.385	0.216	0.408	99347	2	deam	FS	1	lcmlkin	0.11042644610780517
childE	childF	0.371	0.419	0.21	0.42	99377	2	deam	FS	1	lcmlkin	0.08718180238253088
childA	childB	0.376	0.403	0.221	0.422	99996	10	deam	FS	1	lcmlkin	0.09332023717643813
childE	childF	0.359	0.422	0.219	0.43	99997	10	deam	FS	1	lcmlkin	0.07942711543715197
childA	childB	0.379	0.398	0.223	0.422	99995	8	no_deam	FS	1	lcmlkin	0.09621850133939937
childE	childF	0.358	0.423	0.219	0.43	99996	8	no_deam	FS	1	lcmlkin	0.07864265170164766
childA	childB	0.389	0.392	0.219	0.415	99633	4	no_deam	FS	1	lcmlkin	0.10319237697943907
childE	childF	0.375	0.407	0.218	0.422	99682	4	no_deam	FS	1	lcmlkin	0.09182955225125879
childA	childB	0.517	0.274	0.209	0.346	70851	1	no_deam	FS	1	lcmlkin	0.20334371558193448
childE	childF	0.421	0.398	0.181	0.38	70003	1	no_deam	FS	1	lcmlkin	0.12166347027764741
childA	childB	0.376	0.402	0.222	0.423	99997	20	no_deam	FS	1	lcmlkin	0.09356637572689597
childE	childF	0.359	0.422	0.22	0.431	99997	20	no_deam	FS	1	lcmlkin	0.07929901218384333
childA	childB	0.429	0.348	0.223	0.397	93205	2	no_deam	FS	1	lcmlkin	0.1364722193952552
childE	childF	0.392	0.399	0.208	0.408	93157	2	no_deam	FS	1	lcmlkin	0.10348751937633188
childA	childB	0.38	0.396	0.223	0.422	99997	10	no_deam	FS	1	lcmlkin	0.09737385001460436
childE	childF	0.359	0.422	0.22	0.43	99997	10	no_deam	FS	1	lcmlkin	0.07929901218384333
childA	childB	0.377	0.402	0.221	0.422	99998	8	deam	FS	1	lcmlkin	0.09411694852681954
childE	childF	0.36	0.419	0.22	0.43	99998	8	deam	FS	1	lcmlkin	0.08074858099888402
childA	childB	0.381	0.402	0.218	0.418	99996	4	deam	FS	1	lcmlkin	0.09624448036121344
childE	childF	0.363	0.42	0.217	0.427	99994	4	deam	FS	1	lcmlkin	0.08217461083976405
childA	childB	0.43	0.368	0.202	0.386	90684	1	deam	FS	1	lcmlkin	0.13181805642627265
childE	childF	0.403	0.396	0.201	0.399	90877	1	deam	FS	1	lcmlkin	0.11049283536350521
childA	childB	0.38	0.396	0.224	0.422	99997	20	deam	FS	1	lcmlkin	0.09728309205612247
childE	childF	0.355	0.426	0.218	0.431	99996	20	deam	FS	1	lcmlkin	0.07643079658532068
childA	childB	0.405	0.377	0.218	0.406	99262	2	deam	FS	1	lcmlkin	0.11572668951744308
childE	childF	0.38	0.407	0.213	0.416	99343	2	deam	FS	1	lcmlkin	0.09472416094464321
childA	childB	0.38	0.397	0.223	0.421	99998	10	deam	FS	1	lcmlkin	0.0970188985026457
childE	childF	0.357	0.425	0.219	0.431	99997	10	deam	FS	1	lcmlkin	0.07753493836114572
