Ind1	Ind2	k0_hat	k1_hat	k2_hat	pi_HAT	nbSNP	cov	deamination	kinship	degree	program
childD	childG	0.997	0.003	0.000	0.001	99995	8	no_deam	HC	4	lcmlkin
childE	childG	0.999	0.001	0.000	0.001	99996	8	no_deam	HC	4	lcmlkin
childF	childG	0.998	0.002	0.000	0.001	99995	8	no_deam	HC	4	lcmlkin
childD	childG	0.997	0.003	0.000	0.001	99642	4	no_deam	HC	4	lcmlkin
childE	childG	0.998	0.002	0.000	0.001	99636	4	no_deam	HC	4	lcmlkin
childF	childG	0.998	0.002	0.000	0.001	99651	4	no_deam	HC	4	lcmlkin
childD	childG	0.996	0.004	0.000	0.002	70003	1	no_deam	HC	4	lcmlkin
childE	childG	0.997	0.003	0.000	0.001	69989	1	no_deam	HC	4	lcmlkin
childF	childG	0.997	0.003	0.000	0.001	68109	1	no_deam	HC	4	lcmlkin
childD	childG	0.997	0.003	0.000	0.001	99997	20	no_deam	HC	4	lcmlkin
childE	childG	0.998	0.001	0.000	0.001	99997	20	no_deam	HC	4	lcmlkin
childF	childG	0.998	0.002	0.000	0.001	99997	20	no_deam	HC	4	lcmlkin
childD	childG	0.997	0.003	0.000	0.002	93252	2	no_deam	HC	4	lcmlkin
childE	childG	0.998	0.002	0.000	0.001	93198	2	no_deam	HC	4	lcmlkin
childF	childG	0.998	0.002	0.000	0.001	93167	2	no_deam	HC	4	lcmlkin
childD	childG	0.997	0.003	0.000	0.001	99997	10	no_deam	HC	4	lcmlkin
childE	childG	0.999	0.001	0.000	0.001	99997	10	no_deam	HC	4	lcmlkin
childF	childG	0.998	0.002	0.000	0.001	99997	10	no_deam	HC	4	lcmlkin
childD	childG	0.997	0.003	0.000	0.001	99997	8	deam	HC	4	lcmlkin
childE	childG	0.998	0.002	0.000	0.001	99997	8	deam	HC	4	lcmlkin
childF	childG	0.998	0.002	0.000	0.001	99998	8	deam	HC	4	lcmlkin
childD	childG	0.997	0.003	0.000	0.001	99996	4	deam	HC	4	lcmlkin
childE	childG	0.998	0.002	0.000	0.001	99995	4	deam	HC	4	lcmlkin
childF	childG	0.998	0.002	0.000	0.001	99993	4	deam	HC	4	lcmlkin
childD	childG	0.996	0.004	0.000	0.002	90555	1	deam	HC	4	lcmlkin
childE	childG	0.998	0.002	0.000	0.001	90551	1	deam	HC	4	lcmlkin
childF	childG	0.998	0.002	0.000	0.001	90479	1	deam	HC	4	lcmlkin
childD	childG	0.997	0.003	0.000	0.001	99997	20	deam	HC	4	lcmlkin
childE	childG	0.998	0.002	0.000	0.001	99997	20	deam	HC	4	lcmlkin
childF	childG	0.998	0.002	0.000	0.001	99997	20	deam	HC	4	lcmlkin
childD	childG	0.997	0.003	0.000	0.001	99362	2	deam	HC	4	lcmlkin
childE	childG	0.998	0.002	0.000	0.001	99392	2	deam	HC	4	lcmlkin
childF	childG	0.998	0.002	0.000	0.001	99379	2	deam	HC	4	lcmlkin
childD	childG	0.997	0.003	0.000	0.001	99997	10	deam	HC	4	lcmlkin
childE	childG	0.998	0.001	0.000	0.001	99997	10	deam	HC	4	lcmlkin
childF	childG	0.998	0.002	0.000	0.001	99997	10	deam	HC	4	lcmlkin
childD	childG	0.997	0.003	0.000	0.001	99995	8	no_deam	HC	4	lcmlkin
childE	childG	0.999	0.001	0.000	0.001	99995	8	no_deam	HC	4	lcmlkin
childF	childG	0.998	0.002	0.000	0.001	99996	8	no_deam	HC	4	lcmlkin
childD	childG	0.997	0.003	0.000	0.001	99621	4	no_deam	HC	4	lcmlkin
childE	childG	0.998	0.002	0.000	0.001	99650	4	no_deam	HC	4	lcmlkin
childF	childG	0.998	0.002	0.000	0.001	99657	4	no_deam	HC	4	lcmlkin
childD	childG	0.996	0.004	0.000	0.002	69846	1	no_deam	HC	4	lcmlkin
childE	childG	0.997	0.003	0.000	0.001	69896	1	no_deam	HC	4	lcmlkin
childF	childG	0.997	0.003	0.000	0.001	70042	1	no_deam	HC	4	lcmlkin
childD	childG	0.997	0.003	0.000	0.001	99997	20	no_deam	HC	4	lcmlkin
childE	childG	0.999	0.001	0.000	0.001	99997	20	no_deam	HC	4	lcmlkin
childF	childG	0.998	0.002	0.000	0.001	99997	20	no_deam	HC	4	lcmlkin
childD	childG	0.998	0.000	0.002	0.002	93131	2	no_deam	HC	4	lcmlkin
childE	childG	0.998	0.002	0.000	0.001	93101	2	no_deam	HC	4	lcmlkin
childF	childG	0.998	0.002	0.000	0.001	93244	2	no_deam	HC	4	lcmlkin
childD	childG	0.997	0.003	0.000	0.001	99997	10	no_deam	HC	4	lcmlkin
childE	childG	0.998	0.002	0.000	0.001	99997	10	no_deam	HC	4	lcmlkin
childF	childG	0.998	0.002	0.000	0.001	99997	10	no_deam	HC	4	lcmlkin
childD	childG	0.997	0.003	0.000	0.001	99996	8	deam	HC	4	lcmlkin
childE	childG	0.998	0.002	0.000	0.001	99997	8	deam	HC	4	lcmlkin
childF	childG	0.998	0.002	0.000	0.001	99997	8	deam	HC	4	lcmlkin
childD	childG	0.997	0.003	0.000	0.001	99996	4	deam	HC	4	lcmlkin
childE	childG	0.998	0.002	0.000	0.001	99994	4	deam	HC	4	lcmlkin
childF	childG	0.998	0.002	0.000	0.001	99994	4	deam	HC	4	lcmlkin
childD	childG	0.996	0.004	0.000	0.002	90807	1	deam	HC	4	lcmlkin
childE	childG	0.998	0.002	0.000	0.001	90841	1	deam	HC	4	lcmlkin
childF	childG	0.998	0.002	0.000	0.001	90813	1	deam	HC	4	lcmlkin
childD	childG	0.997	0.003	0.000	0.001	99996	20	deam	HC	4	lcmlkin
childE	childG	0.998	0.002	0.000	0.001	99996	20	deam	HC	4	lcmlkin
childF	childG	0.998	0.002	0.000	0.001	99997	20	deam	HC	4	lcmlkin
childD	childG	0.997	0.003	0.000	0.001	99340	2	deam	HC	4	lcmlkin
childE	childG	0.998	0.002	0.000	0.001	99337	2	deam	HC	4	lcmlkin
childF	childG	0.998	0.002	0.000	0.001	99342	2	deam	HC	4	lcmlkin
childD	childG	0.997	0.003	0.000	0.001	99998	10	deam	HC	4	lcmlkin
childE	childG	0.999	0.001	0.000	0.001	99998	10	deam	HC	4	lcmlkin
childF	childG	0.998	0.002	0.000	0.001	99997	10	deam	HC	4	lcmlkin
