a	b	J9	J8	J7	pi_HAT	nbSNP	cov	deamination	kinship	degree	program	RMSE
childA	childC	0.754	0.242	0.004	0.125	99997	8	no_deam	HS	2	lcmlkin	0.20904226048018776
childB	childC	0.78	0.217	0.002	0.111	99996	8	no_deam	HS	2	lcmlkin	0.22984995105503073
childA	childC	0.768	0.229	0.003	0.118	99690	4	no_deam	HS	2	lcmlkin	0.2200560534651721
childB	childC	0.789	0.209	0.002	0.106	99674	4	no_deam	HS	2	lcmlkin	0.23678823168955565
childA	childC	0.841	0.147	0.012	0.086	70120	1	no_deam	HS	2	lcmlkin	0.2834513479711583
childB	childC	0.846	0.147	0.008	0.081	68408	1	no_deam	HS	2	lcmlkin	0.28541723844224964
childA	childC	0.755	0.243	0.002	0.123	99997	20	no_deam	HS	2	lcmlkin	0.20902790882240263
childB	childC	0.784	0.215	0.001	0.109	99997	20	no_deam	HS	2	lcmlkin	0.2322943534971668
childA	childC	0.791	0.2	0.008	0.109	93237	2	no_deam	HS	2	lcmlkin	0.2413469149032847
childB	childC	0.81	0.188	0.002	0.096	93239	2	no_deam	HS	2	lcmlkin	0.2539343747243895
childA	childC	0.751	0.247	0.002	0.125	99997	10	no_deam	HS	2	lcmlkin	0.20576199843508522
childB	childC	0.785	0.213	0.002	0.108	99997	10	no_deam	HS	2	lcmlkin	0.23352230443079025
childA	childC	0.751	0.248	0.001	0.125	99998	8	deam	HS	2	lcmlkin	0.20535010753994426
childB	childC	0.784	0.215	0.001	0.109	99997	8	deam	HS	2	lcmlkin	0.2322943534971668
childA	childC	0.75	0.248	0.002	0.126	99995	4	deam	HS	2	lcmlkin	0.2049455212164117
childB	childC	0.783	0.215	0.002	0.11	99995	4	deam	HS	2	lcmlkin	0.2318893414253158
childA	childC	0.806	0.184	0.01	0.102	90810	1	deam	HS	2	lcmlkin	0.25402886975040195
childB	childC	0.81	0.186	0.005	0.097	90875	1	deam	HS	2	lcmlkin	0.2547685223884615
childA	childC	0.756	0.239	0.005	0.125	99997	20	deam	HS	2	lcmlkin	0.21109397591278314
childB	childC	0.778	0.221	0.0	0.111	99997	20	deam	HS	2	lcmlkin	0.22739466425871419
childA	childC	0.766	0.231	0.003	0.118	99377	2	deam	HS	2	lcmlkin	0.21842313674761352
childB	childC	0.794	0.205	0.001	0.104	99376	2	deam	HS	2	lcmlkin	0.24045928276252235
childA	childC	0.756	0.241	0.002	0.123	99996	10	deam	HS	2	lcmlkin	0.21025460755950154
childB	childC	0.777	0.222	0.001	0.112	99997	10	deam	HS	2	lcmlkin	0.22657890457851546
childA	childC	0.751	0.249	0.0	0.125	99995	8	no_deam	HS	2	lcmlkin	0.20494064181285923
childB	childC	0.785	0.214	0.001	0.108	99997	8	no_deam	HS	2	lcmlkin	0.23311084630850337
childA	childC	0.762	0.235	0.003	0.121	99614	4	no_deam	HS	2	lcmlkin	0.21515730679357992
childB	childC	0.79	0.207	0.003	0.107	99625	4	no_deam	HS	2	lcmlkin	0.2380182065865271
childA	childC	0.826	0.166	0.009	0.092	70215	1	no_deam	HS	2	lcmlkin	0.269513759698214
childB	childC	0.857	0.139	0.004	0.073	70081	1	no_deam	HS	2	lcmlkin	0.2931359184178334
childA	childC	0.756	0.239	0.005	0.125	99997	20	no_deam	HS	2	lcmlkin	0.21109397591278314
childB	childC	0.779	0.221	0.001	0.111	99997	20	no_deam	HS	2	lcmlkin	0.22780327770542141
childA	childC	0.78	0.218	0.002	0.111	93272	2	no_deam	HS	2	lcmlkin	0.229439897721967
childB	childC	0.818	0.177	0.005	0.094	93225	2	no_deam	HS	2	lcmlkin	0.2617110365778766
childA	childC	0.753	0.243	0.004	0.125	99997	10	no_deam	HS	2	lcmlkin	0.20822583893455682
childB	childC	0.784	0.215	0.001	0.109	99997	10	no_deam	HS	2	lcmlkin	0.2322943534971668
childA	childC	0.755	0.241	0.004	0.125	99996	8	deam	HS	2	lcmlkin	0.20985868260967108
childB	childC	0.784	0.214	0.002	0.109	99996	8	deam	HS	2	lcmlkin	0.23270582287514854
childA	childC	0.755	0.243	0.002	0.124	99995	4	deam	HS	2	lcmlkin	0.20902790882240263
childB	childC	0.782	0.216	0.002	0.11	99997	4	deam	HS	2	lcmlkin	0.23107286008241357
childA	childC	0.793	0.202	0.005	0.106	90819	1	deam	HS	2	lcmlkin	0.2413006423530613
childB	childC	0.824	0.167	0.009	0.093	90822	1	deam	HS	2	lcmlkin	0.2682946141837364
childA	childC	0.755	0.241	0.004	0.125	99997	20	deam	HS	2	lcmlkin	0.20985868260967108
childB	childC	0.779	0.22	0.001	0.111	99997	20	deam	HS	2	lcmlkin	0.2282118898450882
childA	childC	0.777	0.219	0.004	0.114	99314	2	deam	HS	2	lcmlkin	0.22782010446841608
childB	childC	0.801	0.193	0.005	0.102	99282	2	deam	HS	2	lcmlkin	0.24824383174612819
childA	childC	0.753	0.244	0.003	0.125	99998	10	deam	HS	2	lcmlkin	0.20780920736739908
childB	childC	0.784	0.214	0.002	0.109	99998	10	deam	HS	2	lcmlkin	0.23270582287514854
