a	b	J9	J8	J7	pi_HAT	nbSNP	cov	deamination	kinship	degree	program	RMSE
childA	childD	0.003	0.997	0.0	0.498	99996	8	no_deam	PO	1	lcmlkin	0.002449489742783179
childA	childH	0.0	0.949	0.05	0.525	99997	8	no_deam	PO	1	lcmlkin	0.0412350983184633
childA	founder0	0.002	0.997	0.001	0.499	99997	8	no_deam	PO	1	lcmlkin	0.002160246899469288
childA	founder1	0.004	0.996	0.0	0.498	99997	8	no_deam	PO	1	lcmlkin	0.003265986323710906
childB	childE	0.005	0.995	0.0	0.497	99996	8	no_deam	PO	1	lcmlkin	0.004082482904638632
childB	childF	0.004	0.996	0.0	0.498	99995	8	no_deam	PO	1	lcmlkin	0.003265986323710906
childB	founder0	0.003	0.997	0.0	0.499	99996	8	no_deam	PO	1	lcmlkin	0.002449489742783179
childB	founder1	0.004	0.996	0.0	0.498	99996	8	no_deam	PO	1	lcmlkin	0.003265986323710906
childC	childG	0.001	0.997	0.001	0.5	99996	8	no_deam	PO	1	lcmlkin	0.0019148542155126777
childC	founder1	0.003	0.997	0.0	0.499	99997	8	no_deam	PO	1	lcmlkin	0.002449489742783179
childC	founder2	0.001	0.998	0.001	0.5	99996	8	no_deam	PO	1	lcmlkin	0.001414213562373096
childD	founder3	0.001	0.998	0.001	0.5	99995	8	no_deam	PO	1	lcmlkin	0.001414213562373096
childE	founder4	0.003	0.997	0.001	0.499	99997	8	no_deam	PO	1	lcmlkin	0.0025166114784235844
childF	founder4	0.002	0.997	0.001	0.499	99996	8	no_deam	PO	1	lcmlkin	0.002160246899469288
childG	founder5	0.001	0.997	0.002	0.501	99995	8	no_deam	PO	1	lcmlkin	0.002160246899469288
childA	childD	0.034	0.966	0.0	0.483	99654	4	no_deam	PO	1	lcmlkin	0.0277608837515427
childA	childH	0.002	0.952	0.046	0.522	99672	4	no_deam	PO	1	lcmlkin	0.03840138886377247
childA	founder0	0.024	0.976	0.0	0.488	99650	4	no_deam	PO	1	lcmlkin	0.019595917942265433
childA	founder1	0.024	0.976	0.0	0.488	99637	4	no_deam	PO	1	lcmlkin	0.019595917942265433
childB	childE	0.043	0.957	0.0	0.479	99632	4	no_deam	PO	1	lcmlkin	0.03510935297989223
childB	childF	0.046	0.954	0.0	0.477	99648	4	no_deam	PO	1	lcmlkin	0.037558842722675415
childB	founder0	0.025	0.975	0.0	0.488	99635	4	no_deam	PO	1	lcmlkin	0.02041241452319316
childB	founder1	0.029	0.971	0.0	0.485	99623	4	no_deam	PO	1	lcmlkin	0.023678400846904066
childC	childG	0.018	0.982	0.0	0.491	99677	4	no_deam	PO	1	lcmlkin	0.014696938456699074
childC	founder1	0.019	0.981	0.0	0.491	99661	4	no_deam	PO	1	lcmlkin	0.015513435037626802
childC	founder2	0.009	0.991	0.0	0.496	99698	4	no_deam	PO	1	lcmlkin	0.007348469228349537
childD	founder3	0.006	0.994	0.001	0.497	99642	4	no_deam	PO	1	lcmlkin	0.00493288286231625
childE	founder4	0.016	0.984	0.0	0.492	99650	4	no_deam	PO	1	lcmlkin	0.013063945294843624
childF	founder4	0.014	0.986	0.0	0.493	99665	4	no_deam	PO	1	lcmlkin	0.01143095213298817
childG	founder5	0.008	0.99	0.001	0.497	99668	4	no_deam	PO	1	lcmlkin	0.007416198487095667
childA	childD	0.226	0.77	0.005	0.39	70184	1	no_deam	PO	1	lcmlkin	0.1861907623916933
childA	childH	0.064	0.88	0.056	0.496	70111	1	no_deam	PO	1	lcmlkin	0.08491564441648351
childA	founder0	0.163	0.831	0.005	0.421	69588	1	no_deam	PO	1	lcmlkin	0.13559129765585992
childA	founder1	0.204	0.792	0.004	0.4	69631	1	no_deam	PO	1	lcmlkin	0.16822207544394008
childB	childE	0.219	0.778	0.003	0.392	68125	1	no_deam	PO	1	lcmlkin	0.1800499930574839
childB	childF	0.203	0.791	0.006	0.401	66122	1	no_deam	PO	1	lcmlkin	0.168251795433709
childB	founder0	0.173	0.822	0.005	0.416	67521	1	no_deam	PO	1	lcmlkin	0.14333875958721007
childB	founder1	0.209	0.783	0.008	0.399	67553	1	no_deam	PO	1	lcmlkin	0.17400574703152766
childC	childG	0.162	0.831	0.007	0.423	69954	1	no_deam	PO	1	lcmlkin	0.135220807077412
childC	founder1	0.175	0.82	0.005	0.415	69441	1	no_deam	PO	1	lcmlkin	0.14497126151988424
childC	founder2	0.122	0.874	0.004	0.441	70174	1	no_deam	PO	1	lcmlkin	0.10128507622876466
childD	founder3	0.105	0.889	0.006	0.45	70065	1	no_deam	PO	1	lcmlkin	0.08828363381737296
childE	founder4	0.156	0.838	0.005	0.425	69509	1	no_deam	PO	1	lcmlkin	0.12987814802087894
childF	founder4	0.119	0.876	0.005	0.443	67434	1	no_deam	PO	1	lcmlkin	0.09926731586982697
childG	founder5	0.081	0.914	0.005	0.462	70095	1	no_deam	PO	1	lcmlkin	0.06826907547833547
childA	childD	0.002	0.998	0.0	0.499	99997	20	no_deam	PO	1	lcmlkin	0.001632993161855453
childA	childH	0.0	0.95	0.05	0.525	99997	20	no_deam	PO	1	lcmlkin	0.04082482904638632
childA	founder0	0.001	0.998	0.001	0.5	99997	20	no_deam	PO	1	lcmlkin	0.001414213562373096
childA	founder1	0.001	0.998	0.0	0.499	99997	20	no_deam	PO	1	lcmlkin	0.0012909944487358065
childB	childE	0.002	0.998	0.0	0.499	99997	20	no_deam	PO	1	lcmlkin	0.001632993161855453
childB	childF	0.002	0.998	0.0	0.499	99997	20	no_deam	PO	1	lcmlkin	0.001632993161855453
childB	founder0	0.001	0.998	0.0	0.5	99997	20	no_deam	PO	1	lcmlkin	0.0012909944487358065
childB	founder1	0.002	0.998	0.0	0.499	99997	20	no_deam	PO	1	lcmlkin	0.001632993161855453
childC	childG	0.001	0.998	0.001	0.5	99997	20	no_deam	PO	1	lcmlkin	0.001414213562373096
childC	founder1	0.001	0.998	0.001	0.5	99997	20	no_deam	PO	1	lcmlkin	0.001414213562373096
childC	founder2	0.0	0.998	0.001	0.501	99997	20	no_deam	PO	1	lcmlkin	0.0012909944487358065
childD	founder3	0.0	0.998	0.002	0.501	99997	20	no_deam	PO	1	lcmlkin	0.001632993161855453
childE	founder4	0.001	0.998	0.001	0.5	99997	20	no_deam	PO	1	lcmlkin	0.001414213562373096
childF	founder4	0.001	0.998	0.001	0.5	99997	20	no_deam	PO	1	lcmlkin	0.001414213562373096
childG	founder5	0.0	0.998	0.002	0.501	99997	20	no_deam	PO	1	lcmlkin	0.001632993161855453
childA	childD	0.129	0.87	0.001	0.436	93159	2	no_deam	PO	1	lcmlkin	0.10573867157604482
childA	childH	0.022	0.926	0.051	0.515	93220	2	no_deam	PO	1	lcmlkin	0.05341972170150893
childA	founder0	0.089	0.91	0.001	0.456	93291	2	no_deam	PO	1	lcmlkin	0.07307986498801612
childA	founder1	0.116	0.883	0.001	0.442	93147	2	no_deam	PO	1	lcmlkin	0.09512447984965104
childB	childE	0.148	0.851	0.001	0.426	93124	2	no_deam	PO	1	lcmlkin	0.12125180411028944
childB	childF	0.131	0.868	0.001	0.435	93079	2	no_deam	PO	1	lcmlkin	0.10737162877905256
childB	founder0	0.106	0.893	0.001	0.447	93259	2	no_deam	PO	1	lcmlkin	0.08695976080923866
childB	founder1	0.129	0.87	0.001	0.436	93143	2	no_deam	PO	1	lcmlkin	0.10573867157604482
childC	childG	0.076	0.923	0.001	0.463	93339	2	no_deam	PO	1	lcmlkin	0.06246599074696564
childC	founder1	0.091	0.908	0.001	0.455	93216	2	no_deam	PO	1	lcmlkin	0.07471278337741138
childC	founder2	0.05	0.948	0.001	0.475	93341	2	no_deam	PO	1	lcmlkin	0.041653331199317085
childD	founder3	0.043	0.956	0.001	0.479	93277	2	no_deam	PO	1	lcmlkin	0.035524639336663236
childE	founder4	0.079	0.92	0.001	0.461	93119	2	no_deam	PO	1	lcmlkin	0.06491532946846991
childF	founder4	0.075	0.924	0.001	0.463	93100	2	no_deam	PO	1	lcmlkin	0.06164954717324909
childG	founder5	0.034	0.965	0.001	0.484	93290	2	no_deam	PO	1	lcmlkin	0.028178005607210756
childA	childD	0.002	0.998	0.0	0.499	99997	10	no_deam	PO	1	lcmlkin	0.001632993161855453
childA	childH	0.0	0.95	0.05	0.525	99997	10	no_deam	PO	1	lcmlkin	0.04082482904638632
childA	founder0	0.002	0.998	0.0	0.499	99997	10	no_deam	PO	1	lcmlkin	0.001632993161855453
childA	founder1	0.002	0.998	0.0	0.499	99997	10	no_deam	PO	1	lcmlkin	0.001632993161855453
childB	childE	0.003	0.997	0.0	0.498	99997	10	no_deam	PO	1	lcmlkin	0.002449489742783179
childB	childF	0.003	0.997	0.0	0.499	99997	10	no_deam	PO	1	lcmlkin	0.002449489742783179
childB	founder0	0.002	0.998	0.0	0.499	99997	10	no_deam	PO	1	lcmlkin	0.001632993161855453
childB	founder1	0.002	0.998	0.0	0.499	99997	10	no_deam	PO	1	lcmlkin	0.001632993161855453
childC	childG	0.001	0.998	0.001	0.5	99997	10	no_deam	PO	1	lcmlkin	0.001414213562373096
childC	founder1	0.001	0.998	0.0	0.499	99997	10	no_deam	PO	1	lcmlkin	0.0012909944487358065
childC	founder2	0.0	0.998	0.001	0.5	99997	10	no_deam	PO	1	lcmlkin	0.0012909944487358065
