a	b	J9	J8	J7	pi_HAT	nbSNP	cov	deamination	kinship	degree	program	RMSE
childA	founder10	0.998	0.002	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childA	founder11	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childA	founder12	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childA	founder13	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childA	founder14	0.999	0.001	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childA	founder15	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childA	founder16	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childA	founder17	0.999	0.001	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childA	founder18	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childA	founder19	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childA	founder20	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childA	founder21	0.999	0.001	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childA	founder22	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childA	founder23	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childA	founder24	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childA	founder25	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childA	founder26	0.999	0.001	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childA	founder27	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childA	founder28	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childA	founder29	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childA	founder2	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
