a	b	J9	J8	J7	cov	deamination	kinship	degree	program	RMSE
childA	childE	0.4985	0.5015	0.0	8	no_deam	A	2	plink	0.0012247448713915
childA	childF	0.5128	0.4872	0.0	8	no_deam	A	2	plink	0.0104511562358748
childB	childD	0.5116	0.4884	0.0	8	no_deam	A	2	plink	0.0094713603387616
childA	childE	0.6274	0.3551	0.0175	4	no_deam	A	2	plink	0.1118526113538108
childA	childF	0.6357	0.3525	0.0118	4	no_deam	A	2	plink	0.1159166079558921
childB	childD	0.6323	0.3602	0.0075	4	no_deam	A	2	plink	0.1112108807626304
childA	childE	1.0	0.0	0.0	1	no_deam	A	2	plink	0.408248290463863
childA	childF	0.9111	0.0	0.0889	1	no_deam	A	2	plink	0.3772295587569987
childB	childD	0.9067	0.0	0.0933	1	no_deam	A	2	plink	0.3759919236721271
childA	childE	0.4882	0.5118	0.0	20	no_deam	A	2	plink	0.0096346596549471
childA	childF	0.4987	0.5013	0.0	20	no_deam	A	2	plink	0.001061445555206
childB	childD	0.5011	0.4989	0.0	20	no_deam	A	2	plink	0.0008981462390204
childA	childE	0.8634	0.059	0.0775	2	no_deam	A	2	plink	0.3329398394104657
childA	childF	0.8752	0.0498	0.0751	2	no_deam	A	2	plink	0.341123188892224
childB	childD	0.885	0.0413	0.0737	2	no_deam	A	2	plink	0.3483591920226401
childA	childE	0.4909	0.5091	0.0	10	no_deam	A	2	plink	0.0074301188864423
childA	childF	0.501	0.499	0.0	10	no_deam	A	2	plink	0.0008164965809277
childB	childD	0.5037	0.4963	0.0	10	no_deam	A	2	plink	0.0030210373494325
childA	childE	0.4869	0.5131	0.0	8	deam	A	2	plink	0.0106961052101532
childA	childF	0.4969	0.5031	0.0	8	deam	A	2	plink	0.0025311394008759
childB	childD	0.499	0.501	0.0	8	deam	A	2	plink	0.0008164965809277
childA	childE	0.4972	0.5028	0.0	4	deam	A	2	plink	0.0022861904265976
childA	childF	0.5101	0.4899	0.0	4	deam	A	2	plink	0.00824661546737
childB	childD	0.513	0.487	0.0	4	deam	A	2	plink	0.0106144555520604
childA	childE	0.9036	0.0104	0.0861	1	deam	A	2	plink	0.3696910106201303
childA	childF	0.9119	0.0	0.0881	1	deam	A	2	plink	0.3774578210431818
childB	childD	0.9119	0.0	0.0881	1	deam	A	2	plink	0.3774578210431818
childA	childE	0.4881	0.5119	0.0	20	deam	A	2	plink	0.0097163093130399
childA	childF	0.4985	0.5015	0.0	20	deam	A	2	plink	0.0012247448713915
childB	childD	0.5012	0.4988	0.0	20	deam	A	2	plink	0.0009797958971132
childA	childE	0.6659	0.311	0.0231	2	deam	A	2	plink	0.1458051439421806
childA	childF	0.6724	0.3035	0.0241	2	deam	A	2	plink	0.1515638699250803
childB	childD	0.6739	0.3048	0.0213	2	deam	A	2	plink	0.1514352887099525
childA	childE	0.4868	0.5132	0.0	10	deam	A	2	plink	0.0107777548682459
childA	childF	0.4977	0.5023	0.0	10	deam	A	2	plink	0.0018779421361337
