a	b	J9	J8	J7	cov	deamination	kinship	degree	program	RMSE
childD	childE	0.7644	0.2356	0.0	8	no_deam	FC	3	plink	0.0117575507653592
childD	childF	0.7631	0.2369	0.0	8	no_deam	FC	3	plink	0.0106961052101532
childD	childE	0.8913	0.0903	0.0184	4	no_deam	FC	3	plink	0.1235696025188503
childD	childF	0.8809	0.1072	0.0119	4	no_deam	FC	3	plink	0.1120539453418159
childD	childE	1.0	0.0	0.0	1	no_deam	FC	3	plink	0.2041241452319315
childD	childF	1.0	0.0	0.0	1	no_deam	FC	3	plink	0.2041241452319315
childD	childE	0.7538	0.2462	0.0	20	no_deam	FC	3	plink	0.0031026870075253
childD	childF	0.7505	0.2495	0.0	20	no_deam	FC	3	plink	0.0004082482904638
childD	childE	1.0	0.0	0.0	2	no_deam	FC	3	plink	0.2041241452319315
childD	childF	1.0	0.0	0.0	2	no_deam	FC	3	plink	0.2041241452319315
childD	childE	0.7567	0.2433	0.0	10	no_deam	FC	3	plink	0.0054705270922157
childD	childF	0.752	0.248	0.0	10	no_deam	FC	3	plink	0.0016329931618554
childD	childE	0.7497	0.2503	0.0	8	deam	FC	3	plink	0.0002449489742783
childD	childF	0.7467	0.2533	0.0	8	deam	FC	3	plink	0.0026944387170614
childD	childE	0.7622	0.2378	0.0	4	deam	FC	3	plink	0.0099612582873182
childD	childF	0.7585	0.2415	0.0	4	deam	FC	3	plink	0.0069402209378856
childD	childE	1.0	0.0	0.0	1	deam	FC	3	plink	0.2041241452319315
childD	childF	1.0	0.0	0.0	1	deam	FC	3	plink	0.2041241452319315
childD	childE	0.7538	0.2462	0.0	20	deam	FC	3	plink	0.0031026870075253
childD	childF	0.7502	0.2498	0.0	20	deam	FC	3	plink	0.0001632993161855
childD	childE	0.9173	0.0538	0.0289	2	deam	FC	3	plink	0.1497986871326536
childD	childF	0.9091	0.0699	0.0211	2	deam	FC	3	plink	0.1392767389049585
childD	childE	0.752	0.248	0.0	10	deam	FC	3	plink	0.0016329931618554
childD	childF	0.7484	0.2516	0.0	10	deam	FC	3	plink	0.0013063945294843
childD	childE	0.7667	0.2333	0.0	8	no_deam	FC	3	plink	0.013635492901493
childD	childF	0.7632	0.2368	0.0	8	no_deam	FC	3	plink	0.0107777548682459
