a	b	J9	J8	J7	cov	deamination	kinship	degree	program	RMSE
childA	childB	0.2584	0.5029	0.2387	8	no_deam	FS	1	plink	0.008299799194358
childE	childF	0.2524	0.5108	0.2368	8	no_deam	FS	1	plink	0.0099438423157248
childA	childB	0.3495	0.4213	0.2292	4	no_deam	FS	1	plink	0.0742216949415735
childE	childF	0.3456	0.4249	0.2295	4	no_deam	FS	1	plink	0.0711796319181267
childA	childB	0.6889	0.1212	0.1899	1	no_deam	FS	1	plink	0.3365187760982537
childE	childF	0.6794	0.1315	0.189	1	no_deam	FS	1	plink	0.3285816032586121
childA	childB	0.2512	0.5092	0.2397	20	no_deam	FS	1	plink	0.0080035408830508
childE	childF	0.2451	0.5166	0.2383	20	no_deam	FS	1	plink	0.0120617853847042
childA	childB	0.5693	0.2059	0.2248	2	no_deam	FS	1	plink	0.2510526770752837
childE	childF	0.5657	0.2188	0.2155	2	no_deam	FS	1	plink	0.2449014631778803
childA	childB	0.2533	0.5071	0.2395	10	no_deam	FS	1	plink	0.0075619662346068
childE	childF	0.2469	0.5154	0.2378	10	no_deam	FS	1	plink	0.0114834663756201
childA	childB	0.2501	0.5102	0.2397	8	deam	FS	1	plink	0.0083693886674396
childE	childF	0.2434	0.5187	0.2379	8	deam	FS	1	plink	0.0134121835159927
childA	childB	0.26	0.5056	0.2344	4	deam	FS	1	plink	0.0111761651145044
childE	childF	0.2549	0.5124	0.2327	4	deam	FS	1	plink	0.012610313239567
childA	childB	0.6033	0.1881	0.2087	1	deam	FS	1	plink	0.2731350032493089
childE	childF	0.6135	0.1761	0.2104	1	deam	FS	1	plink	0.2820234151035454
childA	childB	0.2508	0.5083	0.2409	20	deam	FS	1	plink	0.0071260087005279
childE	childF	0.2447	0.5159	0.2394	20	deam	FS	1	plink	0.0114493085671872
childA	childB	0.3806	0.3991	0.2203	2	deam	FS	1	plink	0.0968147027401657
childE	childF	0.38	0.3986	0.2215	2	deam	FS	1	plink	0.0965991890925246
childA	childB	0.2502	0.5096	0.2402	10	deam	FS	1	plink	0.0079212793579488
childE	childF	0.244	0.5173	0.2387	10	deam	FS	1	plink	0.0124228284487336
childA	childB	0.258	0.5037	0.2383	8	no_deam	FS	1	plink	0.0084573439487032
childE	childF	0.2513	0.512	0.2367	8	no_deam	FS	1	plink	0.0103695065777821
childA	childB	0.3502	0.4218	0.228	4	no_deam	FS	1	plink	0.0744743356242045
childE	childF	0.3508	0.4192	0.23	4	no_deam	FS	1	plink	0.0754746756645344
childA	childB	0.7774	0.0	0.2226	1	no_deam	FS	1	plink	0.4198815388495505
childE	childF	0.7428	0.0471	0.21	1	no_deam	FS	1	plink	0.3871133554916441
childA	childB	0.2513	0.509	0.2397	20	no_deam	FS	1	plink	0.0079326330223114
childE	childF	0.2451	0.5166	0.2383	20	no_deam	FS	1	plink	0.0120617853847042
childA	childB	0.5766	0.2004	0.223	2	no_deam	FS	1	plink	0.2563569906725125
childE	childF	0.58	0.1955	0.2245	2	no_deam	FS	1	plink	0.2596603550794768
childA	childB	0.2535	0.5069	0.2396	10	no_deam	FS	1	plink	0.0074837601956948
childE	childF	0.2475	0.5145	0.238	10	no_deam	FS	1	plink	0.0109620557682702
childA	childB	0.2499	0.51	0.2401	8	deam	FS	1	plink	0.0081244486992451
childE	childF	0.2441	0.5174	0.2385	8	deam	FS	1	plink	0.0125142585344344
childA	childB	0.2601	0.5063	0.2335	4	deam	FS	1	plink	0.0117466307226086
childE	childF	0.2525	0.5144	0.2331	4	deam	FS	1	plink	0.0128998708003865
childA	childB	0.6079	0.1911	0.2009	1	deam	FS	1	plink	0.2744220775860912
childE	childF	0.6062	0.1827	0.2111	1	deam	FS	1	plink	0.2763276678148607
childA	childB	0.2509	0.5082	0.2409	20	deam	FS	1	plink	0.007091309235019
childE	childF	0.2447	0.5159	0.2394	20	deam	FS	1	plink	0.0114493085671872
childA	childB	0.3903	0.3849	0.2248	2	deam	FS	1	plink	0.1057782901481521
childE	childF	0.3821	0.3965	0.2214	2	deam	FS	1	plink	0.0982863503578531
childA	childB	0.2501	0.5097	0.2403	10	deam	FS	1	plink	0.0079202272694664
childE	childF	0.2444	0.5167	0.2389	10	deam	FS	1	plink	0.0120202606738234
childA	childB	0.376	0.403	0.221	8	no_deam	FS	1	lcmlkin	0.0933202371764381
childE	childF	0.358	0.423	0.219	8	no_deam	FS	1	lcmlkin	0.0786426517016476
childA	childB	0.385	0.395	0.22	4	no_deam	FS	1	lcmlkin	0.1002496882788171
childE	childF	0.371	0.411	0.219	4	no_deam	FS	1	lcmlkin	0.0885494212290515
childA	childB	0.475	0.29	0.236	1	no_deam	FS	1	lcmlkin	0.1778772985328182
childE	childF	0.444	0.329	0.227	1	no_deam	FS	1	lcmlkin	0.1498955191680747
