cov	deamination	kinship	degree	program
8	no_deam	GP	2	plink
8	no_deam	GP	2	plink
8	no_deam	GP	2	plink
8	no_deam	GP	2	plink
8	no_deam	GP	2	plink
8	no_deam	GP	2	plink
8	no_deam	GP	2	plink
8	no_deam	GP	2	plink
8	no_deam	GP	2	plink
8	no_deam	GP	2	plink
4	no_deam	GP	2	plink
4	no_deam	GP	2	plink
4	no_deam	GP	2	plink
4	no_deam	GP	2	plink
4	no_deam	GP	2	plink
4	no_deam	GP	2	plink
4	no_deam	GP	2	plink
4	no_deam	GP	2	plink
4	no_deam	GP	2	plink
4	no_deam	GP	2	plink
1	no_deam	GP	2	plink
1	no_deam	GP	2	plink
1	no_deam	GP	2	plink
1	no_deam	GP	2	plink
1	no_deam	GP	2	plink
1	no_deam	GP	2	plink
1	no_deam	GP	2	plink
1	no_deam	GP	2	plink
1	no_deam	GP	2	plink
1	no_deam	GP	2	plink
20	no_deam	GP	2	plink
20	no_deam	GP	2	plink
20	no_deam	GP	2	plink
20	no_deam	GP	2	plink
20	no_deam	GP	2	plink
20	no_deam	GP	2	plink
20	no_deam	GP	2	plink
20	no_deam	GP	2	plink
20	no_deam	GP	2	plink
20	no_deam	GP	2	plink
2	no_deam	GP	2	plink
2	no_deam	GP	2	plink
2	no_deam	GP	2	plink
2	no_deam	GP	2	plink
2	no_deam	GP	2	plink
2	no_deam	GP	2	plink
2	no_deam	GP	2	plink
2	no_deam	GP	2	plink
2	no_deam	GP	2	plink
2	no_deam	GP	2	plink
10	no_deam	GP	2	plink
10	no_deam	GP	2	plink
10	no_deam	GP	2	plink
10	no_deam	GP	2	plink
10	no_deam	GP	2	plink
10	no_deam	GP	2	plink
10	no_deam	GP	2	plink
10	no_deam	GP	2	plink
10	no_deam	GP	2	plink
10	no_deam	GP	2	plink
8	deam	GP	2	plink
8	deam	GP	2	plink
8	deam	GP	2	plink
8	deam	GP	2	plink
8	deam	GP	2	plink
8	deam	GP	2	plink
8	deam	GP	2	plink
8	deam	GP	2	plink
8	deam	GP	2	plink
8	deam	GP	2	plink
4	deam	GP	2	plink
4	deam	GP	2	plink
4	deam	GP	2	plink
4	deam	GP	2	plink
4	deam	GP	2	plink
4	deam	GP	2	plink
4	deam	GP	2	plink
4	deam	GP	2	plink
4	deam	GP	2	plink
4	deam	GP	2	plink
1	deam	GP	2	plink
1	deam	GP	2	plink
1	deam	GP	2	plink
1	deam	GP	2	plink
1	deam	GP	2	plink
1	deam	GP	2	plink
1	deam	GP	2	plink
1	deam	GP	2	plink
1	deam	GP	2	plink
1	deam	GP	2	plink
20	deam	GP	2	plink
20	deam	GP	2	plink
20	deam	GP	2	plink
20	deam	GP	2	plink
20	deam	GP	2	plink
20	deam	GP	2	plink
20	deam	GP	2	plink
20	deam	GP	2	plink
20	deam	GP	2	plink
20	deam	GP	2	plink
2	deam	GP	2	plink
2	deam	GP	2	plink
2	deam	GP	2	plink
2	deam	GP	2	plink
2	deam	GP	2	plink
2	deam	GP	2	plink
2	deam	GP	2	plink
2	deam	GP	2	plink
2	deam	GP	2	plink
2	deam	GP	2	plink
10	deam	GP	2	plink
10	deam	GP	2	plink
10	deam	GP	2	plink
10	deam	GP	2	plink
10	deam	GP	2	plink
10	deam	GP	2	plink
10	deam	GP	2	plink
10	deam	GP	2	plink
10	deam	GP	2	plink
10	deam	GP	2	plink
8	no_deam	GP	2	plink
8	no_deam	GP	2	plink
8	no_deam	GP	2	plink
8	no_deam	GP	2	plink
8	no_deam	GP	2	plink
8	no_deam	GP	2	plink
