cov	deamination	kinship	degree	program
8	no_deam	HC	4	plink
8	no_deam	HC	4	plink
8	no_deam	HC	4	plink
4	no_deam	HC	4	plink
4	no_deam	HC	4	plink
4	no_deam	HC	4	plink
1	no_deam	HC	4	plink
1	no_deam	HC	4	plink
1	no_deam	HC	4	plink
20	no_deam	HC	4	plink
20	no_deam	HC	4	plink
20	no_deam	HC	4	plink
2	no_deam	HC	4	plink
2	no_deam	HC	4	plink
2	no_deam	HC	4	plink
10	no_deam	HC	4	plink
10	no_deam	HC	4	plink
10	no_deam	HC	4	plink
8	deam	HC	4	plink
8	deam	HC	4	plink
8	deam	HC	4	plink
4	deam	HC	4	plink
4	deam	HC	4	plink
4	deam	HC	4	plink
1	deam	HC	4	plink
1	deam	HC	4	plink
1	deam	HC	4	plink
20	deam	HC	4	plink
20	deam	HC	4	plink
20	deam	HC	4	plink
2	deam	HC	4	plink
2	deam	HC	4	plink
2	deam	HC	4	plink
10	deam	HC	4	plink
10	deam	HC	4	plink
10	deam	HC	4	plink
8	no_deam	HC	4	plink
8	no_deam	HC	4	plink
8	no_deam	HC	4	plink
4	no_deam	HC	4	plink
4	no_deam	HC	4	plink
4	no_deam	HC	4	plink
1	no_deam	HC	4	plink
1	no_deam	HC	4	plink
1	no_deam	HC	4	plink
20	no_deam	HC	4	plink
20	no_deam	HC	4	plink
20	no_deam	HC	4	plink
2	no_deam	HC	4	plink
2	no_deam	HC	4	plink
2	no_deam	HC	4	plink
10	no_deam	HC	4	plink
10	no_deam	HC	4	plink
10	no_deam	HC	4	plink
8	deam	HC	4	plink
8	deam	HC	4	plink
8	deam	HC	4	plink
4	deam	HC	4	plink
4	deam	HC	4	plink
4	deam	HC	4	plink
1	deam	HC	4	plink
1	deam	HC	4	plink
1	deam	HC	4	plink
20	deam	HC	4	plink
20	deam	HC	4	plink
20	deam	HC	4	plink
2	deam	HC	4	plink
2	deam	HC	4	plink
2	deam	HC	4	plink
10	deam	HC	4	plink
10	deam	HC	4	plink
10	deam	HC	4	plink
8	no_deam	HC	4	lcmlkin
8	no_deam	HC	4	lcmlkin
8	no_deam	HC	4	lcmlkin
4	no_deam	HC	4	lcmlkin
4	no_deam	HC	4	lcmlkin
4	no_deam	HC	4	lcmlkin
1	no_deam	HC	4	lcmlkin
1	no_deam	HC	4	lcmlkin
1	no_deam	HC	4	lcmlkin
20	no_deam	HC	4	lcmlkin
20	no_deam	HC	4	lcmlkin
20	no_deam	HC	4	lcmlkin
2	no_deam	HC	4	lcmlkin
2	no_deam	HC	4	lcmlkin
2	no_deam	HC	4	lcmlkin
10	no_deam	HC	4	lcmlkin
10	no_deam	HC	4	lcmlkin
10	no_deam	HC	4	lcmlkin
8	deam	HC	4	lcmlkin
8	deam	HC	4	lcmlkin
8	deam	HC	4	lcmlkin
4	deam	HC	4	lcmlkin
4	deam	HC	4	lcmlkin
4	deam	HC	4	lcmlkin
1	deam	HC	4	lcmlkin
1	deam	HC	4	lcmlkin
1	deam	HC	4	lcmlkin
20	deam	HC	4	lcmlkin
20	deam	HC	4	lcmlkin
20	deam	HC	4	lcmlkin
2	deam	HC	4	lcmlkin
2	deam	HC	4	lcmlkin
2	deam	HC	4	lcmlkin
10	deam	HC	4	lcmlkin
10	deam	HC	4	lcmlkin
10	deam	HC	4	lcmlkin
8	no_deam	HC	4	lcmlkin
8	no_deam	HC	4	lcmlkin
8	no_deam	HC	4	lcmlkin
4	no_deam	HC	4	lcmlkin
4	no_deam	HC	4	lcmlkin
4	no_deam	HC	4	lcmlkin
1	no_deam	HC	4	lcmlkin
1	no_deam	HC	4	lcmlkin
1	no_deam	HC	4	lcmlkin
20	no_deam	HC	4	lcmlkin
20	no_deam	HC	4	lcmlkin
20	no_deam	HC	4	lcmlkin
2	no_deam	HC	4	lcmlkin
2	no_deam	HC	4	lcmlkin
2	no_deam	HC	4	lcmlkin
10	no_deam	HC	4	lcmlkin
10	no_deam	HC	4	lcmlkin
10	no_deam	HC	4	lcmlkin
8	deam	HC	4	lcmlkin
8	deam	HC	4	lcmlkin
8	deam	HC	4	lcmlkin
4	deam	HC	4	lcmlkin
4	deam	HC	4	lcmlkin
4	deam	HC	4	lcmlkin
1	deam	HC	4	lcmlkin
1	deam	HC	4	lcmlkin
1	deam	HC	4	lcmlkin
20	deam	HC	4	lcmlkin
20	deam	HC	4	lcmlkin
20	deam	HC	4	lcmlkin
2	deam	HC	4	lcmlkin
2	deam	HC	4	lcmlkin
2	deam	HC	4	lcmlkin
10	deam	HC	4	lcmlkin
10	deam	HC	4	lcmlkin
10	deam	HC	4	lcmlkin
8	no_deam	HC	4	ngsrelateWithRealFreq
8	no_deam	HC	4	ngsrelateWithRealFreq
8	no_deam	HC	4	ngsrelateWithRealFreq
4	no_deam	HC	4	ngsrelateWithRealFreq
4	no_deam	HC	4	ngsrelateWithRealFreq
4	no_deam	HC	4	ngsrelateWithRealFreq
1	no_deam	HC	4	ngsrelateWithRealFreq
1	no_deam	HC	4	ngsrelateWithRealFreq
1	no_deam	HC	4	ngsrelateWithRealFreq
20	no_deam	HC	4	ngsrelateWithRealFreq
20	no_deam	HC	4	ngsrelateWithRealFreq
20	no_deam	HC	4	ngsrelateWithRealFreq
2	no_deam	HC	4	ngsrelateWithRealFreq
2	no_deam	HC	4	ngsrelateWithRealFreq
2	no_deam	HC	4	ngsrelateWithRealFreq
10	no_deam	HC	4	ngsrelateWithRealFreq
