a	b	J9	J8	J7	cov	deamination	kinship	degree	program	RMSE
childA	childC	0.5119	0.4881	0.0	8	no_deam	HS	2	plink	0.0097163093130399
childB	childC	0.513	0.487	0.0	8	no_deam	HS	2	plink	0.0106144555520604
childA	childC	0.6421	0.3397	0.0182	4	no_deam	HS	2	plink	0.1241232452041115
childB	childC	0.6425	0.346	0.0115	4	no_deam	HS	2	plink	0.1213184514683016
childA	childC	1.0	0.0	0.0	1	no_deam	HS	2	plink	0.408248290463863
childB	childC	1.0	0.0	0.0	1	no_deam	HS	2	plink	0.408248290463863
childA	childC	0.5002	0.4998	0.0	20	no_deam	HS	2	plink	0.0001632993161855
childB	childC	0.5031	0.4969	0.0	20	no_deam	HS	2	plink	0.0025311394008759
childA	childC	0.8848	0.0329	0.0822	2	no_deam	HS	2	plink	0.3526141848158314
childB	childC	0.8961	0.0257	0.0782	2	no_deam	HS	2	plink	0.3596159710950928
childA	childC	0.503	0.497	0.0	10	no_deam	HS	2	plink	0.0024494897427831
childB	childC	0.5065	0.4935	0.0	10	no_deam	HS	2	plink	0.0053072277760302
childA	childC	0.4991	0.5009	0.0	8	deam	HS	2	plink	0.0007348469228349
childB	childC	0.4994	0.5006	0.0	8	deam	HS	2	plink	0.0004898979485566
childA	childC	0.505	0.495	0.0	4	deam	HS	2	plink	0.0040824829046386
childB	childC	0.512	0.488	0.0	4	deam	HS	2	plink	0.0097979589711327
childA	childC	0.9147	0.0	0.0853	1	deam	HS	2	plink	0.3782645370636798
childB	childC	0.9067	0.0113	0.082	1	deam	HS	2	plink	0.3701155585309359
childA	childC	0.5	0.5	0.0	20	deam	HS	2	plink	0.0
childB	childC	0.503	0.497	0.0	20	deam	HS	2	plink	0.0024494897427831
childA	childC	0.6627	0.3147	0.0226	2	deam	HS	2	plink	0.1429663596794714
childB	childC	0.6625	0.3221	0.0154	2	deam	HS	2	plink	0.1393937110011304
childA	childC	0.4988	0.5012	0.0	10	deam	HS	2	plink	0.0009797958971132
childB	childC	0.5019	0.4981	0.0	10	deam	HS	2	plink	0.0015513435037626
childA	childC	0.5093	0.4907	0.0	8	no_deam	HS	2	plink	0.0075934182026278
childB	childC	0.5133	0.4867	0.0	8	no_deam	HS	2	plink	0.0108594045263387
childA	childC	0.637	0.3458	0.0172	4	no_deam	HS	2	plink	0.1195024128068829
childB	childC	0.6409	0.3492	0.0099	4	no_deam	HS	2	plink	0.1192916035044657
childA	childC	1.0	0.0	0.0	1	no_deam	HS	2	plink	0.408248290463863
childB	childC	1.0	0.0	0.0	1	no_deam	HS	2	plink	0.408248290463863
childA	childC	0.5002	0.4998	0.0	20	no_deam	HS	2	plink	0.0001632993161855
childB	childC	0.5031	0.4969	0.0	20	no_deam	HS	2	plink	0.0025311394008759
childA	childC	0.8933	0.0195	0.0871	2	no_deam	HS	2	plink	0.3620090008089117
childB	childC	0.8871	0.0355	0.0774	2	no_deam	HS	2	plink	0.3519457439246377
childA	childC	0.5033	0.4967	0.0	10	no_deam	HS	2	plink	0.0026944387170614
childB	childC	0.5061	0.4939	0.0	10	no_deam	HS	2	plink	0.0049806291436591
childA	childC	0.498	0.502	0.0	8	deam	HS	2	plink	0.0016329931618554
childB	childC	0.5013	0.4987	0.0	8	deam	HS	2	plink	0.001061445555206
childA	childC	0.5062	0.4938	0.0	4	deam	HS	2	plink	0.0050622788017518
childB	childC	0.5145	0.4855	0.0	4	deam	HS	2	plink	0.011839200423452
childA	childC	0.9102	0.006	0.0837	1	deam	HS	2	plink	0.3738563583338748
childB	childC	0.9142	0.0	0.0858	1	deam	HS	2	plink	0.37811959307429
childA	childC	0.5002	0.4998	0.0	20	deam	HS	2	plink	0.0001632993161855
childB	childC	0.5031	0.4969	0.0	20	deam	HS	2	plink	0.0025311394008759
childA	childC	0.6633	0.3137	0.023	2	deam	HS	2	plink	0.1436472299303633
childB	childC	0.668	0.317	0.015	2	deam	HS	2	plink	0.1436871601779366
childA	childC	0.4995	0.5005	0.0	10	deam	HS	2	plink	0.0004082482904638
childB	childC	0.5012	0.4988	0.0	10	deam	HS	2	plink	0.0009797958971132
childA	childC	0.754	0.242	0.004	8	no_deam	HS	2	lcmlkin	0.2090422604801877
childB	childC	0.78	0.217	0.002	8	no_deam	HS	2	lcmlkin	0.2298499510550307
childA	childC	0.768	0.229	0.003	4	no_deam	HS	2	lcmlkin	0.2200560534651721
childB	childC	0.789	0.209	0.002	4	no_deam	HS	2	lcmlkin	0.2367882316895556
childA	childC	0.841	0.147	0.012	1	no_deam	HS	2	lcmlkin	0.2834513479711583
childB	childC	0.846	0.147	0.008	1	no_deam	HS	2	lcmlkin	0.2854172384422496
childA	childC	0.755	0.243	0.002	20	no_deam	HS	2	lcmlkin	0.2090279088224026
childB	childC	0.784	0.215	0.001	20	no_deam	HS	2	lcmlkin	0.2322943534971668
childA	childC	0.791	0.2	0.008	2	no_deam	HS	2	lcmlkin	0.2413469149032847
childB	childC	0.81	0.188	0.002	2	no_deam	HS	2	lcmlkin	0.2539343747243895
childA	childC	0.751	0.247	0.002	10	no_deam	HS	2	lcmlkin	0.2057619984350852
childB	childC	0.785	0.213	0.002	10	no_deam	HS	2	lcmlkin	0.2335223044307902
childA	childC	0.751	0.248	0.001	8	deam	HS	2	lcmlkin	0.2053501075399442
childB	childC	0.784	0.215	0.001	8	deam	HS	2	lcmlkin	0.2322943534971668
childA	childC	0.75	0.248	0.002	4	deam	HS	2	lcmlkin	0.2049455212164117
childB	childC	0.783	0.215	0.002	4	deam	HS	2	lcmlkin	0.2318893414253158
childA	childC	0.806	0.184	0.01	1	deam	HS	2	lcmlkin	0.2540288697504019
childB	childC	0.81	0.186	0.005	1	deam	HS	2	lcmlkin	0.2547685223884615
childA	childC	0.756	0.239	0.005	20	deam	HS	2	lcmlkin	0.2110939759127831
childB	childC	0.778	0.221	0.0	20	deam	HS	2	lcmlkin	0.2273946642587141
childA	childC	0.766	0.231	0.003	2	deam	HS	2	lcmlkin	0.2184231367476135
childB	childC	0.794	0.205	0.001	2	deam	HS	2	lcmlkin	0.2404592827625223
childA	childC	0.756	0.241	0.002	10	deam	HS	2	lcmlkin	0.2102546075595015
childB	childC	0.777	0.222	0.001	10	deam	HS	2	lcmlkin	0.2265789045785154
childA	childC	0.751	0.249	0.0	8	no_deam	HS	2	lcmlkin	0.2049406418128592
childB	childC	0.785	0.214	0.001	8	no_deam	HS	2	lcmlkin	0.2331108463085033
childA	childC	0.762	0.235	0.003	4	no_deam	HS	2	lcmlkin	0.2151573067935799
childB	childC	0.79	0.207	0.003	4	no_deam	HS	2	lcmlkin	0.2380182065865271
childA	childC	0.826	0.166	0.009	1	no_deam	HS	2	lcmlkin	0.269513759698214
childB	childC	0.857	0.139	0.004	1	no_deam	HS	2	lcmlkin	0.2931359184178334
childA	childC	0.756	0.239	0.005	20	no_deam	HS	2	lcmlkin	0.2110939759127831
childB	childC	0.779	0.221	0.001	20	no_deam	HS	2	lcmlkin	0.2278032777054214
childA	childC	0.78	0.218	0.002	2	no_deam	HS	2	lcmlkin	0.229439897721967
childB	childC	0.818	0.177	0.005	2	no_deam	HS	2	lcmlkin	0.2617110365778766
childA	childC	0.753	0.243	0.004	10	no_deam	HS	2	lcmlkin	0.2082258389345568
childB	childC	0.784	0.215	0.001	10	no_deam	HS	2	lcmlkin	0.2322943534971668
childA	childC	0.755	0.241	0.004	8	deam	HS	2	lcmlkin	0.209858682609671
childB	childC	0.784	0.214	0.002	8	deam	HS	2	lcmlkin	0.2327058228751485
childA	childC	0.755	0.243	0.002	4	deam	HS	2	lcmlkin	0.2090279088224026
childB	childC	0.782	0.216	0.002	4	deam	HS	2	lcmlkin	0.2310728600824135
childA	childC	0.793	0.202	0.005	1	deam	HS	2	lcmlkin	0.2413006423530613
childB	childC	0.824	0.167	0.009	1	deam	HS	2	lcmlkin	0.2682946141837364
childA	childC	0.755	0.241	0.004	20	deam	HS	2	lcmlkin	0.209858682609671
childB	childC	0.779	0.22	0.001	20	deam	HS	2	lcmlkin	0.2282118898450882
childA	childC	0.777	0.219	0.004	2	deam	HS	2	lcmlkin	0.227820104468416
childB	childC	0.801	0.193	0.005	2	deam	HS	2	lcmlkin	0.2482438317461281
childA	childC	0.753	0.244	0.003	10	deam	HS	2	lcmlkin	0.207809207367399
childB	childC	0.784	0.214	0.002	10	deam	HS	2	lcmlkin	0.2327058228751485
childA	childC	0.535437	0.46453	2.6e-05	8	no_deam	HS	2	ngsrelateWithRealFreq	0.0289476685589703
childB	childC	0.543396	0.456597	4e-06	8	no_deam	HS	2	ngsrelateWithRealFreq	0.0354355435544595
childA	childC	0.537417	0.462557	2.1e-05	4	no_deam	HS	2	ngsrelateWithRealFreq	0.0305614712723935
childB	childC	0.54586	0.454103	2.8e-05	4	no_deam	HS	2	ngsrelateWithRealFreq	0.037459644921791
childA	childC	0.56732	0.432595	7.6e-05	1	no_deam	HS	2	ngsrelateWithRealFreq	0.0550012793820895
