a	b	J9	J8	J7	cov	deamination	kinship	degree	program	RMSE
childA	childD	0.0	1.0	0.0	8	no_deam	PO	1	plink	0.0
childA	childH	0.007	0.8805	0.1125	8	no_deam	PO	1	plink	0.0948428524806517
childA	founder0	0.0	1.0	0.0	8	no_deam	PO	1	plink	0.0
childA	founder1	0.0	1.0	0.0	8	no_deam	PO	1	plink	0.0
childB	childE	0.0	1.0	0.0	8	no_deam	PO	1	plink	0.0
childB	childF	0.0	1.0	0.0	8	no_deam	PO	1	plink	0.0
childB	founder0	0.0	1.0	0.0	8	no_deam	PO	1	plink	0.0
childB	founder1	0.0	1.0	0.0	8	no_deam	PO	1	plink	0.0
childC	childG	0.0	1.0	0.0	8	no_deam	PO	1	plink	0.0
childC	founder1	0.0	1.0	0.0	8	no_deam	PO	1	plink	0.0
childC	founder2	0.0	1.0	0.0	8	no_deam	PO	1	plink	0.0
childD	founder3	0.0	1.0	0.0	8	no_deam	PO	1	plink	0.0
childE	founder4	0.0094	0.9906	0.0	8	no_deam	PO	1	plink	0.0076750678607206
childF	founder4	0.0091	0.9909	0.0	8	no_deam	PO	1	plink	0.0074301188864423
childG	founder5	0.0	1.0	0.0	8	no_deam	PO	1	plink	0.0
childA	childD	0.1389	0.8593	0.0018	4	no_deam	PO	1	plink	0.1141533179544072
childA	childH	0.1207	0.7562	0.123	4	no_deam	PO	1	plink	0.1723716237281144
childA	founder0	0.1353	0.8534	0.0113	4	no_deam	PO	1	plink	0.115362241078555
childA	founder1	0.1235	0.8755	0.001	4	no_deam	PO	1	plink	0.1012480452486203
childB	childE	0.1234	0.8718	0.0048	4	no_deam	PO	1	plink	0.102771331930002
childB	childF	0.1363	0.8558	0.0079	4	no_deam	PO	1	plink	0.1146498146531428
childB	founder0	0.128	0.8638	0.0082	4	no_deam	PO	1	plink	0.1080149372386369
childB	founder1	0.1287	0.8691	0.0022	4	no_deam	PO	1	plink	0.1059926727027235
childC	childG	0.1361	0.8515	0.0124	4	no_deam	PO	1	plink	0.1165178384053989
childC	founder1	0.1295	0.8594	0.0111	4	no_deam	PO	1	plink	0.1105468528121296
childC	founder2	0.1333	0.8601	0.0066	4	no_deam	PO	1	plink	0.111631029139154
childD	founder3	0.1331	0.8613	0.0055	4	no_deam	PO	1	plink	0.1110308515683816
childE	founder4	0.1367	0.8464	0.0169	4	no_deam	PO	1	plink	0.1191154342084461
childF	founder4	0.1268	0.863	0.0102	4	no_deam	PO	1	plink	0.1079371422016845
childG	founder5	0.1377	0.8519	0.0105	4	no_deam	PO	1	plink	0.1169118613885406
childA	childD	0.664	0.2141	0.1219	1	no_deam	PO	1	plink	0.5981623023895772
childA	childH	0.6033	0.1887	0.208	1	no_deam	PO	1	plink	0.5959425531598382
childA	founder0	0.65	0.2156	0.1345	1	no_deam	PO	1	plink	0.5932603728549548
childA	founder1	0.65	0.2309	0.119	1	no_deam	PO	1	plink	0.5854274250494249
childB	childE	0.6022	0.2907	0.107	1	no_deam	PO	1	plink	0.5407403350962456
childB	childF	0.5828	0.3245	0.0926	1	no_deam	PO	1	plink	0.5178580403933108
childB	founder0	0.5924	0.3083	0.0992	1	no_deam	PO	1	plink	0.5289068254428184
childB	founder1	0.6121	0.2824	0.1054	1	no_deam	PO	1	plink	0.5479432239444765
childC	childG	0.6705	0.197	0.1325	1	no_deam	PO	1	plink	0.6088063457838351
childC	founder1	0.6442	0.2349	0.1209	1	no_deam	PO	1	plink	0.5816609722739412
childC	founder2	0.6542	0.2187	0.1272	1	no_deam	PO	1	plink	0.5928988587159421
