a	FID2	b	RT	EZ	J9	J8	J7	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childA	familyX	childE	OT	0	0.4985	0.5015	0.0	0.2507	-1	0.74683	0.9996	3.5227	8	no_deam	A	2	plink	0.0012247448713915675
childA	familyX	childF	OT	0	0.5128	0.4872	0.0	0.2436	-1	0.745073	1.0	4.3784	8	no_deam	A	2	plink	0.010451156235874899
childB	familyX	childD	OT	0	0.5116	0.4884	0.0	0.2442	-1	0.74441	1.0	4.8529	8	no_deam	A	2	plink	0.009471360338761644
childA	familyX	childE	OT	0	0.6274	0.3551	0.0175	0.195	-1	0.740437	0.8296	2.3167	4	no_deam	A	2	plink	0.11185261135381086
childA	familyX	childF	OT	0	0.6357	0.3525	0.0118	0.188	-1	0.738398	0.9971	3.1458	4	no_deam	A	2	plink	0.11591660795589218
childB	familyX	childD	OT	0	0.6323	0.3602	0.0075	0.1876	-1	0.737959	1.0	4.3784	4	no_deam	A	2	plink	0.1112108807626304
childA	familyX	childE	OT	0	1.0	0.0	0.0	0.0	-1	0.748423	0.0592	1.5921	1	no_deam	A	2	plink	0.408248290463863
childA	familyX	childF	OT	0	0.9111	0.0	0.0889	0.0889	-1	0.747916	0.1692	1.7361	1	no_deam	A	2	plink	0.37722955875699876
childB	familyX	childD	OT	0	0.9067	0.0	0.0933	0.0933	-1	0.747818	0.1339	1.6986	1	no_deam	A	2	plink	0.37599192367212714
childA	familyX	childE	OT	0	0.4882	0.5118	0.0	0.2559	-1	0.74764	0.9998	3.6279	20	no_deam	A	2	plink	0.009634659654947171
childA	familyX	childF	OT	0	0.4987	0.5013	0.0	0.2507	-1	0.74596	1.0	4.5278	20	no_deam	A	2	plink	0.0010614455552060403
childB	familyX	childD	OT	0	0.5011	0.4989	0.0	0.2495	-1	0.7451	1.0	5.0303	20	no_deam	A	2	plink	0.0008981462390204904
childA	familyX	childE	OT	0	0.8634	0.059	0.0775	0.1071	-1	0.736652	0.3442	1.8841	2	no_deam	A	2	plink	0.3329398394104657
childA	familyX	childF	OT	0	0.8752	0.0498	0.0751	0.0999	-1	0.73491	0.1971	1.7639	2	no_deam	A	2	plink	0.34112318889222404
childB	familyX	childD	OT	0	0.885	0.0413	0.0737	0.0943	-1	0.733578	0.3255	1.8696	2	no_deam	A	2	plink	0.34835919202264015
childA	familyX	childE	OT	0	0.4909	0.5091	0.0	0.2546	-1	0.747435	0.9998	3.6279	10	no_deam	A	2	plink	0.007430118886442304
childA	familyX	childF	OT	0	0.501	0.499	0.0	0.2495	-1	0.74585	1.0	4.5278	10	no_deam	A	2	plink	0.0008164965809277268
childB	familyX	childD	OT	0	0.5037	0.4963	0.0	0.2481	-1	0.74489	1.0	5.0303	10	no_deam	A	2	plink	0.003021037349432594
childA	familyX	childE	OT	0	0.4869	0.5131	0.0	0.2566	-1	0.747949	0.9998	3.6279	8	deam	A	2	plink	0.010696105210153212
childA	familyX	childF	OT	0	0.4969	0.5031	0.0	0.2515	-1	0.746287	1.0	4.5278	8	deam	A	2	plink	0.002531139400875944
childB	familyX	childD	OT	0	0.499	0.501	0.0	0.2505	-1	0.745594	1.0	5.0303	8	deam	A	2	plink	0.0008164965809277268
childA	familyX	childE	OT	0	0.4972	0.5028	0.0	0.2514	-1	0.747341	0.9894	2.902	4	deam	A	2	plink	0.002286190426597653
childA	familyX	childF	OT	0	0.5101	0.4899	0.0	0.2449	-1	0.74564	1.0	4.2368	4	deam	A	2	plink	0.008246615467370032
childB	familyX	childD	OT	0	0.513	0.487	0.0	0.2435	-1	0.744401	0.9989	3.3261	4	deam	A	2	plink	0.010614455552060448
childA	familyX	childE	OT	0	0.9036	0.0104	0.0861	0.0913	-1	0.736631	0.0962	1.6533	1	deam	A	2	plink	0.3696910106201303
childA	familyX	childF	OT	0	0.9119	0.0	0.0881	0.0881	-1	0.734808	0.5	2.0	1	deam	A	2	plink	0.3774578210431818
childB	familyX	childD	OT	0	0.9119	0.0	0.0881	0.0881	-1	0.734818	0.3815	1.9118	1	deam	A	2	plink	0.3774578210431818
childA	familyX	childE	OT	0	0.4881	0.5119	0.0	0.256	-1	0.748063	0.9998	3.6279	20	deam	A	2	plink	0.009716309313039958
childA	familyX	childF	OT	0	0.4985	0.5015	0.0	0.2507	-1	0.746381	1.0	4.5278	20	deam	A	2	plink	0.0012247448713915675
childB	familyX	childD	OT	0	0.5012	0.4988	0.0	0.2494	-1	0.745487	1.0	5.0303	20	deam	A	2	plink	0.000979795897113254
childA	familyX	childE	OT	0	0.6659	0.311	0.0231	0.1786	-1	0.737566	0.9982	3.234	2	deam	A	2	plink	0.1458051439421806
