a	FID2	b	RT	EZ	J9	J8	J7	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childD	familyX	childE	OT	0	0.7644	0.2356	0.0	0.1178	-1	0.716349	0.7427	2.2097	8	no_deam	FC	3	plink	0.01175755076535924
childD	familyX	childF	OT	0	0.7631	0.2369	0.0	0.1185	-1	0.715951	0.7887	2.2623	8	no_deam	FC	3	plink	0.010696105210153212
childD	familyX	childE	OT	0	0.8913	0.0903	0.0184	0.0636	-1	0.710842	0.8649	2.3729	4	no_deam	FC	3	plink	0.12356960251885035
childD	familyX	childF	OT	0	0.8809	0.1072	0.0119	0.0655	-1	0.710751	0.5795	2.0615	4	no_deam	FC	3	plink	0.1120539453418159
childD	familyX	childE	OT	0	1.0	0.0	0.0	0.0	-1	0.726025	0.0017	1.3176	1	no_deam	FC	3	plink	0.2041241452319315
childD	familyX	childF	OT	0	1.0	0.0	0.0	0.0	-1	0.727076	0.0312	1.5256	1	no_deam	FC	3	plink	0.2041241452319315
childD	familyX	childE	OT	0	0.7538	0.2462	0.0	0.1231	-1	0.7171	0.5795	2.0615	20	no_deam	FC	3	plink	0.0031026870075253686
childD	familyX	childF	OT	0	0.7505	0.2495	0.0	0.1248	-1	0.71666	0.6372	2.1094	20	no_deam	FC	3	plink	0.00040824829046384075
childD	familyX	childE	OT	0	1.0	0.0	0.0	0.0	-1	0.709374	0.0544	1.5844	2	no_deam	FC	3	plink	0.2041241452319315
childD	familyX	childF	OT	0	1.0	0.0	0.0	0.0	-1	0.708314	0.0544	1.5844	2	no_deam	FC	3	plink	0.2041241452319315
childD	familyX	childE	OT	0	0.7567	0.2433	0.0	0.1217	-1	0.71697	0.8649	2.3729	10	no_deam	FC	3	plink	0.005470527092215785
childD	familyX	childF	OT	0	0.752	0.248	0.0	0.124	-1	0.716585	0.8949	2.431	10	no_deam	FC	3	plink	0.0016329931618554536
childD	familyX	childE	OT	0	0.7497	0.2503	0.0	0.1251	-1	0.717608	0.5795	2.0615	8	deam	FC	3	plink	0.0002449489742783135
childD	familyX	childF	OT	0	0.7467	0.2533	0.0	0.1267	-1	0.717033	0.6372	2.1094	8	deam	FC	3	plink	0.002694438717061494
childD	familyX	childE	OT	0	0.7622	0.2378	0.0	0.1189	-1	0.717209	0.7427	2.2097	4	deam	FC	3	plink	0.009961258287318248
childD	familyX	childF	OT	0	0.7585	0.2415	0.0	0.1208	-1	0.716754	0.8296	2.3167	4	deam	FC	3	plink	0.006940220937885655
childD	familyX	childE	OT	0	1.0	0.0	0.0	0.0	-1	0.711163	0.0009	1.2874	1	deam	FC	3	plink	0.2041241452319315
childD	familyX	childF	OT	0	1.0	0.0	0.0	0.0	-1	0.710792	0.0039	1.369	1	deam	FC	3	plink	0.2041241452319315
childD	familyX	childE	OT	0	0.7538	0.2462	0.0	0.1231	-1	0.717562	0.5795	2.0615	20	deam	FC	3	plink	0.0031026870075253686
childD	familyX	childF	OT	0	0.7502	0.2498	0.0	0.1249	-1	0.717098	0.6372	2.1094	20	deam	FC	3	plink	0.00016329931618553855
childD	familyX	childE	OT	0	0.9173	0.0538	0.0289	0.0558	-1	0.710314	0.7887	2.2623	2	deam	FC	3	plink	0.14979868713265368
childD	familyX	childF	OT	0	0.9091	0.0699	0.0211	0.056	-1	0.709745	0.7887	2.2623	2	deam	FC	3	plink	0.13927673890495856
childD	familyX	childE	OT	0	0.752	0.248	0.0	0.124	-1	0.717619	0.5795	2.0615	10	deam	FC	3	plink	0.0016329931618554536
childD	familyX	childF	OT	0	0.7484	0.2516	0.0	0.1258	-1	0.717245	0.6372	2.1094	10	deam	FC	3	plink	0.0013063945294843763
childD	familyX	childE	OT	0	0.7667	0.2333	0.0	0.1166	-1	0.716548	0.5795	2.0615	8	no_deam	FC	3	plink	0.013635492901493042
childD	familyX	childF	OT	0	0.7632	0.2368	0.0	0.1184	-1	0.716201	0.5795	2.0615	8	no_deam	FC	3	plink	0.010777754868245976
childD	familyX	childE	OT	0	0.889	0.0952	0.0158	0.0634	-1	0.710613	0.2907	1.8429	4	no_deam	FC	3	plink	0.12046255296425802
childD	familyX	childF	OT	0	0.8897	0.0953	0.015	0.0626	-1	0.710368	0.4601	1.9701	4	no_deam	FC	3	plink	0.12065540463098481
childD	familyX	childE	OT	0	1.0	0.0	0.0	0.0	-1	0.726079	0.0028	1.3452	1	no_deam	FC	3	plink	0.2041241452319315
childD	familyX	childF	OT	0	1.0	0.0	0.0	0.0	-1	0.726347	0.0102	1.4321	1	no_deam	FC	3	plink	0.2041241452319315
childD	familyX	childE	OT	0	0.7537	0.2463	0.0	0.1231	-1	0.717095	0.5795	2.0615	20	no_deam	FC	3	plink	0.0030210373494326047
childD	familyX	childF	OT	0	0.7503	0.2497	0.0	0.1248	-1	0.71667	0.6372	2.1094	20	no_deam	FC	3	plink	0.00024494897427830217
childD	familyX	childE	OT	0	1.0	0.0	0.0	0.0	-1	0.708549	0.0001	1.163	2	no_deam	FC	3	plink	0.2041241452319315
childD	familyX	childF	OT	0	1.0	0.0	0.0	0.0	-1	0.708526	0.0	1.0101	2	no_deam	FC	3	plink	0.2041241452319315
childD	familyX	childE	OT	0	0.7564	0.2436	0.0	0.1218	-1	0.716985	0.5795	2.0615	10	no_deam	FC	3	plink	0.005225578117937426
childD	familyX	childF	OT	0	0.753	0.247	0.0	0.1235	-1	0.71657	0.6372	2.1094	10	no_deam	FC	3	plink	0.00244948974278318
childD	familyX	childE	OT	0	0.7506	0.2494	0.0	0.1247	-1	0.717812	0.6372	2.1094	8	deam	FC	3	plink	0.0004898979485566497
childD	familyX	childF	OT	0	0.7473	0.2527	0.0	0.1263	-1	0.717224	0.6372	2.1094	8	deam	FC	3	plink	0.002204540768504867
childD	familyX	childE	OT	0	0.7589	0.2411	0.0	0.1205	-1	0.717467	0.7887	2.2623	4	deam	FC	3	plink	0.007266819570256765
childD	familyX	childF	OT	0	0.7544	0.2456	0.0	0.1228	-1	0.716968	0.8949	2.431	4	deam	FC	3	plink	0.003592584956081973
childD	familyX	childE	OT	0	1.0	0.0	0.0	0.0	-1	0.711821	0.1581	1.726	1	deam	FC	3	plink	0.2041241452319315
childD	familyX	childF	OT	0	1.0	0.0	0.0	0.0	-1	0.712038	0.2414	1.8028	1	deam	FC	3	plink	0.2041241452319315
childD	familyX	childE	OT	0	0.7536	0.2464	0.0	0.1232	-1	0.717541	0.5795	2.0615	20	deam	FC	3	plink	0.00293938769133983
childD	familyX	childF	OT	0	0.7503	0.2497	0.0	0.1248	-1	0.717106	0.6372	2.1094	20	deam	FC	3	plink	0.00024494897427830217
childD	familyX	childE	OT	0	0.917	0.0555	0.0275	0.0553	-1	0.710024	0.0962	1.6533	2	deam	FC	3	plink	0.14885731423077606
childD	familyX	childF	OT	0	0.9258	0.0451	0.0291	0.0516	-1	0.70933	0.1581	1.726	2	deam	FC	3	plink	0.15677633750027456
childD	familyX	childE	OT	0	0.7525	0.2475	0.0	0.1238	-1	0.717472	0.6919	2.1587	10	deam	FC	3	plink	0.002041241452319294
childD	familyX	childF	OT	0	0.7481	0.2519	0.0	0.126	-1	0.717147	0.6372	2.1094	10	deam	FC	3	plink	0.00155134350376269
