a	FID2	b	RT	EZ	J9	J8	J7	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childA	familyX	childB	OT	0	0.2584	0.5029	0.2387	0.4902	-1	0.823244	1.0	8.0455	8	no_deam	FS	1	plink	0.008299799194358068
childE	familyX	childF	OT	0	0.2524	0.5108	0.2368	0.4922	-1	0.823544	1.0	18.9	8	no_deam	FS	1	plink	0.00994384231572485
childA	familyX	childB	OT	0	0.3495	0.4213	0.2292	0.4398	-1	0.812462	1.0	6.96	4	no_deam	FS	1	plink	0.0742216949415735
childE	familyX	childF	OT	0	0.3456	0.4249	0.2295	0.4419	-1	0.812964	1.0	8.4762	4	no_deam	FS	1	plink	0.0711796319181267
childA	familyX	childB	OT	0	0.6889	0.1212	0.1899	0.2505	-1	0.793725	0.9722	2.717	1	no_deam	FS	1	plink	0.33651877609825376
childE	familyX	childF	OT	0	0.6794	0.1315	0.189	0.2548	-1	0.79457	0.9867	2.8627	1	no_deam	FS	1	plink	0.32858160325861213
childA	familyX	childB	OT	0	0.2512	0.5092	0.2397	0.4942	-1	0.82419	1.0	8.0455	20	no_deam	FS	1	plink	0.008003540883050863
childE	familyX	childF	OT	0	0.2451	0.5166	0.2383	0.4966	-1	0.82462	1.0	17.0909	20	no_deam	FS	1	plink	0.012061785384704288
childA	familyX	childB	OT	0	0.5693	0.2059	0.2248	0.3278	-1	0.795866	0.9982	3.234	2	no_deam	FS	1	plink	0.2510526770752837
childE	familyX	childF	OT	0	0.5657	0.2188	0.2155	0.3249	-1	0.794548	0.9989	3.3261	2	no_deam	FS	1	plink	0.2449014631778803
childA	familyX	childB	OT	0	0.2533	0.5071	0.2395	0.4931	-1	0.823945	1.0	8.0455	10	no_deam	FS	1	plink	0.007561966234606806
childE	familyX	childF	OT	0	0.2469	0.5154	0.2378	0.4954	-1	0.824335	1.0	17.0909	10	no_deam	FS	1	plink	0.011483466375620192
childA	familyX	childB	OT	0	0.2501	0.5102	0.2397	0.4948	-1	0.82422	1.0	8.0455	8	deam	FS	1	plink	0.008369388667439612
childE	familyX	childF	OT	0	0.2434	0.5187	0.2379	0.4972	-1	0.824634	1.0	17.0909	8	deam	FS	1	plink	0.013412183515992736
childA	familyX	childB	OT	0	0.26	0.5056	0.2344	0.4872	-1	0.821791	1.0	8.0455	4	deam	FS	1	plink	0.011176165114504479
childE	familyX	childF	OT	0	0.2549	0.5124	0.2327	0.4889	-1	0.822048	1.0	14.3077	4	deam	FS	1	plink	0.012610313239567043
childA	familyX	childB	OT	0	0.6033	0.1881	0.2087	0.3027	-1	0.791502	0.9999	3.7143	1	deam	FS	1	plink	0.2731350032493089
