IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program
childB	familyX	childI	OT	0	0.4409	0.3914	0.1677	0.3634	-1	0.788796	1.0000	4.2368	8	no_deam	GP	2	plink
childD	familyX	founder0	OT	0	0.5184	0.4816	0.0000	0.2408	-1	0.745623	1.0000	4.1026	8	no_deam	GP	2	plink
childD	familyX	founder1	OT	0	0.5296	0.4704	0.0000	0.2352	-1	0.746228	0.9971	3.1458	8	no_deam	GP	2	plink
childE	familyX	founder0	OT	0	0.5083	0.4917	0.0000	0.2458	-1	0.747100	1.0000	4.6857	8	no_deam	GP	2	plink
childE	familyX	founder1	OT	0	0.5090	0.4910	0.0000	0.2455	-1	0.746185	1.0000	5.0303	8	no_deam	GP	2	plink
childF	familyX	founder0	OT	0	0.5108	0.4892	0.0000	0.2446	-1	0.745973	1.0000	4.5278	8	no_deam	GP	2	plink
childF	familyX	founder1	OT	0	0.5104	0.4896	0.0000	0.2448	-1	0.745188	1.0000	4.6857	8	no_deam	GP	2	plink
childG	familyX	founder1	OT	0	0.5130	0.4870	0.0000	0.2435	-1	0.746493	1.0000	5.2188	8	no_deam	GP	2	plink
childG	familyX	founder2	OT	0	0.5243	0.4757	0.0000	0.2378	-1	0.745415	1.0000	7.6522	8	no_deam	GP	2	plink
childH	familyX	founder4	OT	0	0.6873	0.2719	0.0408	0.1768	-1	0.736276	1.0000	4.3784	8	no_deam	GP	2	plink
childB	familyX	childI	OT	0	0.5436	0.2721	0.1842	0.3203	-1	0.781926	0.9999	3.7381	4	no_deam	GP	2	plink
childD	familyX	founder0	OT	0	0.6403	0.3404	0.0192	0.1895	-1	0.739316	0.9844	2.8269	4	no_deam	GP	2	plink
childD	familyX	founder1	OT	0	0.6400	0.3375	0.0225	0.1912	-1	0.739967	0.9894	2.9020	4	no_deam	GP	2	plink
childE	familyX	founder0	OT	0	0.6293	0.3533	0.0174	0.1940	-1	0.740194	0.9954	3.0612	4	no_deam	GP	2	plink
childE	familyX	founder1	OT	0	0.6377	0.3446	0.0177	0.1900	-1	0.739321	0.9989	3.3261	4	no_deam	GP	2	plink
childF	familyX	founder0	OT	0	0.6399	0.3401	0.0199	0.1900	-1	0.739497	0.9993	3.4222	4	no_deam	GP	2	plink
childF	familyX	founder1	OT	0	0.6428	0.3393	0.0180	0.1876	-1	0.738790	0.9894	2.9020	4	no_deam	GP	2	plink
childG	familyX	founder1	OT	0	0.6366	0.3391	0.0243	0.1938	-1	0.740710	0.9989	3.3261	4	no_deam	GP	2	plink
childG	familyX	founder2	OT	0	0.6478	0.3307	0.0215	0.1869	-1	0.738904	0.9989	3.3261	4	no_deam	GP	2	plink
childH	familyX	founder4	OT	0	0.8114	0.1143	0.0743	0.1314	-1	0.730581	0.9894	2.9020	4	no_deam	GP	2	plink
childB	familyX	childI	OT	0	0.7874	0.0000	0.2126	0.2126	-1	0.784489	0.9465	2.5818	1	no_deam	GP	2	plink
childD	familyX	founder0	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.747721	0.2101	1.7746	1	no_deam	GP	2	plink
childD	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.748438	0.4202	1.9403	1	no_deam	GP	2	plink
childE	familyX	founder0	OT	0	0.9018	0.0000	0.0982	0.0982	-1	0.748100	0.0312	1.5256	1	no_deam	GP	2	plink
childE	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.747329	0.0151	1.4625	1	no_deam	GP	2	plink
childF	familyX	founder0	OT	0	0.9151	0.0000	0.0849	0.0849	-1	0.747253	0.2563	1.8143	1	no_deam	GP	2	plink
childF	familyX	founder1	OT	0	0.9125	0.0000	0.0875	0.0875	-1	0.747734	0.1339	1.6986	1	no_deam	GP	2	plink
childG	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.747630	0.1457	1.7123	1	no_deam	GP	2	plink
childG	familyX	founder2	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.746405	0.0792	1.6267	1	no_deam	GP	2	plink
childH	familyX	founder4	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.746316	0.0011	1.2907	1	no_deam	GP	2	plink
childB	familyX	childI	OT	0	0.4333	0.4000	0.1667	0.3667	-1	0.789410	1.0000	4.3784	20	no_deam	GP	2	plink
childD	familyX	founder0	OT	0	0.5094	0.4906	0.0000	0.2453	-1	0.746220	1.0000	4.1026	20	no_deam	GP	2	plink
childD	familyX	founder1	OT	0	0.5166	0.4834	0.0000	0.2417	-1	0.747015	0.9989	3.3261	20	no_deam	GP	2	plink
childE	familyX	founder0	OT	0	0.4967	0.5033	0.0000	0.2517	-1	0.747680	1.0000	4.3784	20	no_deam	GP	2	plink
childE	familyX	founder1	OT	0	0.4992	0.5008	0.0000	0.2504	-1	0.746915	1.0000	5.0303	20	no_deam	GP	2	plink
childF	familyX	founder0	OT	0	0.5003	0.4997	0.0000	0.2499	-1	0.746600	1.0000	4.8529	20	no_deam	GP	2	plink
childF	familyX	founder1	OT	0	0.4997	0.5003	0.0000	0.2502	-1	0.745985	1.0000	4.6857	20	no_deam	GP	2	plink
childG	familyX	founder1	OT	0	0.5036	0.4964	0.0000	0.2482	-1	0.747155	1.0000	5.4194	20	no_deam	GP	2	plink
childG	familyX	founder2	OT	0	0.5146	0.4854	0.0000	0.2427	-1	0.745885	1.0000	7.6522	20	no_deam	GP	2	plink
childH	familyX	founder4	OT	0	0.6781	0.2834	0.0385	0.1802	-1	0.736790	1.0000	4.3784	20	no_deam	GP	2	plink
childB	familyX	childI	OT	0	0.7668	0.0112	0.2220	0.2276	-1	0.773651	0.9558	2.6182	2	no_deam	GP	2	plink
childD	familyX	founder0	OT	0	0.8981	0.0144	0.0876	0.0947	-1	0.734679	0.4601	1.9701	2	no_deam	GP	2	plink
childD	familyX	founder1	OT	0	0.8814	0.0406	0.0780	0.0983	-1	0.734764	0.2907	1.8429	2	no_deam	GP	2	plink
childE	familyX	founder0	OT	0	0.8665	0.0596	0.0739	0.1037	-1	0.735655	0.4601	1.9701	2	no_deam	GP	2	plink
childE	familyX	founder1	OT	0	0.8839	0.0340	0.0821	0.0991	-1	0.735227	0.4011	1.9265	2	no_deam	GP	2	plink
childF	familyX	founder0	OT	0	0.8851	0.0303	0.0845	0.0997	-1	0.735544	0.0730	1.6184	2	no_deam	GP	2	plink
childF	familyX	founder1	OT	0	0.8830	0.0382	0.0789	0.0979	-1	0.734747	0.1581	1.7260	2	no_deam	GP	2	plink
childG	familyX	founder1	OT	0	0.8878	0.0265	0.0857	0.0990	-1	0.735472	0.2414	1.8028	2	no_deam	GP	2	plink
childG	familyX	founder2	OT	0	0.8820	0.0423	0.0757	0.0969	-1	0.734286	0.6372	2.1094	2	no_deam	GP	2	plink
childH	familyX	founder4	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.729645	0.0486	1.5714	2	no_deam	GP	2	plink
childB	familyX	childI	OT	0	0.4368	0.3954	0.1677	0.3654	-1	0.789220	1.0000	4.3784	10	no_deam	GP	2	plink
childD	familyX	founder0	OT	0	0.5113	0.4887	0.0000	0.2444	-1	0.746075	1.0000	4.1026	10	no_deam	GP	2	plink
childD	familyX	founder1	OT	0	0.5192	0.4808	0.0000	0.2404	-1	0.746825	0.9993	3.4222	10	no_deam	GP	2	plink
childE	familyX	founder0	OT	0	0.4995	0.5005	0.0000	0.2503	-1	0.747515	1.0000	4.6857	10	no_deam	GP	2	plink
childE	familyX	founder1	OT	0	0.5025	0.4975	0.0000	0.2487	-1	0.746705	1.0000	5.0303	10	no_deam	GP	2	plink
childF	familyX	founder0	OT	0	0.5032	0.4968	0.0000	0.2484	-1	0.746460	1.0000	4.8529	10	no_deam	GP	2	plink
childF	familyX	founder1	OT	0	0.5032	0.4968	0.0000	0.2484	-1	0.745840	1.0000	4.5278	10	no_deam	GP	2	plink
childG	familyX	founder1	OT	0	0.5069	0.4931	0.0000	0.2466	-1	0.746855	1.0000	5.4194	10	no_deam	GP	2	plink
childG	familyX	founder2	OT	0	0.5170	0.4830	0.0000	0.2415	-1	0.745680	1.0000	7.6522	10	no_deam	GP	2	plink
childH	familyX	founder4	OT	0	0.6803	0.2803	0.0393	0.1795	-1	0.736730	1.0000	4.3784	10	no_deam	GP	2	plink
childB	familyX	childI	OT	0	0.4304	0.4023	0.1672	0.3684	-1	0.789716	1.0000	4.5278	8	deam	GP	2	plink
childD	familyX	founder0	OT	0	0.5074	0.4926	0.0000	0.2463	-1	0.746634	1.0000	4.1026	8	deam	GP	2	plink
childD	familyX	founder1	OT	0	0.5153	0.4847	0.0000	0.2424	-1	0.747502	0.9989	3.3261	8	deam	GP	2	plink
childE	familyX	founder0	OT	0	0.4938	0.5062	0.0000	0.2531	-1	0.748051	1.0000	4.3784	8	deam	GP	2	plink
childE	familyX	founder1	OT	0	0.4969	0.5031	0.0000	0.2515	-1	0.747338	1.0000	4.6857	8	deam	GP	2	plink
childF	familyX	founder0	OT	0	0.4986	0.5014	0.0000	0.2507	-1	0.746938	1.0000	4.6857	8	deam	GP	2	plink
childF	familyX	founder1	OT	0	0.4981	0.5019	0.0000	0.2510	-1	0.746414	1.0000	4.6857	8	deam	GP	2	plink
childG	familyX	founder1	OT	0	0.5011	0.4989	0.0000	0.2494	-1	0.747692	1.0000	5.4194	8	deam	GP	2	plink
childG	familyX	founder2	OT	0	0.5125	0.4875	0.0000	0.2438	-1	0.746267	1.0000	7.6522	8	deam	GP	2	plink
childH	familyX	founder4	OT	0	0.6741	0.2869	0.0390	0.1825	-1	0.737215	1.0000	4.3784	8	deam	GP	2	plink
childB	familyX	childI	OT	0	0.4419	0.3925	0.1656	0.3618	-1	0.787768	1.0000	4.8529	4	deam	GP	2	plink
childD	familyX	founder0	OT	0	0.5182	0.4818	0.0000	0.2409	-1	0.745845	1.0000	4.1026	4	deam	GP	2	plink
childD	familyX	founder1	OT	0	0.5270	0.4716	0.0015	0.2373	-1	0.746240	1.0000	4.1026	4	deam	GP	2	plink
childE	familyX	founder0	OT	0	0.5063	0.4937	0.0000	0.2469	-1	0.747052	1.0000	5.8621	4	deam	GP	2	plink
childE	familyX	founder1	OT	0	0.5064	0.4936	0.0000	0.2468	-1	0.746710	1.0000	5.6333	4	deam	GP	2	plink
childF	familyX	founder0	OT	0	0.5106	0.4894	0.0000	0.2447	-1	0.746387	1.0000	4.5278	4	deam	GP	2	plink
childF	familyX	founder1	OT	0	0.5079	0.4921	0.0000	0.2461	-1	0.745687	1.0000	4.8529	4	deam	GP	2	plink
childG	familyX	founder1	OT	0	0.5092	0.4908	0.0000	0.2454	-1	0.747094	1.0000	4.8529	4	deam	GP	2	plink
childG	familyX	founder2	OT	0	0.5267	0.4733	0.0000	0.2367	-1	0.745365	1.0000	7.2917	4	deam	GP	2	plink
childH	familyX	founder4	OT	0	0.6833	0.2734	0.0433	0.1800	-1	0.736604	0.9971	3.1458	4	deam	GP	2	plink
childB	familyX	childI	OT	0	0.7786	0.0000	0.2214	0.2214	-1	0.773723	0.7268	2.1935	1	deam	GP	2	plink
childD	familyX	founder0	OT	0	0.9070	0.0000	0.0930	0.0930	-1	0.734320	0.0962	1.6533	1	deam	GP	2	plink
childD	familyX	founder1	OT	0	0.9110	0.0000	0.0890	0.0890	-1	0.734621	0.4601	1.9701	1	deam	GP	2	plink
childE	familyX	founder0	OT	0	0.9095	0.0000	0.0905	0.0905	-1	0.736609	0.2733	1.8286	1	deam	GP	2	plink
childE	familyX	founder1	OT	0	0.9101	0.0000	0.0899	0.0899	-1	0.735916	0.6919	2.1587	1	deam	GP	2	plink
childF	familyX	founder0	OT	0	0.9103	0.0000	0.0897	0.0897	-1	0.734900	0.1457	1.7123	1	deam	GP	2	plink
childF	familyX	founder1	OT	0	0.9140	0.0013	0.0847	0.0853	-1	0.735243	0.0874	1.6400	1	deam	GP	2	plink
