IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program
childD	familyX	childG	OT	0	0.8795	0.1205	0.0000	0.0602	-1	0.703067	0.9558	2.6182	8	no_deam	HC	4	plink
childE	familyX	childG	OT	0	0.8932	0.1068	0.0000	0.0534	-1	0.701630	0.8296	2.3167	8	no_deam	HC	4	plink
childF	familyX	childG	OT	0	0.9047	0.0953	0.0000	0.0477	-1	0.700972	0.9982	3.2340	8	no_deam	HC	4	plink
childD	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.697092	0.0397	1.5513	4	no_deam	HC	4	plink
childE	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.696485	0.3442	1.8841	4	no_deam	HC	4	plink
childF	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.695653	0.9844	2.8269	4	no_deam	HC	4	plink
childD	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.719316	0.0000	1.1522	1	no_deam	HC	4	plink
childE	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.717018	0.0000	1.1413	1	no_deam	HC	4	plink
childF	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.715997	0.0004	1.2386	1	no_deam	HC	4	plink
childD	familyX	childG	OT	0	0.8680	0.1320	0.0000	0.0660	-1	0.703540	0.5795	2.0615	20	no_deam	HC	4	plink
childE	familyX	childG	OT	0	0.8794	0.1206	0.0000	0.0603	-1	0.702200	0.8649	2.3729	20	no_deam	HC	4	plink
childF	familyX	childG	OT	0	0.8927	0.1073	0.0000	0.0537	-1	0.701620	0.9954	3.0612	20	no_deam	HC	4	plink
childD	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.698085	0.0003	1.2247	2	no_deam	HC	4	plink
childE	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.697609	0.1581	1.7260	2	no_deam	HC	4	plink
childF	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.698177	0.0006	1.2614	2	no_deam	HC	4	plink
childD	familyX	childG	OT	0	0.8718	0.1282	0.0000	0.0641	-1	0.703340	0.5795	2.0615	10	no_deam	HC	4	plink
childE	familyX	childG	OT	0	0.8827	0.1173	0.0000	0.0586	-1	0.702050	0.8649	2.3729	10	no_deam	HC	4	plink
childF	familyX	childG	OT	0	0.8958	0.1042	0.0000	0.0521	-1	0.701495	0.9954	3.0612	10	no_deam	HC	4	plink
childD	familyX	childG	OT	0	0.8647	0.1353	0.0000	0.0676	-1	0.704319	0.5795	2.0615	8	deam	HC	4	plink
childE	familyX	childG	OT	0	0.8724	0.1276	0.0000	0.0638	-1	0.703008	0.8649	2.3729	8	deam	HC	4	plink
childF	familyX	childG	OT	0	0.8872	0.1128	0.0000	0.0564	-1	0.702214	0.9954	3.0612	8	deam	HC	4	plink
childD	familyX	childG	OT	0	0.8711	0.1289	0.0000	0.0644	-1	0.704054	0.5200	2.0152	4	deam	HC	4	plink
childE	familyX	childG	OT	0	0.8828	0.1172	0.0000	0.0586	-1	0.703395	0.7427	2.2097	4	deam	HC	4	plink
childF	familyX	childG	OT	0	0.9005	0.0995	0.0000	0.0497	-1	0.702264	0.9894	2.9020	4	deam	HC	4	plink
childD	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.701446	0.0000	1.0729	1	deam	HC	4	plink
childE	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.700081	0.0000	0.8774	1	deam	HC	4	plink
childF	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.699720	0.0001	1.1868	1	deam	HC	4	plink
childD	familyX	childG	OT	0	0.8679	0.1321	0.0000	0.0660	-1	0.704004	0.5795	2.0615	20	deam	HC	4	plink
childE	familyX	childG	OT	0	0.8792	0.1208	0.0000	0.0604	-1	0.702676	0.8649	2.3729	20	deam	HC	4	plink
childF	familyX	childG	OT	0	0.8926	0.1074	0.0000	0.0537	-1	0.702082	0.9954	3.0612	20	deam	HC	4	plink
childD	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.697140	0.1971	1.7639	2	deam	HC	4	plink
childE	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.696392	0.7427	2.2097	2	deam	HC	4	plink
childF	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.696373	0.4601	1.9701	2	deam	HC	4	plink
childD	familyX	childG	OT	0	0.8646	0.1354	0.0000	0.0677	-1	0.704123	0.5795	2.0615	10	deam	HC	4	plink
childE	familyX	childG	OT	0	0.8764	0.1236	0.0000	0.0618	-1	0.702791	0.8649	2.3729	10	deam	HC	4	plink
childF	familyX	childG	OT	0	0.8907	0.1093	0.0000	0.0547	-1	0.702227	0.9954	3.0612	10	deam	HC	4	plink
childD	familyX	childG	OT	0	0.8801	0.1199	0.0000	0.0600	-1	0.703043	0.5200	2.0152	8	no_deam	HC	4	plink
childE	familyX	childG	OT	0	0.8920	0.1080	0.0000	0.0540	-1	0.701513	0.8649	2.3729	8	no_deam	HC	4	plink
childF	familyX	childG	OT	0	0.9058	0.0942	0.0000	0.0471	-1	0.701116	0.9775	2.7547	8	no_deam	HC	4	plink
childD	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.697796	0.1245	1.6892	4	no_deam	HC	4	plink
childE	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.696349	0.2414	1.8028	4	no_deam	HC	4	plink
childF	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.696048	0.6372	2.1094	4	no_deam	HC	4	plink
childD	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.718784	0.0000	1.0102	1	no_deam	HC	4	plink
childE	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.717891	0.0000	0.9899	1	no_deam	HC	4	plink
childF	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.718566	0.0033	1.3571	1	no_deam	HC	4	plink
childD	familyX	childG	OT	0	0.8681	0.1319	0.0000	0.0659	-1	0.703540	0.5795	2.0615	20	no_deam	HC	4	plink
childE	familyX	childG	OT	0	0.8794	0.1206	0.0000	0.0603	-1	0.702195	0.8649	2.3729	20	no_deam	HC	4	plink
childF	familyX	childG	OT	0	0.8926	0.1074	0.0000	0.0537	-1	0.701610	0.9954	3.0612	20	no_deam	HC	4	plink
childD	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.698257	0.0199	1.4875	2	no_deam	HC	4	plink
childE	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.697110	0.0003	1.2360	2	no_deam	HC	4	plink
childF	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.694719	0.0003	1.2360	2	no_deam	HC	4	plink
childD	familyX	childG	OT	0	0.8716	0.1284	0.0000	0.0642	-1	0.703425	0.5200	2.0152	10	no_deam	HC	4	plink
childE	familyX	childG	OT	0	0.8832	0.1168	0.0000	0.0584	-1	0.702020	0.8649	2.3729	10	no_deam	HC	4	plink
childF	familyX	childG	OT	0	0.8961	0.1039	0.0000	0.0520	-1	0.701485	0.9954	3.0612	10	no_deam	HC	4	plink
