a	FID2	b	RT	EZ	J9	J8	J7	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childA	familyX	childC	OT	0	0.5119	0.4881	0.0	0.244	-1	0.74565	1.0	3.975	8	no_deam	HS	2	plink	0.009716309313039958
childB	familyX	childC	OT	0	0.513	0.487	0.0	0.2435	-1	0.744163	0.9993	3.4222	8	no_deam	HS	2	plink	0.010614455552060448
childA	familyX	childC	OT	0	0.6421	0.3397	0.0182	0.188	-1	0.738908	0.993	2.98	4	no_deam	HS	2	plink	0.12412324520411154
childB	familyX	childC	OT	0	0.6425	0.346	0.0115	0.1845	-1	0.737584	0.9989	3.3261	4	no_deam	HS	2	plink	0.12131845146830167
childA	familyX	childC	OT	0	1.0	0.0	0.0	0.0	-1	0.746888	0.0102	1.4321	1	no_deam	HS	2	plink	0.408248290463863
childB	familyX	childC	OT	0	1.0	0.0	0.0	0.0	-1	0.747518	0.3622	1.8971	1	no_deam	HS	2	plink	0.408248290463863
childA	familyX	childC	OT	0	0.5002	0.4998	0.0	0.2499	-1	0.74637	1.0	3.975	20	no_deam	HS	2	plink	0.00016329931618552722
childB	familyX	childC	OT	0	0.5031	0.4969	0.0	0.2485	-1	0.74477	0.9996	3.5227	20	no_deam	HS	2	plink	0.002531139400875944
childA	familyX	childC	OT	0	0.8848	0.0329	0.0822	0.0987	-1	0.735163	0.1971	1.7639	2	no_deam	HS	2	plink	0.35261418481583146
childB	familyX	childC	OT	0	0.8961	0.0257	0.0782	0.0911	-1	0.733197	0.4601	1.9701	2	no_deam	HS	2	plink	0.35961597109509286
childA	familyX	childC	OT	0	0.503	0.497	0.0	0.2485	-1	0.7462	1.0	3.975	10	no_deam	HS	2	plink	0.00244948974278318
childB	familyX	childC	OT	0	0.5065	0.4935	0.0	0.2468	-1	0.744585	0.9996	3.5227	10	no_deam	HS	2	plink	0.005307227776030201
childA	familyX	childC	OT	0	0.4991	0.5009	0.0	0.2504	-1	0.746776	1.0	3.975	8	deam	HS	2	plink	0.0007348469228349631
childB	familyX	childC	OT	0	0.4994	0.5006	0.0	0.2503	-1	0.745259	0.9996	3.5227	8	deam	HS	2	plink	0.0004898979485566497
childA	familyX	childC	OT	0	0.505	0.495	0.0	0.2475	-1	0.746437	0.9999	3.8537	4	deam	HS	2	plink	0.004082482904638634
childB	familyX	childC	OT	0	0.512	0.488	0.0	0.244	-1	0.744487	0.9993	3.4222	4	deam	HS	2	plink	0.00979795897113272
childA	familyX	childC	OT	0	0.9147	0.0	0.0853	0.0853	-1	0.735067	0.2414	1.8028	1	deam	HS	2	plink	0.3782645370636798
childB	familyX	childC	OT	0	0.9067	0.0113	0.082	0.0877	-1	0.735559	0.0397	1.5513	1	deam	HS	2	plink	0.3701155585309359
childA	familyX	childC	OT	0	0.5	0.5	0.0	0.25	-1	0.74678	1.0	3.975	20	deam	HS	2	plink	0.0
childB	familyX	childC	OT	0	0.503	0.497	0.0	0.2485	-1	0.745193	0.9996	3.5227	20	deam	HS	2	plink	0.00244948974278318
childA	familyX	childC	OT	0	0.6627	0.3147	0.0226	0.18	-1	0.737825	0.9894	2.902	2	deam	HS	2	plink	0.14296635967947144
childB	familyX	childC	OT	0	0.6625	0.3221	0.0154	0.1765	-1	0.73647	0.9971	3.1458	2	deam	HS	2	plink	0.1393937110011304
childA	familyX	childC	OT	0	0.4988	0.5012	0.0	0.2506	-1	0.746818	1.0	3.975	10	deam	HS	2	plink	0.000979795897113254
childB	familyX	childC	OT	0	0.5019	0.4981	0.0	0.249	-1	0.745261	0.9999	3.8537	10	deam	HS	2	plink	0.00155134350376269
childA	familyX	childC	OT	0	0.5093	0.4907	0.0	0.2454	-1	0.745663	1.0	4.1026	8	no_deam	HS	2	plink	0.007593418202627831
childB	familyX	childC	OT	0	0.5133	0.4867	0.0	0.2433	-1	0.744088	0.9998	3.6279	8	no_deam	HS	2	plink	0.010859404526338738
childA	familyX	childC	OT	0	0.637	0.3458	0.0172	0.1901	-1	0.739304	0.9954	3.0612	4	no_deam	HS	2	plink	0.11950241280688298
childB	familyX	childC	OT	0	0.6409	0.3492	0.0099	0.1845	-1	0.737472	0.9993	3.4222	4	no_deam	HS	2	plink	0.11929160350446577
childA	familyX	childC	OT	0	1.0	0.0	0.0	0.0	-1	0.746882	0.0219	1.4937	1	no_deam	HS	2	plink	0.408248290463863
childB	familyX	childC	OT	0	1.0	0.0	0.0	0.0	-1	0.744766	0.0592	1.5921	1	no_deam	HS	2	plink	0.408248290463863
childA	familyX	childC	OT	0	0.5002	0.4998	0.0	0.2499	-1	0.746375	1.0	3.975	20	no_deam	HS	2	plink	0.00016329931618552722
childB	familyX	childC	OT	0	0.5031	0.4969	0.0	0.2484	-1	0.74478	0.9996	3.5227	20	no_deam	HS	2	plink	0.002531139400875944
childA	familyX	childC	OT	0	0.8933	0.0195	0.0871	0.0969	-1	0.73506	0.2907	1.8429	2	no_deam	HS	2	plink	0.36200900080891174
childB	familyX	childC	OT	0	0.8871	0.0355	0.0774	0.0952	-1	0.733971	0.9775	2.7547	2	no_deam	HS	2	plink	0.35194574392463773
childA	familyX	childC	OT	0	0.5033	0.4967	0.0	0.2483	-1	0.746275	1.0	3.975	10	no_deam	HS	2	plink	0.002694438717061494
childB	familyX	childC	OT	0	0.5061	0.4939	0.0	0.247	-1	0.74463	0.9996	3.5227	10	no_deam	HS	2	plink	0.004980629143659124
childA	familyX	childC	OT	0	0.498	0.502	0.0	0.251	-1	0.746837	1.0	3.975	8	deam	HS	2	plink	0.0016329931618554536
childB	familyX	childC	OT	0	0.5013	0.4987	0.0	0.2494	-1	0.745425	0.9996	3.5227	8	deam	HS	2	plink	0.0010614455552060403
childA	familyX	childC	OT	0	0.5062	0.4938	0.0	0.2469	-1	0.746288	1.0	4.2368	4	deam	HS	2	plink	0.005062278801751888
childB	familyX	childC	OT	0	0.5145	0.4855	0.0	0.2427	-1	0.744533	0.9982	3.234	4	deam	HS	2	plink	0.011839200423452014
childA	familyX	childC	OT	0	0.9102	0.006	0.0837	0.0867	-1	0.735513	0.0874	1.64	1	deam	HS	2	plink	0.37385635833387487
childB	familyX	childC	OT	0	0.9142	0.0	0.0858	0.0858	-1	0.734429	0.0174	1.475	1	deam	HS	2	plink	0.37811959307429005
childA	familyX	childC	OT	0	0.5002	0.4998	0.0	0.2499	-1	0.74676	1.0	3.975	20	deam	HS	2	plink	0.00016329931618552722
childB	familyX	childC	OT	0	0.5031	0.4969	0.0	0.2485	-1	0.745163	0.9996	3.5227	20	deam	HS	2	plink	0.002531139400875944
childA	familyX	childC	OT	0	0.6633	0.3137	0.023	0.1798	-1	0.737766	0.9198	2.4912	2	deam	HS	2	plink	0.14364722993036333
childB	familyX	childC	OT	0	0.668	0.317	0.015	0.1735	-1	0.73571	0.9971	3.1458	2	deam	HS	2	plink	0.1436871601779366
