a	FID2	b	RT	EZ	J9	J8	J7	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childA	familyX	childD	OT	0	0.0	1.0	0.0	0.5	-1	0.80077	1.0		8	no_deam	PO	1	plink	0.0
childA	familyX	childH	OT	0	0.007	0.8805	0.1125	0.5528	-1	0.8273	1.0		8	no_deam	PO	1	plink	0.09484285248065176
childA	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.803492	1.0		8	no_deam	PO	1	plink	0.0
childA	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.802447	1.0		8	no_deam	PO	1	plink	0.0
childB	familyX	childE	OT	0	0.0	1.0	0.0	0.5	-1	0.80265	1.0	198.0	8	no_deam	PO	1	plink	0.0
childB	familyX	childF	OT	0	0.0	1.0	0.0	0.5	-1	0.802783	1.0		8	no_deam	PO	1	plink	0.0
childB	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.803025	1.0	198.0	8	no_deam	PO	1	plink	0.0
childB	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.80194	1.0	198.0	8	no_deam	PO	1	plink	0.0
childC	familyX	childG	OT	0	0.0	1.0	0.0	0.5	-1	0.803505	1.0	198.0	8	no_deam	PO	1	plink	0.0
childC	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.803322	1.0		8	no_deam	PO	1	plink	0.0
childC	familyX	founder2	OT	0	0.0	1.0	0.0	0.5	-1	0.802235	1.0		8	no_deam	PO	1	plink	0.0
childD	familyX	founder3	OT	0	0.0	1.0	0.0	0.5	-1	0.802168	1.0	98.5	8	no_deam	PO	1	plink	0.0
childE	familyX	founder4	OT	0	0.0094	0.9906	0.0	0.4953	-1	0.803987	1.0	198.0	8	no_deam	PO	1	plink	0.00767506786072061
childF	familyX	founder4	OT	0	0.0091	0.9909	0.0	0.4954	-1	0.803555	1.0		8	no_deam	PO	1	plink	0.007430118886442305
childG	familyX	founder5	OT	0	0.0	1.0	0.0	0.5	-1	0.802973	1.0		8	no_deam	PO	1	plink	0.0
childA	familyX	childD	OT	0	0.1389	0.8593	0.0018	0.4314	-1	0.792537	1.0	17.0909	4	no_deam	PO	1	plink	0.11415331795440728
childA	familyX	childH	OT	0	0.1207	0.7562	0.123	0.5012	-1	0.81789	1.0	32.1667	4	no_deam	PO	1	plink	0.17237162372811446
childA	familyX	founder0	OT	0	0.1353	0.8534	0.0113	0.438	-1	0.794773	1.0	14.3077	4	no_deam	PO	1	plink	0.11536224107855508
childA	familyX	founder1	OT	0	0.1235	0.8755	0.001	0.4387	-1	0.794124	1.0	13.2143	4	no_deam	PO	1	plink	0.10124804524862034
childB	familyX	childE	OT	0	0.1234	0.8718	0.0048	0.4407	-1	0.794866	1.0	13.2143	4	no_deam	PO	1	plink	0.10277133193000207
childB	familyX	childF	OT	0	0.1363	0.8558	0.0079	0.4358	-1	0.79401	1.0	14.3077	4	no_deam	PO	1	plink	0.1146498146531428
childB	familyX	founder0	OT	0	0.128	0.8638	0.0082	0.4401	-1	0.795008	1.0	48.75	4	no_deam	PO	1	plink	0.1080149372386369
childB	familyX	founder1	OT	0	0.1287	0.8691	0.0022	0.4367	-1	0.793759	1.0	14.3077	4	no_deam	PO	1	plink	0.1059926727027235
childC	familyX	childG	OT	0	0.1361	0.8515	0.0124	0.4381	-1	0.794893	1.0	13.2143	4	no_deam	PO	1	plink	0.11651783840539895
childC	familyX	founder1	OT	0	0.1295	0.8594	0.0111	0.4408	-1	0.795404	1.0	15.5833	4	no_deam	PO	1	plink	0.11054685281212967
childC	familyX	founder2	OT	0	0.1333	0.8601	0.0066	0.4366	-1	0.794087	1.0	17.0909	4	no_deam	PO	1	plink	0.11163102913915408
childD	familyX	founder3	OT	0	0.1331	0.8613	0.0055	0.4362	-1	0.79391	1.0	18.9	4	no_deam	PO	1	plink	0.11103085156838167
childE	familyX	founder4	OT	0	0.1367	0.8464	0.0169	0.4401	-1	0.79569	1.0	13.2143	4	no_deam	PO	1	plink	0.11911543420844613
childF	familyX	founder4	OT	0	0.1268	0.863	0.0102	0.4417	-1	0.795525	1.0	12.2667	4	no_deam	PO	1	plink	0.10793714220168453
childG	familyX	founder5	OT	0	0.1377	0.8519	0.0105	0.4364	-1	0.794345	1.0	15.5833	4	no_deam	PO	1	plink	0.11691186138854061
childA	familyX	childD	OT	0	0.664	0.2141	0.1219	0.229	-1	0.785062	0.9049	2.4561	1	no_deam	PO	1	plink	0.5981623023895772
childA	familyX	childH	OT	0	0.6033	0.1887	0.208	0.3023	-1	0.805675	0.9962	3.1042	1	no_deam	PO	1	plink	0.5959425531598382
childA	familyX	founder0	OT	0	0.65	0.2156	0.1345	0.2423	-1	0.788612	0.8041	2.2833	1	no_deam	PO	1	plink	0.5932603728549548
childA	familyX	founder1	OT	0	0.65	0.2309	0.119	0.2345	-1	0.786047	0.8432	2.339	1	no_deam	PO	1	plink	0.5854274250494249
childB	familyX	childE	OT	0	0.6022	0.2907	0.107	0.2524	-1	0.789058	0.9997	3.5814	1	no_deam	PO	1	plink	0.5407403350962456
childB	familyX	childF	OT	0	0.5828	0.3245	0.0926	0.2549	-1	0.788694	0.9998	3.6905	1	no_deam	PO	1	plink	0.5178580403933108
childB	familyX	founder0	OT	0	0.5924	0.3083	0.0992	0.2534	-1	0.788795	0.9962	3.1042	1	no_deam	PO	1	plink	0.5289068254428184
childB	familyX	founder1	OT	0	0.6121	0.2824	0.1054	0.2467	-1	0.787759	0.8432	2.339	1	no_deam	PO	1	plink	0.5479432239444765
childC	familyX	childG	OT	0	0.6705	0.197	0.1325	0.231	-1	0.78614	0.9998	3.6905	1	no_deam	PO	1	plink	0.6088063457838351
childC	familyX	founder1	OT	0	0.6442	0.2349	0.1209	0.2384	-1	0.786973	0.928	2.5179	1	no_deam	PO	1	plink	0.5816609722739412
childC	familyX	founder2	OT	0	0.6542	0.2187	0.1272	0.2365	-1	0.78696	0.9806	2.7885	1	no_deam	PO	1	plink	0.5928988587159421
childD	familyX	founder3	OT	0	0.6629	0.2083	0.1288	0.2329	-1	0.78631	0.9911	2.94	1	no_deam	PO	1	plink	0.6007813634481903
childE	familyX	founder4	OT	0	0.6645	0.1936	0.1419	0.2387	-1	0.788316	0.9722	2.717	1	no_deam	PO	1	plink	0.6088176574311885
childF	familyX	founder4	OT	0	0.6168	0.2617	0.1215	0.2524	-1	0.78994	0.9995	3.4773	1	no_deam	PO	1	plink	0.5598486045351904
childG	familyX	founder5	OT	0	0.6621	0.1996	0.1382	0.238	-1	0.787961	0.9722	2.717	1	no_deam	PO	1	plink	0.6050112423197881
childA	familyX	childD	OT	0	0.0	1.0	0.0	0.5	-1	0.8016	1.0		20	no_deam	PO	1	plink	0.0
childA	familyX	childH	OT	0	0.0	0.8874	0.1126	0.5563	-1	0.828055	1.0		20	no_deam	PO	1	plink	0.09193751501246197
childA	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.80421	1.0		20	no_deam	PO	1	plink	0.0
childA	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.803255	1.0		20	no_deam	PO	1	plink	0.0
childB	familyX	childE	OT	0	0.0	1.0	0.0	0.5	-1	0.80361	1.0		20	no_deam	PO	1	plink	0.0
childB	familyX	childF	OT	0	0.0	1.0	0.0	0.5	-1	0.80352	1.0		20	no_deam	PO	1	plink	0.0
childB	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.80375	1.0		20	no_deam	PO	1	plink	0.0
