a	FID2	b	RT	EZ	J9	J8	J7	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childA	familyX	founder10	OT	0	1.0	0.0	0.0	0.0	-1	0.689849	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childA	familyX	founder11	OT	0	1.0	0.0	0.0	0.0	-1	0.687744	0.2907	1.8429	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childA	familyX	founder12	OT	0	1.0	0.0	0.0	0.0	-1	0.689674	0.4601	1.9701	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childA	familyX	founder13	OT	0	1.0	0.0	0.0	0.0	-1	0.688424	0.7887	2.2623	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childA	familyX	founder14	OT	0	1.0	0.0	0.0	0.0	-1	0.687982	0.8296	2.3167	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childA	familyX	founder15	OT	0	1.0	0.0	0.0	0.0	-1	0.689079	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childA	familyX	founder16	OT	0	1.0	0.0	0.0	0.0	-1	0.688892	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childA	familyX	founder17	OT	0	1.0	0.0	0.0	0.0	-1	0.689362	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childA	familyX	founder18	OT	0	1.0	0.0	0.0	0.0	-1	0.688839	0.1971	1.7639	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childA	familyX	founder19	OT	0	0.9834	0.0166	0.0	0.0083	-1	0.690117	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink	0.5678471390553388
childA	familyX	founder20	OT	0	1.0	0.0	0.0	0.0	-1	0.689584	0.7427	2.2097	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childA	familyX	founder21	OT	0	1.0	0.0	0.0	0.0	-1	0.689792	0.5795	2.0615	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childA	familyX	founder22	OT	0	1.0	0.0	0.0	0.0	-1	0.689534	0.9844	2.8269	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childA	familyX	founder23	OT	0	1.0	0.0	0.0	0.0	-1	0.688669	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childA	familyX	founder24	OT	0	1.0	0.0	0.0	0.0	-1	0.688887	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childA	familyX	founder25	OT	0	1.0	0.0	0.0	0.0	-1	0.689824	0.1971	1.7639	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childA	familyX	founder26	OT	0	1.0	0.0	0.0	0.0	-1	0.689792	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childA	familyX	founder27	OT	0	1.0	0.0	0.0	0.0	-1	0.688396	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childA	familyX	founder28	OT	0	1.0	0.0	0.0	0.0	-1	0.688416	0.2907	1.8429	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childA	familyX	founder29	OT	0	1.0	0.0	0.0	0.0	-1	0.688949	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childA	familyX	founder2	OT	0	1.0	0.0	0.0	0.0	-1	0.688731	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childA	familyX	founder3	OT	0	1.0	0.0	0.0	0.0	-1	0.688231	0.4601	1.9701	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childA	familyX	founder4	OT	0	1.0	0.0	0.0	0.0	-1	0.689559	0.0544	1.5844	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
