IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childA	familyX	childE	OT	0	0.4974	0.5026	0.0	0.2513	-1	0.74673	0.9996	3.5227	8	no_deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childF	OT	0	0.512	0.488	0.0	0.244	-1	0.744987	1.0	4.3784	8	no_deam	A	2	plink_Lcmlkin	0.0
childB	familyX	childD	OT	0	0.5109	0.4891	0.0	0.2445	-1	0.74432	1.0	4.8529	8	no_deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childE	OT	0	0.676	0.2879	0.0361	0.1801	-1	0.736674	0.8296	2.3167	4	no_deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childF	OT	0	0.6863	0.283	0.0307	0.1722	-1	0.734468	0.9844	2.8269	4	no_deam	A	2	plink_Lcmlkin	0.0
childB	familyX	childD	OT	0	0.6837	0.2902	0.0261	0.1712	-1	0.73387	0.9996	3.5227	4	no_deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childE	OT	0	1.0	0.0	0.0	0.0	-1	0.679433	0.0	0.2774	1	no_deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childF	OT	0	1.0	0.0	0.0	0.0	-1	0.680321	0.0	0.2222	1	no_deam	A	2	plink_Lcmlkin	0.0
childB	familyX	childD	OT	0	1.0	0.0	0.0	0.0	-1	0.679124	0.0	0.2	1	no_deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childE	OT	0	0.4882	0.5118	0.0	0.2559	-1	0.74764	0.9998	3.6279	20	no_deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childF	OT	0	0.4987	0.5013	0.0	0.2507	-1	0.745955	1.0	4.5278	20	no_deam	A	2	plink_Lcmlkin	0.0
childB	familyX	childD	OT	0	0.5011	0.4989	0.0	0.2495	-1	0.7451	1.0	5.0303	20	no_deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childE	OT	0	1.0	0.0	0.0	0.0	-1	0.70812	0.0	0.7928	2	no_deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childF	OT	0	1.0	0.0	0.0	0.0	-1	0.706199	0.0	0.8598	2	no_deam	A	2	plink_Lcmlkin	0.0
childB	familyX	childD	OT	0	1.0	0.0	0.0	0.0	-1	0.705115	0.0	0.99	2	no_deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childE	OT	0	0.4906	0.5094	0.0	0.2547	-1	0.747415	0.9998	3.6279	10	no_deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childF	OT	0	0.5002	0.4998	0.0	0.2499	-1	0.74584	1.0	4.5278	10	no_deam	A	2	plink_Lcmlkin	0.0
childB	familyX	childD	OT	0	0.5038	0.4962	0.0	0.2481	-1	0.74487	1.0	4.8529	10	no_deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childE	OT	0	0.483	0.517	0.0	0.2585	-1	0.747137	0.9998	3.6279	8	deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childF	OT	0	0.4931	0.5069	0.0	0.2535	-1	0.745445	1.0	4.5278	8	deam	A	2	plink_Lcmlkin	0.0
childB	familyX	childD	OT	0	0.4946	0.5054	0.0	0.2527	-1	0.744755	1.0	5.2188	8	deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childE	OT	0	0.4858	0.5142	0.0	0.2571	-1	0.745412	0.9996	3.5227	4	deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childF	OT	0	0.4969	0.5031	0.0	0.2516	-1	0.743722	1.0	4.6857	4	deam	A	2	plink_Lcmlkin	0.0
childB	familyX	childD	OT	0	0.5023	0.4977	0.0	0.2489	-1	0.7427	0.9998	3.6279	4	deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childE	OT	0	1.0	0.0	0.0	0.0	-1	0.7011	0.0	0.7611	1	deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childF	OT	0	1.0	0.0	0.0	0.0	-1	0.698481	0.0	0.8257	1	deam	A	2	plink_Lcmlkin	0.0
childB	familyX	childD	OT	0	1.0	0.0	0.0	0.0	-1	0.698673	0.0	0.6311	1	deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childE	OT	0	0.4878	0.5122	0.0	0.2561	-1	0.747625	0.9998	3.6279	20	deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childF	OT	0	0.4978	0.5022	0.0	0.2511	-1	0.745905	1.0	4.6857	20	deam	A	2	plink_Lcmlkin	0.0
childB	familyX	childD	OT	0	0.5005	0.4995	0.0	0.2497	-1	0.74503	1.0	5.0303	20	deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childE	OT	0	0.7337	0.2204	0.0459	0.1561	-1	0.730475	0.6919	2.1587	2	deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childF	OT	0	0.744	0.208	0.048	0.152	-1	0.729728	0.993	2.98	2	deam	A	2	plink_Lcmlkin	0.0
childB	familyX	childD	OT	0	0.7373	0.2222	0.0405	0.1516	-1	0.72903	0.7887	2.2623	2	deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childE	OT	0	0.4845	0.5155	0.0	0.2578	-1	0.747412	0.9998	3.6279	10	deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childF	OT	0	0.4948	0.5052	0.0	0.2526	-1	0.745682	1.0	4.5278	10	deam	A	2	plink_Lcmlkin	0.0
childB	familyX	childD	OT	0	0.4958	0.5042	0.0	0.2521	-1	0.74494	1.0	5.6333	10	deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childE	OT	0	0.4983	0.5017	0.0	0.2509	-1	0.747057	0.9998	3.6279	8	no_deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childF	OT	0	0.5106	0.4894	0.0	0.2447	-1	0.745225	1.0	4.8529	8	no_deam	A	2	plink_Lcmlkin	0.0
childB	familyX	childD	OT	0	0.5136	0.4864	0.0	0.2432	-1	0.744367	1.0	5.0303	8	no_deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childE	OT	0	0.6761	0.2884	0.0355	0.1797	-1	0.736566	0.9844	2.8269	4	no_deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childF	OT	0	0.6891	0.2778	0.0332	0.1721	-1	0.734648	0.7427	2.2097	4	no_deam	A	2	plink_Lcmlkin	0.0
childB	familyX	childD	OT	0	0.6936	0.2763	0.0301	0.1682	-1	0.733535	1.0	4.1026	4	no_deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childE	OT	0	1.0	0.0	0.0	0.0	-1	0.679228	0.0	0.2	1	no_deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childF	OT	0	1.0	0.0	0.0	0.0	-1	0.677168	0.0	0.2453	1	no_deam	A	2	plink_Lcmlkin	0.0
childB	familyX	childD	OT	0	1.0	0.0	0.0	0.0	-1	0.677883	0.0	0.2675	1	no_deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childE	OT	0	0.4882	0.5118	0.0	0.2559	-1	0.747635	0.9998	3.6279	20	no_deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childF	OT	0	0.4987	0.5013	0.0	0.2507	-1	0.745965	1.0	4.5278	20	no_deam	A	2	plink_Lcmlkin	0.0
childB	familyX	childD	OT	0	0.5012	0.4988	0.0	0.2494	-1	0.745095	1.0	5.0303	20	no_deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childE	OT	0	1.0	0.0	0.0	0.0	-1	0.707504	0.0	1.0306	2	no_deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childF	OT	0	1.0	0.0	0.0	0.0	-1	0.704952	0.0	0.8774	2	no_deam	A	2	plink_Lcmlkin	0.0
childB	familyX	childD	OT	0	1.0	0.0	0.0	0.0	-1	0.705059	0.0	0.8952	2	no_deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childE	OT	0	0.491	0.509	0.0	0.2545	-1	0.747445	0.9998	3.6279	10	no_deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childF	OT	0	0.5015	0.4985	0.0	0.2492	-1	0.74578	1.0	4.6857	10	no_deam	A	2	plink_Lcmlkin	0.0
