IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childD	familyX	childE	OT	0	0.7644	0.2356	0.0	0.1178	-1	0.716247	0.7427	2.2097	8	no_deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childF	OT	0	0.7627	0.2373	0.0	0.1186	-1	0.715824	0.8296	2.3167	8	no_deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childE	OT	0	0.9517	0.0071	0.0413	0.0448	-1	0.706426	0.2907	1.8429	4	no_deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childF	OT	0	0.941	0.0251	0.0339	0.0464	-1	0.706199	0.4601	1.9701	4	no_deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childE	OT	0	1.0	0.0	0.0	0.0	-1	0.651632	0.0	0.2209	1	no_deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childF	OT	0	1.0	0.0	0.0	0.0	-1	0.653155	0.0	0.2532	1	no_deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childE	OT	0	0.7538	0.2462	0.0	0.1231	-1	0.7171	0.5795	2.0615	20	no_deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childF	OT	0	0.7505	0.2495	0.0	0.1248	-1	0.716655	0.6372	2.1094	20	no_deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childE	OT	0	1.0	0.0	0.0	0.0	-1	0.677826	0.0	0.6446	2	no_deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childF	OT	0	1.0	0.0	0.0	0.0	-1	0.677088	0.0	0.6179	2	no_deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childE	OT	0	0.7569	0.2431	0.0	0.1216	-1	0.716915	0.8649	2.3729	10	no_deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childF	OT	0	0.7518	0.2482	0.0	0.1241	-1	0.71655	0.8949	2.431	10	no_deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childE	OT	0	0.7442	0.2558	0.0	0.1279	-1	0.716894	0.6919	2.1587	8	deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childF	OT	0	0.7422	0.2578	0.0	0.1289	-1	0.716317	0.52	2.0152	8	deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childE	OT	0	0.746	0.254	0.0	0.127	-1	0.715731	0.9682	2.6852	4	deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childF	OT	0	0.7415	0.2585	0.0	0.1292	-1	0.715036	0.9775	2.7547	4	deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childE	OT	0	1.0	0.0	0.0	0.0	-1	0.672732	0.0	0.6446	1	deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childF	OT	0	1.0	0.0	0.0	0.0	-1	0.671211	0.0	0.6311	1	deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childE	OT	0	0.7533	0.2467	0.0	0.1233	-1	0.7171	0.5795	2.0615	20	deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childF	OT	0	0.7494	0.2506	0.0	0.1253	-1	0.71664	0.6372	2.1094	20	deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childE	OT	0	0.9483	0.0	0.0517	0.0517	-1	0.702214	0.3442	1.8841	2	deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childF	OT	0	0.9557	0.0	0.0443	0.0443	-1	0.70179	0.073	1.6184	2	deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childE	OT	0	0.7472	0.2528	0.0	0.1264	-1	0.716945	0.7427	2.2097	10	deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childF	OT	0	0.7439	0.2561	0.0	0.128	-1	0.71663	0.6919	2.1587	10	deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childE	OT	0	0.7662	0.2338	0.0	0.1169	-1	0.716504	0.6919	2.1587	8	no_deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childF	OT	0	0.7628	0.2372	0.0	0.1186	-1	0.716062	0.52	2.0152	8	no_deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childE	OT	0	0.9444	0.0199	0.0356	0.0456	-1	0.706174	0.1971	1.7639	4	no_deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childF	OT	0	0.9461	0.0185	0.0354	0.0447	-1	0.705938	0.1581	1.726	4	no_deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childE	OT	0	1.0	0.0	0.0	0.0	-1	0.653034	0.0	0.1786	1	no_deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childF	OT	0	1.0	0.0	0.0	0.0	-1	0.651688	0.0	0.1637	1	no_deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childE	OT	0	0.7537	0.2463	0.0	0.1231	-1	0.717095	0.5795	2.0615	20	no_deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childF	OT	0	0.7503	0.2497	0.0	0.1248	-1	0.716665	0.6372	2.1094	20	no_deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childE	OT	0	1.0	0.0	0.0	0.0	-1	0.677622	0.0	0.6723	2	no_deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childF	OT	0	1.0	0.0	0.0	0.0	-1	0.677776	0.0	0.5547	2	no_deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childE	OT	0	0.7565	0.2435	0.0	0.1218	-1	0.716945	0.5795	2.0615	10	no_deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childF	OT	0	0.753	0.247	0.0	0.1235	-1	0.7165	0.6372	2.1094	10	no_deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childE	OT	0	0.7444	0.2556	0.0	0.1278	-1	0.716982	0.9844	2.8269	8	deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childF	OT	0	0.7419	0.2581	0.0	0.129	-1	0.716427	0.6372	2.1094	8	deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childE	OT	0	0.7422	0.2578	0.0	0.1289	-1	0.715619	0.6372	2.1094	4	deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childF	OT	0	0.7379	0.2621	0.0	0.1311	-1	0.715349	0.7427	2.2097	4	deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childE	OT	0	1.0	0.0	0.0	0.0	-1	0.672629	0.0	0.5794	1	deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childF	OT	0	1.0	0.0	0.0	0.0	-1	0.673696	0.0	0.6583	1	deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childE	OT	0	0.7532	0.2468	0.0	0.1234	-1	0.717074	0.5795	2.0615	20	deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childF	OT	0	0.7498	0.2502	0.0	0.1251	-1	0.716632	0.6372	2.1094	20	deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childE	OT	0	0.9481	0.0	0.0519	0.0519	-1	0.702261	0.2907	1.8429	2	deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childF	OT	0	0.9511	0.0	0.0489	0.0489	-1	0.701395	0.0039	1.369	2	deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childE	OT	0	0.7479	0.2521	0.0	0.126	-1	0.716945	0.6919	2.1587	10	deam	FC	3	plink_Lcmlkin	0.0
childD	familyX	childF	OT	0	0.7426	0.2574	0.0	0.1287	-1	0.716502	0.8296	2.3167	10	deam	FC	3	plink_Lcmlkin	0.0
