IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childA	familyX	childB	OT	0	0.258	0.5034	0.2387	0.4904	-1	0.823198	1.0	8.0455	8	no_deam	FS	1	plink_Lcmlkin	0.0
childE	familyX	childF	OT	0	0.2519	0.5116	0.2365	0.4923	-1	0.823478	1.0	18.9	8	no_deam	FS	1	plink_Lcmlkin	0.0
childA	familyX	childB	OT	0	0.3842	0.3749	0.2408	0.4283	-1	0.809404	1.0	5.6333	4	no_deam	FS	1	plink_Lcmlkin	0.0
childE	familyX	childF	OT	0	0.3836	0.3739	0.2425	0.4294	-1	0.809786	1.0	8.95	4	no_deam	FS	1	plink_Lcmlkin	0.0
childA	familyX	childB	OT	0	1.0	0.0	0.0	0.0	-1	0.736528	0.0	0.3221	1	no_deam	FS	1	plink_Lcmlkin	0.0
childE	familyX	childF	OT	0	1.0	0.0	0.0	0.0	-1	0.73737	0.0	0.5231	1	no_deam	FS	1	plink_Lcmlkin	0.0
childA	familyX	childB	OT	0	0.2512	0.5092	0.2397	0.4942	-1	0.82419	1.0	8.0455	20	no_deam	FS	1	plink_Lcmlkin	0.0
childE	familyX	childF	OT	0	0.2451	0.5166	0.2383	0.4966	-1	0.824615	1.0	17.0909	20	no_deam	FS	1	plink_Lcmlkin	0.0
childA	familyX	childB	OT	0	0.7224	0.0	0.2776	0.2776	-1	0.771666	0.1971	1.7639	2	no_deam	FS	1	plink_Lcmlkin	0.0
childE	familyX	childF	OT	0	0.726	0.0	0.274	0.274	-1	0.770406	0.1971	1.7639	2	no_deam	FS	1	plink_Lcmlkin	0.0
childA	familyX	childB	OT	0	0.253	0.5074	0.2396	0.4933	-1	0.82396	1.0	8.0455	10	no_deam	FS	1	plink_Lcmlkin	0.0
childE	familyX	childF	OT	0	0.2467	0.5158	0.2376	0.4955	-1	0.824285	1.0	17.0909	10	no_deam	FS	1	plink_Lcmlkin	0.0
childA	familyX	childB	OT	0	0.2489	0.5161	0.235	0.493	-1	0.823178	1.0	8.0455	8	deam	FS	1	plink_Lcmlkin	0.0
childE	familyX	childF	OT	0	0.2428	0.5232	0.234	0.4956	-1	0.823673	1.0	18.9	8	deam	FS	1	plink_Lcmlkin	0.0
childA	familyX	childB	OT	0	0.2551	0.5205	0.2244	0.4847	-1	0.819646	1.0	8.0455	4	deam	FS	1	plink_Lcmlkin	0.0
childE	familyX	childF	OT	0	0.2515	0.5247	0.2238	0.4861	-1	0.819919	1.0	17.0909	4	deam	FS	1	plink_Lcmlkin	0.0
childA	familyX	childB	OT	0	1.0	0.0	0.0	0.0	-1	0.760786	0.0003	1.236	1	deam	FS	1	plink_Lcmlkin	0.0
childE	familyX	childF	OT	0	1.0	0.0	0.0	0.0	-1	0.761131	0.0	1.117	1	deam	FS	1	plink_Lcmlkin	0.0
childA	familyX	childB	OT	0	0.2509	0.5099	0.2393	0.4942	-1	0.824115	1.0	8.0455	20	deam	FS	1	plink_Lcmlkin	0.0
childE	familyX	childF	OT	0	0.2449	0.5174	0.2377	0.4964	-1	0.82449	1.0	17.0909	20	deam	FS	1	plink_Lcmlkin	0.0
childA	familyX	childB	OT	0	0.4235	0.3468	0.2297	0.4031	-1	0.801619	1.0	6.1071	2	deam	FS	1	plink_Lcmlkin	0.0
