IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program
childB	familyX	childI	OT	0	0.4410	0.3911	0.1679	0.3634	-1	0.788713	1.0000	4.2368	8	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder0	OT	0	0.5186	0.4814	0.0000	0.2407	-1	0.745467	1.0000	4.1026	8	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder1	OT	0	0.5295	0.4705	0.0000	0.2352	-1	0.746097	0.9971	3.1458	8	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder0	OT	0	0.5082	0.4918	0.0000	0.2459	-1	0.746960	1.0000	5.2188	8	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder1	OT	0	0.5091	0.4909	0.0000	0.2455	-1	0.746060	1.0000	5.0303	8	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder0	OT	0	0.5100	0.4900	0.0000	0.2450	-1	0.745917	1.0000	4.5278	8	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder1	OT	0	0.5108	0.4892	0.0000	0.2446	-1	0.745007	1.0000	4.6857	8	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder1	OT	0	0.5136	0.4864	0.0000	0.2432	-1	0.746367	1.0000	5.2188	8	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder2	OT	0	0.5239	0.4761	0.0000	0.2380	-1	0.745290	1.0000	7.6522	8	no_deam	GP	2	plink_Lcmlkin
childH	familyX	founder4	OT	0	0.6865	0.2732	0.0403	0.1769	-1	0.736145	1.0000	4.2368	8	no_deam	GP	2	plink_Lcmlkin
childB	familyX	childI	OT	0	0.5812	0.2198	0.1990	0.3089	-1	0.778962	0.9999	3.7381	4	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder0	OT	0	0.6948	0.2655	0.0397	0.1725	-1	0.735242	0.9682	2.6852	4	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder1	OT	0	0.6948	0.2624	0.0428	0.1740	-1	0.735838	0.7887	2.2623	4	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder0	OT	0	0.6852	0.2771	0.0377	0.1762	-1	0.735926	0.9844	2.8269	4	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder1	OT	0	0.6871	0.2771	0.0359	0.1744	-1	0.735370	0.9971	3.1458	4	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder0	OT	0	0.6929	0.2671	0.0401	0.1736	-1	0.735525	0.9971	3.1458	4	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder1	OT	0	0.6924	0.2729	0.0348	0.1712	-1	0.734557	0.9558	2.6182	4	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder1	OT	0	0.6897	0.2678	0.0426	0.1764	-1	0.736375	0.9894	2.9020	4	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder2	OT	0	0.7001	0.2607	0.0392	0.1695	-1	0.734536	0.9930	2.9800	4	no_deam	GP	2	plink_Lcmlkin
childH	familyX	founder4	OT	0	0.8607	0.0472	0.0921	0.1157	-1	0.726575	0.8296	2.3167	4	no_deam	GP	2	plink_Lcmlkin
childB	familyX	childI	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.726205	0.0000	0.2774	1	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder0	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.678313	0.0000	0.2147	1	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.679099	0.0000	0.2774	1	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder0	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.679574	0.0000	0.1856	1	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.678961	0.0000	0.2453	1	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder0	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.679461	0.0000	0.2774	1	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.679980	0.0000	0.2375	1	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.677928	0.0000	0.1716	1	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder2	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.676477	0.0000	0.1512	1	no_deam	GP	2	plink_Lcmlkin
childH	familyX	founder4	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.676909	0.0000	0.2073	1	no_deam	GP	2	plink_Lcmlkin
childB	familyX	childI	OT	0	0.4333	0.4000	0.1667	0.3667	-1	0.789410	1.0000	4.3784	20	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder0	OT	0	0.5094	0.4906	0.0000	0.2453	-1	0.746220	1.0000	4.1026	20	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder1	OT	0	0.5168	0.4832	0.0000	0.2416	-1	0.747010	0.9989	3.3261	20	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder0	OT	0	0.4967	0.5033	0.0000	0.2517	-1	0.747680	1.0000	4.3784	20	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder1	OT	0	0.4993	0.5007	0.0000	0.2503	-1	0.746910	1.0000	5.0303	20	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder0	OT	0	0.5003	0.4997	0.0000	0.2499	-1	0.746595	1.0000	4.8529	20	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder1	OT	0	0.4998	0.5002	0.0000	0.2501	-1	0.745975	1.0000	4.6857	20	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder1	OT	0	0.5036	0.4964	0.0000	0.2482	-1	0.747150	1.0000	5.4194	20	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder2	OT	0	0.5146	0.4854	0.0000	0.2427	-1	0.745885	1.0000	7.6522	20	no_deam	GP	2	plink_Lcmlkin
childH	familyX	founder4	OT	0	0.6781	0.2834	0.0385	0.1802	-1	0.736785	1.0000	4.3784	20	no_deam	GP	2	plink_Lcmlkin
childB	familyX	childI	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.751282	0.0092	1.4268	2	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder0	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.705721	0.0000	0.8091	2	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.706309	0.0000	0.8091	2	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder0	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.706908	0.0000	0.7456	2	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.706976	0.0000	1.0306	2	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder0	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.706939	0.0000	1.0306	2	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.705938	0.0000	1.1170	2	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.706028	0.0000	0.7928	2	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder2	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.705252	0.0000	0.9320	2	no_deam	GP	2	plink_Lcmlkin
childH	familyX	founder4	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.701097	0.0000	0.7768	2	no_deam	GP	2	plink_Lcmlkin
childB	familyX	childI	OT	0	0.4362	0.3961	0.1677	0.3657	-1	0.789240	1.0000	4.3784	10	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder0	OT	0	0.5111	0.4889	0.0000	0.2445	-1	0.746030	1.0000	4.1026	10	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder1	OT	0	0.5192	0.4808	0.0000	0.2404	-1	0.746835	0.9993	3.4222	10	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder0	OT	0	0.4998	0.5002	0.0000	0.2501	-1	0.747465	1.0000	4.6857	10	no_deam	GP	2	plink_Lcmlkin
