IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program
childD	familyX	childG	OT	0	0.8804	0.1196	0.0000	0.0598	-1	0.702984	0.9558	2.6182	8	no_deam	HC	4	plink_Lcmlkin
childE	familyX	childG	OT	0	0.8927	0.1073	0.0000	0.0536	-1	0.701532	0.8296	2.3167	8	no_deam	HC	4	plink_Lcmlkin
childF	familyX	childG	OT	0	0.9055	0.0945	0.0000	0.0472	-1	0.700919	0.9971	3.1458	8	no_deam	HC	4	plink_Lcmlkin
childD	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.692464	0.0730	1.6184	4	no_deam	HC	4	plink_Lcmlkin
childE	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.691899	0.0544	1.5844	4	no_deam	HC	4	plink_Lcmlkin
childF	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.690987	0.8949	2.4310	4	no_deam	HC	4	plink_Lcmlkin
childD	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.641960	0.0000	0.1637	1	no_deam	HC	4	plink_Lcmlkin
childE	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.639127	0.0000	0.2209	1	no_deam	HC	4	plink_Lcmlkin
childF	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.638852	0.0000	0.1786	1	no_deam	HC	4	plink_Lcmlkin
childD	familyX	childG	OT	0	0.8680	0.1320	0.0000	0.0660	-1	0.703540	0.5795	2.0615	20	no_deam	HC	4	plink_Lcmlkin
childE	familyX	childG	OT	0	0.8794	0.1206	0.0000	0.0603	-1	0.702200	0.8649	2.3729	20	no_deam	HC	4	plink_Lcmlkin
childF	familyX	childG	OT	0	0.8927	0.1073	0.0000	0.0537	-1	0.701615	0.9954	3.0612	20	no_deam	HC	4	plink_Lcmlkin
childD	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.665019	0.0000	0.6048	2	no_deam	HC	4	plink_Lcmlkin
