IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childA	familyX	childC	OT	0	0.5118	0.4882	0.0	0.2441	-1	0.74559	1.0	3.975	8	no_deam	HS	2	plink_Lcmlkin	0.0
childB	familyX	childC	OT	0	0.5122	0.4878	0.0	0.2439	-1	0.744067	0.9993	3.4222	8	no_deam	HS	2	plink_Lcmlkin	0.0
childA	familyX	childC	OT	0	0.6937	0.2683	0.038	0.1722	-1	0.735037	0.9894	2.902	4	no_deam	HS	2	plink_Lcmlkin	0.0
childB	familyX	childC	OT	0	0.6923	0.2786	0.0291	0.1684	-1	0.733459	0.9682	2.6852	4	no_deam	HS	2	plink_Lcmlkin	0.0
childA	familyX	childC	OT	0	1.0	0.0	0.0	0.0	-1	0.678391	0.0	0.2453	1	no_deam	HS	2	plink_Lcmlkin	0.0
childB	familyX	childC	OT	0	1.0	0.0	0.0	0.0	-1	0.679627	0.0	0.2147	1	no_deam	HS	2	plink_Lcmlkin	0.0
childA	familyX	childC	OT	0	0.5002	0.4998	0.0	0.2499	-1	0.74637	1.0	3.975	20	no_deam	HS	2	plink_Lcmlkin	0.0
childB	familyX	childC	OT	0	0.5031	0.4969	0.0	0.2485	-1	0.74477	0.9996	3.5227	20	no_deam	HS	2	plink_Lcmlkin	0.0
childA	familyX	childC	OT	0	1.0	0.0	0.0	0.0	-1	0.706533	0.0	0.951	2	no_deam	HS	2	plink_Lcmlkin	0.0
childB	familyX	childC	OT	0	1.0	0.0	0.0	0.0	-1	0.704662	0.0	0.9703	2	no_deam	HS	2	plink_Lcmlkin	0.0
childA	familyX	childC	OT	0	0.5028	0.4972	0.0	0.2486	-1	0.74616	1.0	3.975	10	no_deam	HS	2	plink_Lcmlkin	0.0
childB	familyX	childC	OT	0	0.5064	0.4936	0.0	0.2468	-1	0.74453	0.9993	3.4222	10	no_deam	HS	2	plink_Lcmlkin	0.0
childA	familyX	childC	OT	0	0.4957	0.5043	0.0	0.2522	-1	0.74581	1.0	3.975	8	deam	HS	2	plink_Lcmlkin	0.0
childB	familyX	childC	OT	0	0.4951	0.5049	0.0	0.2524	-1	0.744317	0.9998	3.6279	8	deam	HS	2	plink_Lcmlkin	0.0
childA	familyX	childC	OT	0	0.4942	0.5058	0.0	0.2529	-1	0.744462	1.0	4.3784	4	deam	HS	2	plink_Lcmlkin	0.0
childB	familyX	childC	OT	0	0.5011	0.4989	0.0	0.2495	-1	0.742657	0.9989	3.3261	4	deam	HS	2	plink_Lcmlkin	0.0
childA	familyX	childC	OT	0	1.0	0.0	0.0	0.0	-1	0.699214	0.0	0.592	1	deam	HS	2	plink_Lcmlkin	0.0
childB	familyX	childC	OT	0	1.0	0.0	0.0	0.0	-1	0.699618	0.0	0.6723	1	deam	HS	2	plink_Lcmlkin	0.0
