IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childA	familyX	childD	OT	0	0.0	1.0	0.0	0.5	-1	0.800728	1.0		8	no_deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	childH	OT	0	0.0067	0.8808	0.1125	0.5529	-1	0.82725	1.0		8	no_deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.80342	1.0		8	no_deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.80237	1.0		8	no_deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	childE	OT	0	0.0	1.0	0.0	0.5	-1	0.802598	1.0		8	no_deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	childF	OT	0	0.0	1.0	0.0	0.5	-1	0.802716	1.0		8	no_deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.802948	1.0	198.0	8	no_deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.801808	1.0	198.0	8	no_deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	childG	OT	0	0.0089	0.9911	0.0	0.4956	-1	0.803463	1.0	198.0	8	no_deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	founder1	OT	0	0.0097	0.9903	0.0	0.4951	-1	0.80324	1.0		8	no_deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	founder2	OT	0	0.0	1.0	0.0	0.5	-1	0.802103	1.0		8	no_deam	PO	1	plink_Lcmlkin	0.0
childD	familyX	founder3	OT	0	0.0	1.0	0.0	0.5	-1	0.802006	1.0	98.5	8	no_deam	PO	1	plink_Lcmlkin	0.0
childE	familyX	founder4	OT	0	0.0087	0.9913	0.0	0.4957	-1	0.803955	1.0	198.0	8	no_deam	PO	1	plink_Lcmlkin	0.0
