IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childA	familyX	founder10	OT	0	1.0	0.0	0.0	0.0	-1	0.689725	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder11	OT	0	1.0	0.0	0.0	0.0	-1	0.687635	0.2907	1.8429	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder12	OT	0	1.0	0.0	0.0	0.0	-1	0.68953	0.4601	1.9701	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder13	OT	0	1.0	0.0	0.0	0.0	-1	0.688315	0.7427	2.2097	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder14	OT	0	1.0	0.0	0.0	0.0	-1	0.687854	0.8296	2.3167	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder15	OT	0	1.0	0.0	0.0	0.0	-1	0.688895	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder16	OT	0	1.0	0.0	0.0	0.0	-1	0.688732	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder17	OT	0	1.0	0.0	0.0	0.0	-1	0.689254	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder18	OT	0	1.0	0.0	0.0	0.0	-1	0.688775	0.1971	1.7639	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder19	OT	0	0.9832	0.0168	0.0	0.0084	-1	0.689967	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder20	OT	0	1.0	0.0	0.0	0.0	-1	0.68943	0.7427	2.2097	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder21	OT	0	1.0	0.0	0.0	0.0	-1	0.689624	0.5795	2.0615	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder22	OT	0	1.0	0.0	0.0	0.0	-1	0.689425	0.9844	2.8269	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder23	OT	0	1.0	0.0	0.0	0.0	-1	0.68857	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder24	OT	0	1.0	0.0	0.0	0.0	-1	0.688797	0.8296	2.3167	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder25	OT	0	1.0	0.0	0.0	0.0	-1	0.689715	0.1971	1.7639	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder26	OT	0	1.0	0.0	0.0	0.0	-1	0.689689	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder27	OT	0	1.0	0.0	0.0	0.0	-1	0.68827	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder28	OT	0	1.0	0.0	0.0	0.0	-1	0.68836	0.2907	1.8429	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder29	OT	0	1.0	0.0	0.0	0.0	-1	0.688835	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder2	OT	0	1.0	0.0	0.0	0.0	-1	0.688517	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder3	OT	0	1.0	0.0	0.0	0.0	-1	0.688052	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder4	OT	0	1.0	0.0	0.0	0.0	-1	0.689475	0.0397	1.5513	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder5	OT	0	1.0	0.0	0.0	0.0	-1	0.689877	0.0284	1.519	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder6	OT	0	1.0	0.0	0.0	0.0	-1	0.690507	0.7427	2.2097	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder7	OT	0	1.0	0.0	0.0	0.0	-1	0.688665	0.9198	2.4912	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder8	OT	0	1.0	0.0	0.0	0.0	-1	0.688045	0.6372	2.1094	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childA	familyX	founder9	OT	0	1.0	0.0	0.0	0.0	-1	0.688877	0.9198	2.4912	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder10	OT	0	1.0	0.0	0.0	0.0	-1	0.687827	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder11	OT	0	1.0	0.0	0.0	0.0	-1	0.687867	0.1581	1.726	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder12	OT	0	1.0	0.0	0.0	0.0	-1	0.689362	0.7887	2.2623	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder13	OT	0	1.0	0.0	0.0	0.0	-1	0.687372	0.4601	1.9701	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder14	OT	0	1.0	0.0	0.0	0.0	-1	0.687186	0.7427	2.2097	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder15	OT	0	1.0	0.0	0.0	0.0	-1	0.688392	0.3442	1.8841	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder16	OT	0	1.0	0.0	0.0	0.0	-1	0.689074	0.2907	1.8429	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder17	OT	0	1.0	0.0	0.0	0.0	-1	0.688996	0.0962	1.6533	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder18	OT	0	1.0	0.0	0.0	0.0	-1	0.688672	0.9682	2.6852	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder19	OT	0	1.0	0.0	0.0	0.0	-1	0.688649	0.9894	2.902	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder20	OT	0	1.0	0.0	0.0	0.0	-1	0.689417	0.0962	1.6533	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder21	OT	0	1.0	0.0	0.0	0.0	-1	0.688016	0.0962	1.6533	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder22	OT	0	1.0	0.0	0.0	0.0	-1	0.689032	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder23	OT	0	1.0	0.0	0.0	0.0	-1	0.687397	0.1971	1.7639	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
