IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program
childA	familyX	childB	OT	0	0.2580	0.5034	0.2387	0.4904	-1	0.823198	1.0000	8.0455	8	no_deam	FS	1	plink_Lcmlkin
childA	familyX	childC	OT	0	0.5118	0.4882	0.0000	0.2441	-1	0.745590	1.0000	3.9750	8	no_deam	HS	2	plink_Lcmlkin
childA	familyX	childD	OT	0	0.0000	1.0000	0.0000	0.5000	-1	0.800728	1.0000	NA	8	no_deam	PO	1	plink_Lcmlkin
childA	familyX	childE	OT	0	0.4974	0.5026	0.0000	0.2513	-1	0.746730	0.9996	3.5227	8	no_deam	A	2	plink_Lcmlkin
childA	familyX	childF	OT	0	0.5120	0.4880	0.0000	0.2440	-1	0.744987	1.0000	4.3784	8	no_deam	A	2	plink_Lcmlkin
childA	familyX	childG	OT	0	0.7482	0.2518	0.0000	0.1259	-1	0.717607	0.9894	2.9020	8	no_deam	HA	plink_Lcmlkin
childA	familyX	childH	OT	0	0.0067	0.8808	0.1125	0.5529	-1	0.827250	1.0000	NA	8	no_deam	PO	1	plink_Lcmlkin
childA	familyX	childI	OT	0	0.8831	0.0116	0.1053	0.1111	-1	0.726435	0.0962	1.6533	8	no_deam	FCOR	plink_Lcmlkin
childA	familyX	founder0	OT	0	0.0000	1.0000	0.0000	0.5000	-1	0.803420	1.0000	NA	8	no_deam	PO	1	plink_Lcmlkin
childA	familyX	founder10	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689725	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder11	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687635	0.2907	1.8429	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder12	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689530	0.4601	1.9701	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder13	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688315	0.7427	2.2097	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder14	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687854	0.8296	2.3167	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder15	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688895	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder16	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688732	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder17	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689254	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder18	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688775	0.1971	1.7639	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder19	OT	0	0.9832	0.0168	0.0000	0.0084	-1	0.689967	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder1	OT	0	0.0000	1.0000	0.0000	0.5000	-1	0.802370	1.0000	NA	8	no_deam	PO	1	plink_Lcmlkin
childA	familyX	founder20	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689430	0.7427	2.2097	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder21	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689624	0.5795	2.0615	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder22	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689425	0.9844	2.8269	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder23	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688570	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder24	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688797	0.8296	2.3167	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder25	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689715	0.1971	1.7639	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder26	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689689	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder27	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688270	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder28	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688360	0.2907	1.8429	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder29	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688835	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder2	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688517	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder3	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688052	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder4	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689475	0.0397	1.5513	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder5	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689877	0.0284	1.5190	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder6	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.690507	0.7427	2.2097	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder7	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688665	0.9198	2.4912	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder8	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688045	0.6372	2.1094	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childA	familyX	founder9	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688877	0.9198	2.4912	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	childC	OT	0	0.5122	0.4878	0.0000	0.2439	-1	0.744067	0.9993	3.4222	8	no_deam	HS	2	plink_Lcmlkin
childB	familyX	childD	OT	0	0.5109	0.4891	0.0000	0.2445	-1	0.744320	1.0000	4.8529	8	no_deam	A	2	plink_Lcmlkin
childB	familyX	childE	OT	0	0.0000	1.0000	0.0000	0.5000	-1	0.802598	1.0000	NA	8	no_deam	PO	1	plink_Lcmlkin
childB	familyX	childF	OT	0	0.0000	1.0000	0.0000	0.5000	-1	0.802716	1.0000	NA	8	no_deam	PO	1	plink_Lcmlkin
childB	familyX	childG	OT	0	0.7564	0.2436	0.0000	0.1218	-1	0.714829	0.6919	2.1587	8	no_deam	HA	plink_Lcmlkin
childB	familyX	childH	OT	0	0.2614	0.6310	0.1076	0.4231	-1	0.797398	1.0000	17.0909	8	no_deam	GP/A	plink_Lcmlkin
childB	familyX	childI	OT	0	0.4410	0.3911	0.1679	0.3634	-1	0.788713	1.0000	4.2368	8	no_deam	GP	2	plink_Lcmlkin
childB	familyX	founder0	OT	0	0.0000	1.0000	0.0000	0.5000	-1	0.802948	1.0000	198.0000	8	no_deam	PO	1	plink_Lcmlkin
childB	familyX	founder10	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687827	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder11	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687867	0.1581	1.7260	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder12	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689362	0.7887	2.2623	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder13	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687372	0.4601	1.9701	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder14	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687186	0.7427	2.2097	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder15	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688392	0.3442	1.8841	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder16	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689074	0.2907	1.8429	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder17	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688996	0.0962	1.6533	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder18	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688672	0.9682	2.6852	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder19	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688649	0.9894	2.9020	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder1	OT	0	0.0000	1.0000	0.0000	0.5000	-1	0.801808	1.0000	198.0000	8	no_deam	PO	1	plink_Lcmlkin
childB	familyX	founder20	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689417	0.0962	1.6533	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder21	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688016	0.0962	1.6533	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder22	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689032	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder23	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687397	0.1971	1.7639	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder24	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689414	0.0397	1.5513	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder25	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688322	0.5200	2.0152	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder26	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688171	0.4601	1.9701	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder27	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687207	0.5200	2.0152	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder28	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688867	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder29	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688127	0.2907	1.8429	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder2	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687694	0.7427	2.2097	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder3	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688124	0.7887	2.2623	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder4	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688012	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder5	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689474	0.3442	1.8841	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder6	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689404	0.5200	2.0152	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder7	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688687	0.0137	1.4568	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder8	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688137	0.4601	1.9701	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childB	familyX	founder9	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688254	0.8296	2.3167	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	childD	OT	0	0.7691	0.2309	0.0000	0.1154	-1	0.716362	0.9558	2.6182	8	no_deam	HA	plink_Lcmlkin
