a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childA	childE	99381	0.810126	0.189862	9e-06	0.0	0.0	0.0	0.0	0.0	3e-06	0.094942	3e-06	3e-06	0.047473	3e-06	3e-06	9e-06	3e-06	1.2e-05	0.094943	-0.0	-156413.182513	67	-1	1.0	3.394355e-01,1.738599e-01,1.925316e-02,1.729840e-01,1.824853e-01,4.043137e-02,2.072009e-02,4.080189e-02,1.002882e-02	0.219049	0.389884	0.129297	-173591.463848	6	8	no_deam	A	2	ngsrelate	0.2532217177369798
childA	childF	99380	0.818501	0.181495	3e-06	0.0	0.0	0.0	0.0	1e-06	0.0	0.090751	1e-06	1e-06	0.045376	0.0	0.0	4e-06	0.0	4e-06	0.090752	0.0	-156968.102167	66	-1	0.99999	3.384670e-01,1.737827e-01,2.033523e-02,1.722691e-01,1.808402e-01,4.275924e-02,2.089555e-02,4.039865e-02,1.025229e-02	0.227996	0.384406	0.12439	-174274.15851	6	8	no_deam	A	2	ngsrelate	0.2600566105261186
childB	childD	99379	0.781398	0.218593	6e-06	0.0	0.0	0.0	0.0	1e-06	1e-06	0.109303	2e-06	2e-06	0.054652	1e-06	1e-06	8e-06	1e-06	8e-06	0.109305	-0.0	-158878.746215	54	-1	0.99998	3.356023e-01,1.771179e-01,2.295448e-02,1.682419e-01,1.799472e-01,4.694374e-02,1.829646e-02,3.831969e-02,1.257623e-02	0.229239	0.381346	0.123268	-175324.959679	6	8	no_deam	A	2	ngsrelate	0.2297641791700061
childA	childE	98877	0.81729	0.182686	2.4e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.091367	0.0	0.0	0.045684	0.0	0.0	2.4e-05	0.0	2.4e-05	0.091367	0.0	-154159.411878	86	-1	0.996302	3.394243e-01,1.727746e-01,1.956965e-02,1.733523e-01,1.829715e-01,3.974255e-02,2.075169e-02,4.131031e-02,1.010314e-02	0.220369	0.391382	0.12902	-170674.626333	13	4	no_deam	A	2	ngsrelate	0.25907599867735076
childA	childF	98894	0.819146	0.18082	3.3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.090444	0.0	0.0	0.045222	0.0	0.0	3.3e-05	0.0	3.3e-05	0.090444	-0.0	-154659.316685	78	-1	0.996473	3.380999e-01,1.740754e-01,1.966233e-02,1.725990e-01,1.805004e-01,4.292835e-02,2.095932e-02,4.101595e-02,1.015927e-02	0.22505	0.383032	0.125385	-171215.115632	10	4	no_deam	A	2	ngsrelate	0.2605954993247837
childB	childD	98872	0.787039	0.212961	1e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.106481	0.0	0.0	0.05324	0.0	0.0	1e-06	0.0	1e-06	0.106481	-0.0	-156392.547995	86	-1	0.996252	3.350971e-01,1.766315e-01,2.282139e-02,1.686067e-01,1.810372e-01,4.677175e-02,1.808897e-02,3.879835e-02,1.214711e-02	0.225978	0.383782	0.125134	-172116.749764	10	4	no_deam	A	2	ngsrelate	0.23436636209362469
childA	childE	68495	0.883171	0.116763	6.5e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.058447	0.0	0.0	0.029224	0.0	0.0	6.5e-05	0.0	6.5e-05	0.058447	-0.0	-92665.641298	158	-1	0.697122	3.330512e-01,1.793420e-01,1.827983e-02,1.768736e-01,1.831888e-01,4.001846e-02,2.118352e-02,3.923901e-02,8.823584e-03	0.215424	0.385712	0.130027	-101423.274667	34	1	no_deam	A	2	ngsrelate	0.3128847592085623
childA	childF	66434	0.872563	0.127408	2.9e-05	0.0	0.0	0.0	0.0	0.0	1e-06	0.063734	1e-06	1e-06	0.031867	1e-06	1e-06	2.9e-05	1e-06	3e-05	0.063734	0.0	-90013.470528	86	-1	0.676146	3.277071e-01,1.882195e-01,1.604994e-02,1.677207e-01,1.951470e-01,3.738481e-02,1.881576e-02,4.171454e-02,7.240636e-03	0.178664	0.41529	0.151958	-98474.502858	30	1	no_deam	A	2	ngsrelate	0.3042082555717382
childB	childD	66644	0.843105	0.155803	0.001091	0.0	0.0	0.0	0.0	0.0	1e-06	0.078993	1e-06	1e-06	0.039497	1e-06	1e-06	0.001091	1e-06	0.001092	0.078993	-0.0	-90974.444587	158	-1	0.678283	3.260144e-01,1.725608e-01,2.241125e-02,1.809904e-01,1.965122e-01,4.685205e-02,1.427300e-02,3.058998e-02,9.795915e-03	0.186677	0.420187	0.149443	-99006.356261	38	1	no_deam	A	2	ngsrelate	0.280590927695462
childA	childE	99408	0.80947	0.190509	2e-05	0.0	0.0	0.0	0.0	1e-06	0.0	0.095275	1e-06	1e-06	0.047637	0.0	0.0	2.1e-05	0.0	2.2e-05	0.095276	0.0	-156456.990113	70	-1	1.0	3.393584e-01,1.737388e-01,1.929391e-02,1.729144e-01,1.828729e-01,4.015774e-02,2.067212e-02,4.093224e-02,1.005952e-02	0.218545	0.390997	0.129732	-173717.021727	5	20	no_deam	A	2	ngsrelate	0.2526897705230665
childA	childF	99408	0.814643	0.185355	2e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.092679	0.0	0.0	0.04634	0.0	0.0	2e-06	0.0	2e-06	0.092679	0.0	-156982.572406	102	-1	1.0	3.385535e-01,1.737486e-01,2.008900e-02,1.722702e-01,1.809306e-01,4.274415e-02,2.081306e-02,4.048958e-02,1.036130e-02	0.226065	0.384832	0.1253	-174370.963714	5	20	no_deam	A	2	ngsrelate	0.2569057502133159
childB	childD	99408	0.779832	0.220168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.110084	0.0	0.0	0.055042	0.0	0.0	0.0	0.0	0.0	0.110084	0.0	-158929.51275	86	-1	1.0	3.357776e-01,1.769575e-01,2.288675e-02,1.683173e-01,1.801863e-01,4.665483e-02,1.830833e-02,3.844762e-02,1.246371e-02	0.228625	0.382097	0.123675	-175379.008126	5	20	no_deam	A	2	ngsrelate	0.2284818712341674
childA	childE	91851	0.838505	0.161389	0.000105	0.0	0.0	0.0	0.0	0.0	0.0	0.0808	0.0	0.0	0.0404	0.0	0.0	0.000105	0.0	0.000106	0.0808	-0.0	-135542.751925	94	-1	0.928717	3.376831e-01,1.761144e-01,1.937893e-02,1.733834e-01,1.840311e-01,4.002472e-02,1.991691e-02,3.946927e-02,9.998126e-03	0.213528	0.392987	0.132286	-149247.33008	18	2	no_deam	A	2	ngsrelate	0.27643145948016357
childA	childF	91877	0.845315	0.154637	4.8e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.077366	0.0	0.0	0.038683	0.0	0.0	4.8e-05	0.0	4.8e-05	0.077367	0.0	-135823.137861	86	-1	0.928979	3.369380e-01,1.758997e-01,2.020629e-02,1.727453e-01,1.814403e-01,4.321381e-02,2.048436e-02,3.941979e-02,9.652405e-03	0.224265	0.384433	0.125994	-149638.488835	18	2	no_deam	A	2	ngsrelate	0.2819681148037842
childB	childD	91923	0.807966	0.192032	1e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.096018	0.0	0.0	0.048009	0.0	0.0	2e-06	0.0	2e-06	0.096018	0.0	-137773.315189	82	-1	0.929445	3.336529e-01,1.781057e-01,2.282323e-02,1.701026e-01,1.807278e-01,4.725975e-02,1.789756e-02,3.749634e-02,1.193418e-02	0.225316	0.381536	0.124979	-150772.070993	18	2	no_deam	A	2	ngsrelate	0.25145400254055744
childA	childE	99398	0.810039	0.189959	2e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.094981	0.0	0.0	0.047491	0.0	0.0	2e-06	0.0	2e-06	0.094981	0.0	-156417.453622	250	-1	1.0	3.392404e-01,1.737909e-01,1.935158e-02,1.728621e-01,1.828064e-01,4.024397e-02,2.063938e-02,4.087361e-02,1.019165e-02	0.218761	0.390811	0.129602	-173714.484118	6	10	no_deam	A	2	ngsrelate	0.25314659995478245
childA	childF	99398	0.814916	0.18508	3e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.092544	0.0	0.0	0.046272	0.0	0.0	4e-06	0.0	4e-06	0.092544	0.0	-156937.102327	70	-1	1.0	3.386837e-01,1.736191e-01,2.006584e-02,1.722341e-01,1.808925e-01,4.279972e-02,2.083551e-02,4.062149e-02,1.024803e-02	0.226109	0.384734	0.125262	-174298.680294	6	10	no_deam	A	2	ngsrelate	0.2571294702836167
childB	childD	99398	0.780119	0.219877	4e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.109943	0.0	0.0	0.054971	0.0	0.0	5e-06	0.0	5e-06	0.109943	-0.0	-158912.970331	82	-1	1.0	3.357694e-01,1.772241e-01,2.299827e-02,1.682645e-01,1.799341e-01,4.678343e-02,1.823183e-02,3.824883e-02,1.254562e-02	0.22914	0.381418	0.123324	-175343.632069	6	10	no_deam	A	2	ngsrelate	0.22871783876354435
childA	childE	99418	0.810878	0.189119	3e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.094563	0.0	0.0	0.047281	0.0	0.0	3e-06	0.0	3e-06	0.094563	0.0	-157851.015627	78	-1	0.99999	3.377245e-01,1.743407e-01,1.914676e-02,1.730047e-01,1.841686e-01,4.029985e-02,2.052504e-02,4.070618e-02,1.008379e-02	0.21541	0.393503	0.131576	-175078.529597	5	8	deam	A	2	ngsrelate	0.2538320488393851
childA	childF	99416	0.81542	0.184539	3.9e-05	0.0	0.0	0.0	0.0	1e-06	0.0	0.092309	1e-06	1e-06	0.046155	0.0	0.0	4e-05	0.0	4e-05	0.09231	0.0	-158345.784505	54	-1	0.99997	3.370536e-01,1.741804e-01,1.997445e-02,1.726118e-01,1.820690e-01,4.279770e-02,2.059537e-02,4.047227e-02,1.024535e-02	0.222827	0.386861	0.127083	-175642.188608	6	8	deam	A	2	ngsrelate	0.2575560912642785
childB	childD	99413	0.779448	0.220547	4e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.110278	0.0	0.0	0.055139	0.0	0.0	4e-06	0.0	4e-06	0.110278	0.0	-160120.990517	82	-1	0.99994	3.343587e-01,1.773786e-01,2.275837e-02,1.686041e-01,1.814207e-01,4.658414e-02,1.807951e-02,3.834647e-02,1.246932e-02	0.2251	0.384569	0.125662	-176503.834998	5	8	deam	A	2	ngsrelate	0.2281703778093613
childA	childE	99402	0.814027	0.185968	5e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.092989	0.0	0.0	0.046494	0.0	0.0	5e-06	0.0	5e-06	0.092989	0.0	-161291.267374	298	-1	0.999889	3.341350e-01,1.751957e-01,1.892522e-02,1.741554e-01,1.871395e-01,4.030265e-02,1.994227e-02,4.041241e-02,9.791791e-03	0.207693	0.399075	0.136017	-178165.288182	9	4	deam	A	2	ngsrelate	0.25640401308481886
childA	childF	99403	0.817243	0.182722	3.2e-05	0.0	1e-06	0.0	0.0	1e-06	0.0	0.091394	1e-06	2e-06	0.045697	0.0	1e-06	3.3e-05	0.0	3.3e-05	0.091395	-0.0	-161894.288967	74	-1	0.999899	3.333204e-01,1.752822e-01,1.968452e-02,1.733060e-01,1.854320e-01,4.283082e-02,2.018747e-02,3.988727e-02,1.006938e-02	0.215022	0.393549	0.131753	-178838.23069	9	4	deam	A	2	ngsrelate	0.25904211456633847
childB	childD	99406	0.783502	0.216494	1e-06	0.0	0.0	0.0	0.0	2e-06	1e-06	0.108249	3e-06	3e-06	0.054125	1e-06	1e-06	4e-06	1e-06	4e-06	0.108251	-0.0	-163858.075377	70	-1	0.99993	3.305299e-01,1.783796e-01,2.234157e-02,1.693016e-01,1.845560e-01,4.643419e-02,1.806011e-02,3.813785e-02,1.225915e-02	0.218913	0.390467	0.12947	-179921.332656	7	4	deam	A	2	ngsrelate	0.2314800466858141
childA	childE	89607	0.844251	0.155738	9e-06	0.0	0.0	0.0	0.0	0.0	2e-06	0.07788	2e-06	2e-06	0.038941	2e-06	2e-06	9e-06	2e-06	1.1e-05	0.07788	0.0	-139046.485188	110	-1	0.904482	3.313496e-01,1.787631e-01,1.791337e-02,1.745085e-01,1.890523e-01,3.994715e-02,1.966110e-02,3.982782e-02,8.977075e-03	0.198752	0.401708	0.140422	-151831.729575	22	1	deam	A	2	ngsrelate	0.281084255296047
childA	childF	89494	0.853342	0.146609	5e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.073354	0.0	0.0	0.036677	0.0	0.0	5e-05	0.0	5e-05	0.073354	-0.0	-139367.791027	90	-1	0.903341	3.320218e-01,1.750500e-01,1.992300e-02,1.739341e-01,1.864365e-01,4.370516e-02,2.064549e-02,3.958792e-02,8.696133e-03	0.2176	0.394286	0.130782	-152223.591738	18	1	deam	A	2	ngsrelate	0.28852254120201193
