a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childD	childE	99380	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3e-05	0.0	0.0	6e-06	0.0	0.0	0.0	0.0	0.0	1.3e-05	-0.0	-159750.312471	62	-159750.364367	0.99999	3.104033e-01,1.840332e-01,2.768531e-02,1.885937e-01,1.732809e-01,3.353985e-02,3.407627e-02,3.988749e-02,8.499896e-03	0.356425	0.341228	0.062777	-177813.550263	6	8	no_deam	FC	3	ngsrelate	0.2041241452319315
childD	childF	99379	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5e-06	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	0.0	5e-06	0.0	-160284.794377	78	-160284.811201	0.99998	3.103997e-01,1.827046e-01,2.901506e-02,1.885112e-01,1.717208e-01,3.519192e-02,3.273276e-02,4.058997e-02,9.133918e-03	0.359583	0.337538	0.061011	-178404.242548	6	8	no_deam	FC	3	ngsrelate	0.2041241452319315
childD	childE	98864	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6e-06	0.0	0.0	3e-06	0.0	0.0	0.0	0.0	0.0	6e-06	0.0	-157225.511847	62	-157225.533813	0.996171	3.102008e-01,1.842014e-01,2.735700e-02,1.887465e-01,1.739271e-01,3.381907e-02,3.447231e-02,3.911665e-02,8.159167e-03	0.35549	0.34257	0.063331	-174388.003949	10	4	no_deam	FC	3	ngsrelate	0.2041241452319315
childD	childF	98880	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5e-06	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	0.0	5e-06	0.0	-157719.222161	70	-157719.236989	0.996332	3.102669e-01,1.830909e-01,2.834928e-02,1.889299e-01,1.720306e-01,3.559234e-02,3.250180e-02,4.038472e-02,8.853490e-03	0.353722	0.338078	0.063541	-174855.896619	10	4	no_deam	FC	3	ngsrelate	0.2041241452319315
childD	childE	68592	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5e-05	4e-06	3e-06	9e-06	3e-06	3e-06	0.0	3e-06	3e-06	1.5e-05	0.0	-94368.31924	86	-94368.36509	0.698109	3.036010e-01,1.875322e-01,2.792360e-02,1.935541e-01,1.759823e-01,3.219470e-02,3.470975e-02,3.801312e-02,6.489261e-03	0.355907	0.342426	0.063137	-103272.021923	30	1	no_deam	FC	3	ngsrelate	0.2041241452319315
childD	childF	66345	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5e-06	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	0.0	5e-06	0.0	-91494.023032	86	-91494.031132	0.67524	2.973750e-01,2.004874e-01,2.262722e-02,1.865947e-01,1.827043e-01,3.051649e-02,3.191469e-02,4.021568e-02,7.564492e-03	0.298526	0.356596	0.08943	-100017.578275	30	1	no_deam	FC	3	ngsrelate	0.2041241452319315
childD	childE	99408	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9e-06	0.0	0.0	5e-06	0.0	0.0	0.0	0.0	0.0	9e-06	0.0	-159805.966325	62	-159806.004564	1.0	3.105699e-01,1.840900e-01,2.774395e-02,1.884040e-01,1.737388e-01,3.344805e-02,3.397097e-02,3.971510e-02,8.319236e-03	0.355217	0.342429	0.063431	-177863.308003	5	20	no_deam	FC	3	ngsrelate	0.2041241452319315
childD	childF	99408	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5e-06	0.0	0.0	3e-06	0.0	0.0	0.0	0.0	0.0	5e-06	-0.0	-160319.867876	78	-160319.888668	1.0	3.106301e-01,1.829228e-01,2.885091e-02,1.882330e-01,1.720177e-01,3.534016e-02,3.277362e-02,4.022840e-02,9.003283e-03	0.358245	0.338385	0.061673	-178454.125026	5	20	no_deam	FC	3	ngsrelate	0.2041241452319315
childD	childE	91934	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1e-05	0.0	0.0	6e-06	0.0	0.0	0.0	0.0	0.0	1.1e-05	0.0	-138361.937617	78	-138361.972769	0.929556	3.085645e-01,1.850963e-01,2.790803e-02,1.888601e-01,1.737250e-01,3.401555e-02,3.390855e-02,4.036051e-02,7.561401e-03	0.35583	0.340538	0.062947	-152537.723088	18	2	no_deam	FC	3	ngsrelate	0.2041241452319315
childD	childF	91905	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9e-05	1e-06	1e-06	1e-05	1e-06	1e-06	0.0	1e-06	1e-06	1.9e-05	0.0	-138596.22697	86	-138596.287198	0.929263	3.076361e-01,1.847066e-01,2.935946e-02,1.887800e-01,1.720404e-01,3.544527e-02,3.307455e-02,4.056734e-02,8.390279e-03	0.362903	0.33606	0.059443	-152882.342991	18	2	no_deam	FC	3	ngsrelate	0.2041241452319315
