a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childA	childB	99380	0.378828	0.399248	0.221921	0.0	0.0	1e-06	1e-06	0.0	0.0	0.421546	2e-06	1e-06	0.210773	0.0	0.0	0.221922	0.0	0.221922	0.421547	0.0	-148904.149962	42	-1	0.99999	4.019446e-01,1.213652e-01,9.278025e-03,1.227140e-01,2.389032e-01,3.425687e-02,1.100488e-02,3.486246e-02,2.567093e-02	0.0849	0.716391	0.250741	-163144.353165	6	8	no_deam	FS	1	ngsrelate	0.09580544405025566
childE	childF	99380	0.357267	0.425164	0.217567	0.0	0.0	1e-06	0.0	0.0	0.0	0.43015	1e-06	0.0	0.215075	0.0	0.0	0.217567	0.0	0.217567	0.43015	0.0	-149373.530539	50	-1	0.99999	4.011565e-01,1.212509e-01,1.064877e-02,1.212662e-01,2.393871e-01,3.655009e-02,9.191550e-03,3.439254e-02,2.615627e-02	0.08288	0.718233	0.25208	-163382.107602	6	8	no_deam	FS	1	ngsrelate	0.07780003357754203
childA	childB	98884	0.384898	0.396512	0.218586	0.0	1e-06	0.0	3e-06	0.0	0.0	0.416845	3e-06	1e-06	0.208423	1e-06	1e-06	0.218586	0.0	0.218586	0.416846	-0.0	-147431.382075	42	-1	0.996373	4.008915e-01,1.215848e-01,9.294175e-03,1.228783e-01,2.394505e-01,3.379226e-02,1.083791e-02,3.522530e-02,2.604522e-02	0.084076	0.71775	0.251377	-161254.753544	10	4	no_deam	FS	1	ngsrelate	0.09982330379892933
childE	childF	98880	0.369282	0.412864	0.217855	0.0	0.0	0.0	0.0	0.0	0.0	0.424287	0.0	0.0	0.212143	0.0	0.0	0.217855	0.0	0.217855	0.424287	-0.0	-147869.194915	102	-1	0.996332	4.011387e-01,1.217013e-01,1.063244e-02,1.213678e-01,2.397437e-01,3.611989e-02,9.275189e-03,3.383871e-02,2.618238e-02	0.083037	0.720091	0.252271	-161359.124637	10	4	no_deam	FS	1	ngsrelate	0.0872814967886474
childA	childB	66673	0.468669	0.302538	0.228793	0.0	0.0	0.0	0.0	0.0	0.0	0.380062	0.0	0.0	0.190031	0.0	0.0	0.228793	0.0	0.228793	0.380062	0.0	-87626.646622	70	-1	0.678578	3.916723e-01,1.350465e-01,5.864689e-03,1.169021e-01,2.594403e-01,2.454543e-02,1.014255e-02,3.268802e-02,2.369821e-02	0.061699	0.797813	0.274648	-94971.414598	39	1	no_deam	FS	1	ngsrelate	0.1705453115294193
childE	childF	66245	0.433017	0.349397	0.217578	0.0	0.0	4e-06	3e-06	0.0	0.0	0.392279	8e-06	0.0	0.19614	2e-06	0.0	0.217578	0.0	0.217579	0.392282	2e-06	-87586.413421	62	-1	0.674222	3.923679e-01,1.325766e-01,7.495999e-03,1.168940e-01,2.553754e-01,2.812043e-02,6.941492e-03,3.599790e-02,2.423023e-02	0.056534	0.778521	0.274766	-94914.487975	30	1	no_deam	FS	1	ngsrelate	0.1381154975398006
childA	childB	99408	0.378348	0.399075	0.222576	0.0	0.0	0.0	0.0	0.0	0.0	0.422114	1e-06	1e-06	0.211057	0.0	0.0	0.222577	0.0	0.222577	0.422115	0.0	-148874.468747	54	-1	1.0	4.018486e-01,1.213082e-01,9.234615e-03,1.227068e-01,2.390154e-01,3.422260e-02,1.106564e-02,3.483579e-02,2.576247e-02	0.084933	0.71696	0.250808	-163185.158695	5	20	no_deam	FS	1	ngsrelate	0.09558790109108999
childE	childF	99408	0.357317	0.423684	0.218999	0.0	0.0	0.0	0.0	0.0	0.0	0.430841	0.0	0.0	0.215421	0.0	0.0	0.218999	0.0	0.218999	0.430841	-0.0	-149311.881589	70	-1	1.0	4.011244e-01,1.211875e-01,1.063293e-02,1.213383e-01,2.397597e-01,3.644588e-02,9.174265e-03,3.421948e-02,2.611747e-02	0.082613	0.720003	0.252482	-163353.240237	5	20	no_deam	FS	1	ngsrelate	0.07810704694200132
childA	childB	91869	0.416566	0.363917	0.219516	0.0	0.0	0.0	0.0	0.0	0.0	0.401475	1e-06	0.0	0.200738	0.0	0.0	0.219516	0.0	0.219516	0.401476	0.0	-131153.933621	46	-1	0.928899	4.002872e-01,1.236274e-01,8.865906e-03,1.225205e-01,2.416136e-01,3.346984e-02,1.131757e-02,3.281448e-02,2.548354e-02	0.083536	0.726405	0.252931	-142742.228481	18	2	no_deam	FS	1	ngsrelate	0.12542207341745445
childE	childF	91827	0.401022	0.386982	0.211996	0.0	0.0	0.0	0.0	0.0	0.0	0.405487	0.0	0.0	0.202743	0.0	0.0	0.211996	0.0	0.211996	0.405487	0.0	-131608.322738	62	-1	0.928474	3.979497e-01,1.230869e-01,1.021821e-02,1.220219e-01,2.413427e-01,3.599933e-02,9.767942e-03,3.310119e-02,2.651220e-02	0.082812	0.72216	0.252694	-143233.845747	19	2	no_deam	FS	1	ngsrelate	0.11109307932840222
childA	childB	99398	0.379057	0.398216	0.222727	0.0	0.0	0.0	0.0	0.0	0.0	0.421835	0.0	0.0	0.210918	0.0	0.0	0.222727	0.0	0.222727	0.421835	0.0	-148863.303146	58	-1	1.0	4.019587e-01,1.212560e-01,9.148681e-03,1.228209e-01,2.389757e-01,3.414245e-02,1.117960e-02,3.477404e-02,2.574388e-02	0.085064	0.716952	0.250737	-163136.711967	6	10	no_deam	FS	1	ngsrelate	0.0961933962286393
childE	childF	99398	0.357467	0.424045	0.218488	1e-06	0.0	0.0	0.0	0.0	0.0	0.43051	0.0	1e-06	0.215255	0.0	0.0	0.218488	0.0	0.218488	0.430511	-0.0	-149296.866445	110	-1	1.0	4.010336e-01,1.211853e-01,1.052741e-02,1.214127e-01,2.396461e-01,3.639199e-02,9.300428e-03,3.429489e-02,2.620753e-02	0.082738	0.719415	0.252329	-163353.990944	6	10	no_deam	FS	1	ngsrelate	0.07812665839946481
childA	childB	99415	0.378673	0.399394	0.221932	0.0	0.0	0.0	0.0	0.0	0.0	0.42163	0.0	0.0	0.210815	0.0	0.0	0.221932	0.0	0.221932	0.42163	0.0	-150165.318667	58	-1	0.99996	4.003533e-01,1.218187e-01,9.154470e-03,1.232447e-01,2.399946e-01,3.410751e-02,1.096019e-02,3.472945e-02,2.563703e-02	0.083813	0.718514	0.251629	-164396.331566	6	8	deam	FS	1	ngsrelate	0.0956837164638442
childE	childF	99417	0.358138	0.422907	0.218952	0.0	0.0	0.0	1e-06	0.0	1e-06	0.430407	2e-06	2e-06	0.215204	1e-06	1e-06	0.218952	1e-06	0.218952	0.430408	-0.0	-150827.457162	106	-1	0.99998	3.994429e-01,1.213917e-01,1.048718e-02,1.217585e-01,2.409542e-01,3.642011e-02,9.144006e-03,3.427174e-02,2.612972e-02	0.081473	0.722559	0.253461	-164868.376277	6	8	deam	FS	1	ngsrelate	0.07874248323279288
childA	childB	99407	0.381979	0.398333	0.219687	0.0	0.0	0.0	0.0	0.0	0.0	0.418854	0.0	0.0	0.209427	0.0	0.0	0.219688	0.0	0.219688	0.418854	0.0	-153979.060552	62	-1	0.99994	3.965400e-01,1.229119e-01,9.055433e-03,1.242890e-01,2.425927e-01,3.443728e-02,1.073072e-02,3.445671e-02,2.498619e-02	0.081561	0.722258	0.25337	-167922.653487	7	4	deam	FS	1	ngsrelate	0.09776419470508277
childE	childF	99402	0.363433	0.4203	0.216266	1e-06	0.0	0.0	0.0	0.0	0.0	0.426416	0.0	1e-06	0.213208	0.0	0.0	0.216266	0.0	0.216266	0.426416	-0.0	-154821.055389	102	-1	0.999889	3.953653e-01,1.227229e-01,1.044067e-02,1.226926e-01,2.431574e-01,3.656219e-02,9.010507e-03,3.437508e-02,2.567340e-02	0.079994	0.724105	0.25447	-168676.045271	7	4	deam	FS	1	ngsrelate	0.08237539730809597
childA	childB	89712	0.432524	0.358368	0.209104	1e-06	1e-06	0.0	2e-06	0.0	1e-06	0.388291	3e-06	2e-06	0.194146	2e-06	1e-06	0.209104	1e-06	0.209105	0.388292	-0.0	-135374.60108	66	-1	0.905542	3.945955e-01,1.246138e-01,8.262155e-03,1.269333e-01,2.431573e-01,3.387023e-02,1.142877e-02,3.281756e-02,2.432144e-02	0.08098	0.719558	0.253279	-146285.672899	22	1	deam	FS	1	ngsrelate	0.13545862445288107
childE	childF	89456	0.417446	0.376203	0.20635	0.0	0.0	0.0	0.0	0.0	0.0	0.394452	0.0	0.0	0.197226	0.0	0.0	0.206351	0.0	0.206351	0.394452	0.0	-135471.473545	46	-1	0.902958	3.919083e-01,1.235904e-01,1.047245e-02,1.258622e-01,2.447626e-01,3.669249e-02,9.108445e-03,3.225879e-02,2.534438e-02	0.08	0.724182	0.254479	-146394.82393	22	1	deam	FS	1	ngsrelate	0.12284025212309954
childA	childB	99410	0.378202	0.399173	0.222623	1e-06	0.0	0.0	0.0	0.0	0.0	0.422211	0.0	1e-06	0.211105	0.0	0.0	0.222623	0.0	0.222624	0.422211	-0.0	-148883.22767	42	-1	1.0	4.018031e-01,1.212265e-01,9.244394e-03,1.227860e-01,2.390674e-01,3.415084e-02,1.104766e-02,3.489199e-02,2.578198e-02	0.08488	0.717172	0.250867	-163195.913727	5	20	deam	FS	1	ngsrelate	0.09548357077179996
childE	childF	99410	0.357462	0.423642	0.218894	0.0	0.0	0.0	0.0	0.0	2e-06	0.430717	2e-06	2e-06	0.215359	2e-06	2e-06	0.218894	2e-06	0.218896	0.430717	0.0	-149341.118383	58	-1	1.0	4.010251e-01,1.213152e-01,1.066971e-02,1.212681e-01,2.397678e-01,3.652387e-02,9.133816e-03,3.415212e-02,2.614430e-02	0.082595	0.719888	0.252475	-163391.162899	5	20	deam	FS	1	ngsrelate	0.0782010418600673
childA	childB	98592	0.397046	0.387028	0.215926	0.0	0.0	0.0	1e-06	0.0	0.0	0.40944	1e-06	0.0	0.20472	0.0	0.0	0.215926	0.0	0.215926	0.409441	0.0	-156027.504977	78	-1	0.99316	3.941372e-01,1.246241e-01,8.521911e-03,1.248227e-01,2.439470e-01,3.381149e-02,1.090571e-02,3.429422e-02,2.493576e-02	0.079639	0.723921	0.254631	-169274.263374	11	2	deam	FS	1	ngsrelate	0.10885194283367969
childE	childF	98587	0.372599	0.4157	0.211701	0.0	0.0	0.0	0.0	0.0	0.0	0.419551	0.0	0.0	0.209776	0.0	0.0	0.211701	0.0	0.211701	0.419551	0.0	-156904.882183	50	-1	0.99311	3.936697e-01,1.234370e-01,1.037275e-02,1.233843e-01,2.440684e-01,3.607787e-02,8.648514e-03,3.441907e-02,2.592236e-02	0.077934	0.725661	0.255788	-170073.748209	11	2	deam	FS	1	ngsrelate	0.08870140585507463
childA	childB	99409	0.378086	0.399606	0.222307	0.0	0.0	0.0	0.0	0.0	0.0	0.42211	0.0	0.0	0.211055	0.0	0.0	0.222307	0.0	0.222307	0.422111	-0.0	-149642.951043	94	-1	0.99999	4.010366e-01,1.216746e-01,9.178800e-03,1.229396e-01,2.395881e-01,3.414114e-02,1.099527e-02,3.472886e-02,2.571706e-02	0.084203	0.718064	0.251356	-163896.665611	6	10	deam	FS	1	ngsrelate	0.09530981215838516
childE	childF	99410	0.357576	0.423775	0.218648	0.0	0.0	1e-06	1e-06	0.0	0.0	0.430536	2e-06	0.0	0.215268	0.0	0.0	0.218648	0.0	0.218648	0.430537	0.0	-150004.525623	54	-1	1.0	4.000481e-01,1.213202e-01,1.050219e-02,1.216938e-01,2.402695e-01,3.634290e-02,9.186581e-03,3.436408e-02,2.627274e-02	0.081945	0.720643	0.25293	-164079.446491	5	10	deam	FS	1	ngsrelate	0.07824277241381469
childA	childB	99379	0.378401	0.39999	0.221608	0.0	0.0	0.0	0.0	0.0	0.0	0.421603	1e-06	1e-06	0.210802	0.0	0.0	0.221608	0.0	0.221608	0.421604	0.0	-148910.890668	34	-1	0.99998	4.019739e-01,1.214666e-01,9.302104e-03,1.227160e-01,2.387707e-01,3.433942e-02,1.096466e-02,3.473355e-02,2.573302e-02	0.08488	0.715906	0.25068	-163155.552868	6	8	no_deam	FS	1	ngsrelate	0.09538504873231791
childE	childF	99380	0.357358	0.424697	0.217946	0.0	0.0	0.0	0.0	0.0	0.0	0.430294	0.0	0.0	0.215147	0.0	0.0	0.217946	0.0	0.217946	0.430294	-0.0	-149335.94789	62	-1	0.99999	4.010004e-01,1.209578e-01,1.055875e-02,1.213668e-01,2.395671e-01,3.648551e-02,9.234707e-03,3.458721e-02,2.624180e-02	0.082622	0.719009	0.252331	-163398.860488	6	8	no_deam	FS	1	ngsrelate	0.07793959389381841
childA	childB	98871	0.38724	0.394948	0.217812	0.0	0.0	0.0	0.0	0.0	0.0	0.415286	0.0	0.0	0.207643	0.0	0.0	0.217812	0.0	0.217812	0.415286	0.0	-147473.469288	46	-1	0.996222	4.011528e-01,1.223119e-01,9.287328e-03,1.226760e-01,2.388884e-01,3.403087e-02,1.096284e-02,3.485676e-02,2.583302e-02	0.084768	0.714966	0.2506	-161209.804785	11	4	no_deam	FS	1	ngsrelate	0.10150009466005436
childE	childF	98907	0.372747	0.41082	0.216433	0.0	0.0	0.0	0.0	0.0	0.0	0.421843	0.0	0.0	0.210921	0.0	0.0	0.216433	0.0	0.216433	0.421843	0.0	-147973.140123	67	-1	0.996584	4.003220e-01,1.214237e-01,1.087086e-02,1.217063e-01,2.396926e-01,3.633614e-02,9.297381e-03,3.407294e-02,2.627807e-02	0.084142	0.718272	0.251419	-161580.644849	11	4	no_deam	FS	1	ngsrelate	0.08971555401749835
childA	childB	69313	0.532646	0.249551	0.217801	1e-06	0.0	0.0	0.0	0.0	0.0	0.342577	0.0	1e-06	0.171289	0.0	0.0	0.217801	0.0	0.217801	0.342578	-0.0	-92134.059994	62	-1	0.704508	3.936396e-01,1.255632e-01,1.227419e-02,1.246397e-01,2.427818e-01,3.297509e-02,1.377774e-02,3.220855e-02,2.214010e-02	0.107306	0.711056	0.238065	-100093.488144	30	1	no_deam	FS	1	ngsrelate	0.2188227886654709
childE	childF	68484	0.430679	0.380386	0.188935	0.0	0.0	0.0	0.0	0.0	0.0	0.379128	0.0	0.0	0.189564	0.0	0.0	0.188935	0.0	0.188936	0.379128	0.0	-90433.816789	78	-1	0.696082	3.952156e-01,1.280140e-01,9.361755e-03,1.255872e-01,2.406106e-01,3.415363e-02,8.869939e-03,3.216047e-02,2.602676e-02	0.075773	0.711556	0.254822	-98300.881778	31	1	no_deam	FS	1	ngsrelate	0.1299760801865738
childA	childB	99408	0.378491	0.398886	0.222623	0.0	0.0	0.0	0.0	0.0	0.0	0.422066	0.0	0.0	0.211033	0.0	0.0	0.222623	0.0	0.222623	0.422066	-0.0	-148875.492966	50	-1	1.0	4.017582e-01,1.212680e-01,9.244712e-03,1.227968e-01,2.390156e-01,3.413200e-02,1.106548e-02,3.486625e-02,2.585302e-02	0.084974	0.716961	0.250786	-163204.859606	5	20	no_deam	FS	1	ngsrelate	0.0957139457028076
childE	childF	99408	0.357383	0.42363	0.218987	0.0	0.0	0.0	0.0	0.0	0.0	0.430802	0.0	0.0	0.215401	0.0	0.0	0.218987	0.0	0.218987	0.430802	-0.0	-149312.972375	46	-1	1.0	4.010734e-01,1.212578e-01,1.064298e-02,1.212486e-01,2.397599e-01,3.652692e-02,9.166028e-03,3.417030e-02,2.615407e-02	0.08262	0.719972	0.252474	-163367.60487	5	20	no_deam	FS	1	ngsrelate	0.07815644942037733
childA	childB	91969	0.4278	0.350974	0.221223	0.0	0.0	0.0	0.0	3e-06	0.0	0.39671	3e-06	3e-06	0.198355	0.0	0.0	0.221226	0.0	0.221226	0.396713	-0.0	-131448.738859	50	-1	0.929759	3.991573e-01,1.233653e-01,8.877939e-03,1.230950e-01,2.408626e-01,3.327767e-02,1.201785e-02,3.314051e-02,2.620574e-02	0.086754	0.721633	0.250529	-143210.804851	18	2	no_deam	FS	1	ngsrelate	0.1349687672574659
childE	childF	91938	0.394993	0.394681	0.210326	0.0	0.0	0.0	0.0	0.0	0.0	0.407667	0.0	0.0	0.203833	0.0	0.0	0.210326	0.0	0.210326	0.407667	0.0	-131858.405922	74	-1	0.929446	3.992065e-01,1.208125e-01,1.074689e-02,1.237241e-01,2.395022e-01,3.735656e-02,9.265480e-03,3.298639e-02,2.639934e-02	0.083558	0.715162	0.251268	-143437.277892	18	2	no_deam	FS	1	ngsrelate	0.10597026011417857
childA	childB	99395	0.379308	0.398113	0.222578	0.0	0.0	0.0	0.0	1e-06	0.0	0.421634	1e-06	1e-06	0.210817	0.0	0.0	0.222579	0.0	0.222579	0.421635	0.0	-148864.850894	38	-1	1.0	4.018181e-01,1.212235e-01,9.173822e-03,1.226831e-01,2.389369e-01,3.421438e-02,1.118679e-02,3.491528e-02,2.584810e-02	0.085213	0.716674	0.250617	-163194.944558	6	10	no_deam	FS	1	ngsrelate	0.09635608563552174
childE	childF	99395	0.357727	0.423539	0.218733	0.0	0.0	0.0	0.0	0.0	0.0	0.430503	0.0	0.0	0.215251	0.0	0.0	0.218733	0.0	0.218733	0.430503	0.0	-149303.497464	34	-1	1.0	4.010308e-01,1.211763e-01,1.060044e-02,1.212743e-01,2.396527e-01,3.655951e-02,9.236463e-03,3.422577e-02,2.624370e-02	0.082774	0.71952	0.252326	-163375.388115	6	10	no_deam	FS	1	ngsrelate	0.07837732737426899
childA	childB	99408	0.3785	0.399485	0.222015	0.0	0.0	0.0	0.0	0.0	0.0	0.421758	0.0	0.0	0.210879	0.0	0.0	0.222015	0.0	0.222015	0.421758	0.0	-150176.239152	74	-1	0.99997	4.002488e-01,1.217656e-01,9.199901e-03,1.232479e-01,2.401647e-01,3.413270e-02,1.085480e-02,3.478608e-02,2.559954e-02	0.083504	0.719084	0.251876	-164398.291513	6	8	deam	FS	1	ngsrelate	0.09556616460163433
childE	childF	99410	0.358818	0.421825	0.219357	0.0	0.0	0.0	0.0	0.0	0.0	0.430269	0.0	0.0	0.215135	0.0	0.0	0.219357	0.0	0.219357	0.430269	0.0	-150723.776757	50	-1	0.99999	3.996027e-01,1.215453e-01,1.051041e-02,1.215434e-01,2.408988e-01,3.656194e-02,9.180345e-03,3.410938e-02,2.604769e-02	0.081739	0.722442	0.253303	-164722.025311	5	8	deam	FS	1	ngsrelate	0.07935506956710453
childA	childB	99395	0.383184	0.397216	0.219599	0.0	0.0	0.0	0.0	0.0	0.0	0.418207	0.0	1e-06	0.209104	0.0	0.0	0.2196	0.0	0.2196	0.418208	-0.0	-154165.248283	38	-1	0.999909	3.961732e-01,1.227712e-01,8.945036e-03,1.244202e-01,2.426828e-01,3.434080e-02,1.088597e-02,3.472724e-02,2.505357e-02	0.081716	0.722076	0.253261	-168162.526014	7	4	deam	FS	1	ngsrelate	0.09870283567861667
childE	childF	99393	0.360798	0.422207	0.216995	0.0	0.0	0.0	0.0	0.0	0.0	0.428098	0.0	0.0	0.214049	0.0	0.0	0.216995	0.0	0.216995	0.428098	-0.0	-154662.906677	46	-1	0.999889	3.955100e-01,1.225582e-01,1.036865e-02,1.225995e-01,2.433275e-01,3.640534e-02,8.984901e-03,3.429950e-02,2.594631e-02	0.079537	0.725882	0.254973	-168524.062321	7	4	deam	FS	1	ngsrelate	0.08045138838246775
childA	childB	89590	0.426092	0.374853	0.199054	0.0	0.0	0.0	0.0	0.0	0.0	0.386481	0.0	0.0	0.19324	0.0	0.0	0.199054	0.0	0.199054	0.386481	0.0	-135311.812051	74	-1	0.904566	3.919712e-01,1.268039e-01,8.792180e-03,1.273330e-01,2.416645e-01,3.415556e-02,1.027955e-02,3.386991e-02,2.513010e-02	0.078918	0.708207	0.252667	-146478.088307	18	1	deam	FS	1	ngsrelate	0.12814790801908033
