a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program
childB	childI	99380	0.190097	0.551673	0.081798	0.153094	0.023338	0.000000	0.000000	0.000000	0.000000	0.375137	0.000000	0.176432	0.190486	0.000000	0.011669	0.081798	0.000000	0.081798	0.457519	-0.076547	-155726.247056	122	-1	0.999990	4.152085e-01,9.737215e-02,2.304930e-02,1.607998e-01,1.685124e-01,6.587958e-02,1.197389e-02,2.957181e-02,2.763263e-02	0.207837	0.433588	0.142570	-169700.360319	6	8	no_deam	GP	2	ngsrelate
childD	founder0	99380	0.695138	0.304787	0.000074	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.152468	0.000001	0.000001	0.076234	0.000000	0.000000	0.000074	0.000000	0.000074	0.152468	-0.000000	-162456.401185	90	-1	0.999990	3.322725e-01,1.681693e-01,2.167254e-02,1.688646e-01,1.817682e-01,4.479330e-02,1.980533e-02,4.568878e-02,1.696545e-02	0.228191	0.387570	0.124913	-177410.614600	7	8	no_deam	GP	2	ngsrelate
childD	founder1	99380	0.723065	0.276769	0.000166	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.138550	0.000000	0.000000	0.069275	0.000000	0.000000	0.000166	0.000000	0.000166	0.138550	0.000000	-161015.973372	82	-1	0.999990	3.354226e-01,1.667269e-01,1.998807e-02,1.705640e-01,1.826354e-01,4.219419e-02,2.211720e-02,4.557143e-02,1.478019e-02	0.230543	0.390947	0.124537	-176452.070406	6	8	no_deam	GP	2	ngsrelate
childE	founder0	99381	0.740879	0.259044	0.000075	0.000002	0.000001	0.000000	0.000000	0.000000	0.000000	0.129597	0.000000	0.000003	0.064799	0.000000	0.000000	0.000075	0.000000	0.000075	0.129599	-0.000001	-159478.998668	70	-1	1.000000	3.360189e-01,1.736510e-01,2.339792e-02,1.676914e-01,1.833109e-01,4.621150e-02,1.724338e-02,3.865308e-02,1.382196e-02	0.221707	0.392656	0.128689	-175380.672098	6	8	no_deam	GP	2	ngsrelate
childE	founder1	99381	0.783682	0.216316	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.108160	0.000000	0.000000	0.054080	0.000000	0.000000	0.000002	0.000000	0.000002	0.108160	-0.000000	-158048.988997	82	-1	1.000000	3.376340e-01,1.739835e-01,2.143648e-02,1.710878e-01,1.822124e-01,4.392700e-02,1.938054e-02,3.873058e-02,1.160769e-02	0.224008	0.388889	0.126968	-174510.156012	6	8	no_deam	GP	2	ngsrelate
childF	founder0	99380	0.736097	0.263902	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.131952	0.000000	0.000000	0.065976	0.000000	0.000000	0.000002	0.000000	0.000002	0.131952	-0.000000	-159981.766650	70	-1	0.999990	3.354932e-01,1.736236e-01,2.250055e-02,1.669939e-01,1.813966e-01,4.664458e-02,1.845930e-02,4.059025e-02,1.429794e-02	0.225803	0.386928	0.125817	-175980.112474	6	8	no_deam	GP	2	ngsrelate
childF	founder1	99380	0.781500	0.218487	0.000009	0.000000	0.000001	0.000000	0.000000	0.000003	0.000000	0.109253	0.000004	0.000004	0.054627	0.000000	0.000000	0.000012	0.000000	0.000012	0.109257	0.000000	-158569.142849	86	-1	0.999990	3.365445e-01,1.742299e-01,2.087514e-02,1.713030e-01,1.803569e-01,4.335479e-02,2.025199e-02,4.035180e-02,1.273204e-02	0.228032	0.383439	0.124188	-175125.748077	6	8	no_deam	GP	2	ngsrelate
childG	founder1	99380	0.688629	0.311366	0.000004	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.155687	0.000000	0.000000	0.077844	0.000000	0.000000	0.000004	0.000000	0.000004	0.155687	-0.000000	-162151.860570	74	-1	0.999990	3.358471e-01,1.655439e-01,1.901950e-02,1.701571e-01,1.808315e-01,4.241493e-02,2.208259e-02,4.856145e-02,1.554189e-02	0.227295	0.386574	0.125108	-176806.025976	6	8	no_deam	GP	2	ngsrelate
childG	founder2	99379	0.602699	0.397236	0.000065	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.198682	0.000001	0.000001	0.099341	0.000000	0.000000	0.000065	0.000000	0.000065	0.198683	-0.000000	-167229.478016	82	-1	0.999980	3.299308e-01,1.666909e-01,2.378552e-02,1.603756e-01,1.801364e-01,5.291123e-02,1.816526e-02,4.688678e-02,2.111752e-02	0.232883	0.384237	0.122259	-179654.835164	6	8	no_deam	GP	2	ngsrelate
childH	founder4	99381	0.720372	0.254041	0.000003	0.000000	0.000000	0.025584	0.000000	0.000000	0.000000	0.127024	0.025584	0.000000	0.063512	0.000000	0.000000	0.000003	0.000000	0.000003	0.139816	0.012792	-163390.918387	58	-1	1.000000	3.490749e-01,1.861968e-01,2.617517e-02,1.395858e-01,1.606323e-01,4.690744e-02,2.867161e-02,4.706775e-02,1.568825e-02	0.341443	0.338455	0.068741	-178650.336928	6	8	no_deam	GP	2	ngsrelate
