a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program
childD	childG	99379	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000004	0.000004	0.000004	0.000004	0.000004	0.000000	0.000004	0.000004	0.000004	-0.000000	-164371.858052	58	-164371.922587	0.999980	2.979332e-01,1.877735e-01,3.640653e-02,1.876097e-01,1.675181e-01,4.029853e-02,3.489553e-02,3.808393e-02,9.480878e-03	0.425638	0.319041	0.031585	-181133.412675	6	8	no_deam	HC	4	ngsrelate
childE	childG	99380	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000001	0.000004	0.000002	0.000001	0.000001	0.000000	0.000001	0.000001	0.000005	-0.000002	-161092.102701	58	-161092.160855	0.999990	2.985247e-01,1.947265e-01,3.981806e-02,1.894017e-01,1.679277e-01,3.987799e-02,3.250295e-02,3.073656e-02,6.483835e-03	0.430667	0.318610	0.029453	-178980.121570	7	8	no_deam	HC	4	ngsrelate
childF	childG	99379	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	0.000001	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	-0.000000	-161626.584151	58	-161626.619019	0.999980	2.982064e-01,1.937847e-01,3.964347e-02,1.886733e-01,1.670363e-01,3.930399e-02,3.352537e-02,3.258302e-02,7.243421e-03	0.438042	0.316648	0.026253	-179627.876749	6	8	no_deam	HC	4	ngsrelate
childD	childG	98875	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000002	0.000002	0.000003	0.000001	0.000001	0.000000	0.000001	0.000001	0.000006	-0.000000	-161603.511939	90	-161603.556200	0.996282	2.968036e-01,1.883896e-01,3.663182e-02,1.881778e-01,1.677125e-01,4.055814e-02,3.521575e-02,3.725170e-02,9.259104e-03	0.428397	0.318709	0.030409	-177572.876786	10	4	no_deam	HC	4	ngsrelate
childE	childG	98873	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	0.000011	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000009	-0.000006	-158496.656652	46	-158496.733131	0.996262	2.983890e-01,1.950935e-01,3.987911e-02,1.894446e-01,1.678734e-01,3.994742e-02,3.244694e-02,3.039136e-02,6.534734e-03	0.430837	0.318423	0.029371	-175538.948102	10	4	no_deam	HC	4	ngsrelate
childF	childG	98889	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000002	0.000002	0.000003	0.000002	0.000002	0.000000	0.000002	0.000002	0.000004	-0.000000	-158991.411945	70	-158991.467224	0.996423	2.979188e-01,1.939534e-01,3.991167e-02,1.889498e-01,1.670411e-01,3.939506e-02,3.332057e-02,3.236959e-02,7.140074e-03	0.438409	0.316426	0.026088	-176097.712963	10	4	no_deam	HC	4	ngsrelate
childD	childG	68450	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000008	0.000006	0.000013	0.000006	0.000004	0.000004	0.000000	0.000004	0.000004	0.000014	-0.000003	-96166.901551	58	-96166.951147	0.696664	2.922184e-01,1.918838e-01,3.549649e-02,1.889802e-01,1.732887e-01,3.906622e-02,3.541648e-02,3.490486e-02,8.744883e-03	0.409219	0.329604	0.039259	-104372.827286	30	1	no_deam	HC	4	ngsrelate
childE	childG	68406	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	-0.000004	-94564.387485	54	-94564.399287	0.696216	2.926046e-01,1.988855e-01,3.953986e-02,1.921952e-01,1.714797e-01,3.846758e-02,3.235414e-02,2.881321e-02,5.660284e-03	0.419257	0.323391	0.034558	-103402.825109	30	1	no_deam	HC	4	ngsrelate
childF	childG	66565	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000011	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	-0.000006	-92362.509763	98	-92362.525374	0.677479	2.840255e-01,1.936892e-01,3.641606e-02,2.051866e-01,1.781359e-01,4.185933e-02,2.919302e-02,2.649593e-02,4.998567e-03	0.368309	0.334314	0.056973	-101009.056352	27	1	no_deam	HC	4	ngsrelate
childD	childG	99408	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	-0.000000	-164447.639262	66	-164447.644687	1.000000	2.978143e-01,1.882043e-01,3.638525e-02,1.876695e-01,1.676437e-01,4.027769e-02,3.478587e-02,3.781378e-02,9.405664e-03	0.424538	0.319238	0.032057	-181217.105488	5	20	no_deam	HC	4	ngsrelate
