a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childA	childC	99381	0.753655	0.246339	6e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.123175	0.0	0.0	0.061588	0.0	0.0	6e-06	0.0	6e-06	0.123176	0.0	-159235.564179	54	-1	1.0	3.370442e-01,1.731053e-01,2.240242e-02,1.693177e-01,1.806000e-01,4.599313e-02,1.866970e-02,3.997450e-02,1.289299e-02	0.22742	0.384695	0.124692	-175395.786259	7	8	no_deam	HS	2	ngsrelate	0.2071108897684201
childB	childC	99380	0.781762	0.218238	1e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.10912	0.0	0.0	0.05456	0.0	0.0	1e-06	0.0	1e-06	0.10912	0.0	-158663.549264	74	-1	0.99999	3.367336e-01,1.761025e-01,2.285814e-02,1.697886e-01,1.789442e-01,4.637595e-02,1.850458e-02,3.862602e-02,1.206638e-02	0.231149	0.378914	0.121984	-175117.119195	6	8	no_deam	HS	2	ngsrelate	0.23005770963608238
childA	childC	98921	0.764324	0.235641	3.3e-05	1e-06	1e-06	0.0	0.0	0.0	0.0	0.117854	0.0	2e-06	0.058927	0.0	1e-06	3.3e-05	0.0	3.3e-05	0.117855	-1e-06	-156978.369373	62	-1	0.996745	3.366570e-01,1.727583e-01,2.242128e-02,1.692392e-01,1.807266e-01,4.614307e-02,1.903970e-02,4.001450e-02,1.300035e-02	0.229413	0.384839	0.123865	-172559.581327	10	4	no_deam	HS	2	ngsrelate	0.21583393226120248
childB	childC	98911	0.79173	0.208268	1e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.104135	0.0	0.0	0.052068	0.0	0.0	1e-06	0.0	1e-06	0.104135	-0.0	-156357.790365	346	-1	0.996645	3.362497e-01,1.750506e-01,2.333515e-02,1.702487e-01,1.795144e-01,4.651551e-02,1.838233e-02,3.885843e-02,1.184525e-02	0.232391	0.380013	0.121665	-172180.684626	10	4	no_deam	HS	2	ngsrelate	0.23819736405272557
childA	childC	68513	0.836611	0.162972	0.000412	0.0	3e-06	0.0	0.0	0.0	1e-06	0.081902	1e-06	4e-06	0.040952	1e-06	3e-06	0.000412	1e-06	0.000414	0.081902	-0.0	-93975.130803	82	-1	0.697305	3.307200e-01,1.778329e-01,2.368586e-02,1.744569e-01,1.825099e-01,4.327633e-02,1.833309e-02,3.673358e-02,1.245137e-02	0.230228	0.384783	0.123504	-102209.924048	27	1	no_deam	HS	2	ngsrelate	0.2750121257017588
childB	childC	66809	0.850417	0.149526	5.7e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.07482	0.0	0.0	0.03741	0.0	0.0	5.7e-05	0.0	5.7e-05	0.07482	-0.0	-91312.245523	110	-1	0.679962	3.272231e-01,1.707851e-01,2.330283e-02,1.839954e-01,1.914842e-01,4.688557e-02,1.386592e-02,3.260082e-02,9.857038e-03	0.194109	0.406173	0.143345	-99534.683204	30	1	no_deam	HS	2	ngsrelate	0.2861375553901771
childA	childC	99408	0.752008	0.247989	3e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.123998	0.0	0.0	0.061999	0.0	0.0	3e-06	0.0	3e-06	0.123998	-0.0	-159274.305522	58	-1	1.0	3.372162e-01,1.729636e-01,2.221134e-02,1.689406e-01,1.806727e-01,4.633158e-02,1.872077e-02,4.011805e-02,1.282515e-02	0.226554	0.384995	0.125122	-175541.018164	5	20	no_deam	HS	2	ngsrelate	0.20576489512224055
childB	childC	99408	0.781107	0.218893	1e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.109447	0.0	0.0	0.054723	0.0	0.0	1e-06	0.0	1e-06	0.109447	0.0	-158712.376045	90	-1	1.0	3.368383e-01,1.758907e-01,2.289539e-02,1.695600e-01,1.791035e-01,4.649251e-02,1.847925e-02,3.876022e-02,1.198018e-02	0.23101	0.379394	0.122136	-175256.023394	5	20	no_deam	HS	2	ngsrelate	0.22952290437557643
childA	childC	91976	0.79035	0.209626	2.1e-05	0.0	0.0	0.0	0.0	0.0	3e-06	0.104837	3e-06	3e-06	0.05242	3e-06	3e-06	2.1e-05	3e-06	2.4e-05	0.104837	0.0	-138038.280426	74	-1	0.92998	3.351770e-01,1.746097e-01,2.294097e-02,1.696765e-01,1.819959e-01,4.591768e-02,1.898828e-02,3.798448e-02,1.270960e-02	0.230386	0.387128	0.123883	-150949.475473	18	2	no_deam	HS	2	ngsrelate	0.23707958074382254
childB	childC	91957	0.817538	0.182435	2.5e-05	1e-06	0.0	0.0	0.0	0.0	1e-06	0.091244	1e-06	2e-06	0.045622	1e-06	1e-06	2.5e-05	1e-06	2.6e-05	0.091244	-0.0	-137695.743683	59	-1	0.929788	3.340097e-01,1.769246e-01,2.331622e-02,1.719454e-01,1.801458e-01,4.648714e-02,1.830580e-02,3.715000e-02,1.171523e-02	0.231046	0.379951	0.122227	-150805.776364	18	2	no_deam	HS	2	ngsrelate	0.25927971465452776
childA	childC	99398	0.752677	0.247308	1.5e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.123669	0.0	0.0	0.061834	0.0	0.0	1.5e-05	0.0	1.5e-05	0.123669	-0.0	-159240.317647	54	-1	1.0	3.371580e-01,1.729712e-01,2.223802e-02,1.691205e-01,1.805922e-01,4.622601e-02,1.871799e-02,4.009649e-02,1.287950e-02	0.226787	0.384754	0.124975	-175494.280803	6	10	no_deam	HS	2	ngsrelate	0.206316030576072
