a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childA	childD	99380	0.000448	0.999551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.499776	0.0	0.0	0.249888	0.0	0.0	0.0	0.0	0.0	0.499776	-0.0	-150764.1504	86	-1.0	0.99999	3.833758e-01,1.492395e-01,8.380222e-08,1.386996e-01,1.960392e-01,6.111523e-02,1.357309e-05,5.018239e-02,2.133468e-02	7e-05	0.491018	0.247704	-163932.518866	10	8	no_deam	PO	1	ngsrelate	0.0003661989441091774
childA	childH	99381	0.0	0.923501	0.051195	0.0	0.0253	3e-06	0.0	2e-06	0.0	0.53192	4e-06	0.025301	0.269123	0.0	0.01265	0.051197	0.0	0.051197	0.538248	1e-06	-145959.770785	98	-1.0	1.0	4.262343e-01,1.063545e-01,1.115782e-07,1.352399e-01,1.985342e-01,6.210045e-02,2.012418e-06,4.214824e-02,2.938636e-02	1.1e-05	0.574055	0.267232	-159425.963456	13	8	no_deam	PO	1	ngsrelate	0.05314453570531341
childA	founder0	99381	0.00064	0.999359	0.0	0.0	0.0	0.0	0.0	0.0	1e-06	0.499681	1e-06	1e-06	0.249841	1e-06	1e-06	0.0	1e-06	1e-06	0.499681	0.0	-150282.41753	126	-1.0	1.0	3.867631e-01,1.458131e-01,1.231782e-05,1.341232e-01,1.989028e-01,6.281375e-02,6.661632e-07,5.091326e-02,2.065782e-02	6.5e-05	0.505244	0.251276	-163554.910658	11	8	no_deam	PO	1	ngsrelate	0.0005229662194316836
childA	founder1	99381	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.499964	0.0	0.0	0.249982	0.0	0.0	0.0	0.0	0.0	0.499964	0.0	-149541.12597	106	-149541.171892	1.0	3.865857e-01,1.459612e-01,3.818281e-08,1.414775e-01,1.975733e-01,5.694827e-02,2.189102e-07,5.144554e-02,2.000820e-02	1e-06	0.499133	0.249783	-163128.902449	13	8	no_deam	PO	1	ngsrelate	0.0
childB	childE	99380	0.001281	0.998719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49936	0.0	0.0	0.24968	0.0	0.0	0.0	0.0	0.0	0.49936	0.0	-147785.137144	102	-1.0	0.99999	3.888420e-01,1.467691e-01,2.346469e-06,1.442261e-01,1.985308e-01,5.245670e-02,2.436853e-07,5.196212e-02,1.721066e-02	1.3e-05	0.50208	0.250513	-161919.899343	13	8	no_deam	PO	1	ngsrelate	0.0010459321201684074
childB	childF	99379	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.499956	0.0	0.0	0.249978	0.0	0.0	0.0	0.0	0.0	0.499957	0.0	-148092.986417	142	-148093.038694	0.99998	3.890130e-01,1.466759e-01,1.986465e-06,1.425419e-01,1.975037e-01,5.506308e-02,2.506836e-09,5.095740e-02,1.824304e-02	1e-05	0.499706	0.249922	-162295.569461	10	8	no_deam	PO	1	ngsrelate	0.0
childB	founder0	99380	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.499918	0.0	0.0	0.249959	0.0	0.0	0.0	0.0	0.0	0.499918	-0.0	-149887.90326	146	-149887.937313	0.99999	3.871298e-01,1.485179e-01,8.832903e-08,1.338059e-01,1.979649e-01,6.336258e-02,4.917001e-07,4.907312e-02,2.014516e-02	3e-06	0.501482	0.250369	-163268.948014	13	8	no_deam	PO	1	ngsrelate	0.0
childB	founder1	99380	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49995	0.0	0.0	0.249975	0.0	0.0	0.0	0.0	0.0	0.49995	0.0	-149158.347442	162	-149158.375409	0.99999	3.867698e-01,1.488720e-01,1.615517e-08,1.413467e-01,1.964798e-01,5.730988e-02,8.990433e-08,4.952594e-02,1.969586e-02	1e-06	0.494843	0.248704	-162862.895804	13	8	no_deam	PO	1	ngsrelate	0.0
childC	childG	99380	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.499996	0.0	0.0	0.249998	0.0	0.0	2e-06	0.0	2e-06	0.499996	0.0	-153148.775734	74	-153148.801384	0.99999	3.832189e-01,1.417855e-01,1.355055e-06,1.372030e-01,1.966490e-01,5.990304e-02,1.699145e-06,5.492412e-02,2.631345e-02	1.6e-05	0.499339	0.249828	-165180.177931	10	8	no_deam	PO	1	ngsrelate	0.0
childC	founder1	99381	0.000563	0.999436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.499719	0.0	1e-06	0.24986	0.0	1e-06	0.0	0.0	0.0	0.499719	0.0	-151410.414384	130	-1.0	1.0	3.854938e-01,1.394685e-01,1.018777e-07,1.425716e-01,1.972896e-01,5.385898e-02,2.906451e-06,5.826137e-02,2.305305e-02	1.5e-05	0.500527	0.250125	-164149.961983	13	8	no_deam	PO	1	ngsrelate	0.00046009600447443217
