a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childA	childE	99381	0.530852	0.46906	8.8e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.234618	0.0	0.0	0.117309	0.0	0.0	8.8e-05	0.0	8.8e-05	0.234618	0.0	-170374.556873	90	-1	1.0	3.394355e-01,1.738761e-01,1.925774e-02,1.729346e-01,1.825176e-01,4.043765e-02,2.070172e-02,4.081115e-02,1.002783e-02	0.218935	0.389979	0.129365	-173591.461548	6	8	no_deam	A	2	ngsrelateWithRealFreq	0.025226555108985194
childA	childF	99380	0.547082	0.452889	2.6e-05	2e-06	0.0	1e-06	0.0	0.0	0.0	0.22647	1e-06	3e-06	0.113235	0.0	0.0	2.6e-05	0.0	2.6e-05	0.226472	-0.0	-170470.695598	58	-1	0.99999	3.384530e-01,1.737781e-01,2.035205e-02,1.722603e-01,1.808350e-01,4.277854e-02,2.089473e-02,4.038820e-02,1.025998e-02	0.228091	0.384386	0.124345	-174274.161279	6	8	no_deam	A	2	ngsrelateWithRealFreq	0.0384541359760776
childB	childD	99379	0.543532	0.456394	5.4e-05	7e-06	2e-06	1e-06	5e-06	3e-06	3e-06	0.228259	1.1e-05	1.5e-05	0.114132	6e-06	4e-06	5.6e-05	3e-06	6e-05	0.228267	-3e-06	-171042.955519	70	-1	0.99998	3.356021e-01,1.771217e-01,2.294880e-02,1.682419e-01,1.799555e-01,4.694026e-02,1.829706e-02,3.831606e-02,1.257663e-02	0.2292	0.38137	0.123289	-175324.959541	7	8	no_deam	A	2	ngsrelateWithRealFreq	0.035573966023858886
childA	childE	98877	0.532553	0.467367	7.4e-05	0.0	0.0	0.0	0.0	0.0	5e-06	0.233763	5e-06	5e-06	0.116884	5e-06	5e-06	7.4e-05	5e-06	7.9e-05	0.233763	-0.0	-167646.464389	158	-1	0.996302	3.394243e-01,1.727745e-01,1.956973e-02,1.733522e-01,1.829716e-01,3.974248e-02,2.075174e-02,4.131026e-02,1.010318e-02	0.22037	0.391382	0.12902	-170674.626333	10	4	no_deam	A	2	ngsrelateWithRealFreq	0.026612127398362353
childA	childF	98894	0.542528	0.457429	3.8e-05	1e-06	0.0	0.0	0.0	0.0	3e-06	0.228756	4e-06	4e-06	0.11438	4e-06	4e-06	3.8e-05	3e-06	4.2e-05	0.228757	-0.0	-167689.285661	50	-1	0.996473	3.380999e-01,1.740756e-01,1.966234e-02,1.725992e-01,1.805001e-01,4.292842e-02,2.095933e-02,4.101599e-02,1.015929e-02	0.225051	0.383031	0.125384	-171215.115632	10	4	no_deam	A	2	ngsrelateWithRealFreq	0.03474153263266702
childB	childD	98872	0.543153	0.456747	9e-05	0.0	1e-06	0.0	3e-06	3e-06	2e-06	0.228469	9e-06	7e-06	0.114236	4e-06	3e-06	9.3e-05	2e-06	9.6e-05	0.228473	-0.0	-168104.390076	74	-1	0.996252	3.350971e-01,1.766315e-01,2.282153e-02,1.686067e-01,1.810371e-01,4.677170e-02,1.808892e-02,3.879835e-02,1.214717e-02	0.225978	0.383782	0.125134	-172116.749764	10	4	no_deam	A	2	ngsrelateWithRealFreq	0.03527516368022502
childA	childE	68495	0.562559	0.436893	0.000547	0.0	0.0	0.0	0.0	0.0	0.0	0.218994	0.0	0.0	0.109497	0.0	0.0	0.000547	0.0	0.000547	0.218994	-0.0	-100273.267307	111	-1	0.697122	3.330511e-01,1.793429e-01,1.827978e-02,1.768748e-01,1.831851e-01,4.001968e-02,2.118305e-02,3.924016e-02,8.823364e-03	0.215426	0.385701	0.130024	-101423.274668	30	1	no_deam	A	2	ngsrelateWithRealFreq	0.05130438947757462
childA	childF	66434	0.556852	0.443081	6.3e-05	0.0	0.0	0.0	0.0	0.0	3e-06	0.221607	3e-06	3e-06	0.110805	3e-06	3e-06	6.3e-05	3e-06	6.6e-05	0.221607	-0.0	-97100.676518	142	-1	0.676146	3.277078e-01,1.882179e-01,1.605081e-02,1.677193e-01,1.951503e-01,3.738309e-02,1.881655e-02,4.171286e-02,7.241449e-03	0.178669	0.415301	0.151957	-98474.50286	30	1	no_deam	A	2	ngsrelateWithRealFreq	0.04644683855046901
childB	childD	66644	0.562344	0.42995	0.007702	0.0	0.0	0.0	0.0	0.0	3e-06	0.222681	4e-06	4e-06	0.111342	4e-06	3e-06	0.007702	3e-06	0.007706	0.222681	0.0	-97456.058553	182	-1	0.678283	3.260126e-01,1.725605e-01,2.241138e-02,1.809904e-01,1.965135e-01,4.685223e-02,1.427319e-02,3.059004e-02,9.796118e-03	0.186677	0.42019	0.149443	-99006.356263	35	1	no_deam	A	2	ngsrelateWithRealFreq	0.05432340698692107
childA	childE	99408	0.530504	0.469416	8e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.234788	0.0	0.0	0.117394	0.0	0.0	8e-05	0.0	8e-05	0.234788	-0.0	-170465.183368	86	-1	1.0	3.393584e-01,1.737388e-01,1.929391e-02,1.729144e-01,1.828729e-01,4.015774e-02,2.067212e-02,4.093224e-02,1.005952e-02	0.218545	0.390997	0.129732	-173717.021727	5	20	no_deam	A	2	ngsrelateWithRealFreq	0.024939135724131783
