a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childD	childE	99380	0.802128	0.197783	8.5e-05	0.0	0.0	0.0	0.0	0.0	3e-06	0.09898	3e-06	3e-06	0.049492	3e-06	3e-06	8.5e-05	3e-06	8.9e-05	0.09898	-0.0	-173192.254547	150	-1	0.99999	3.104105e-01,1.840346e-01,2.768364e-02,1.885909e-01,1.732794e-01,3.354065e-02,3.407998e-02,3.987944e-02,8.500924e-03	0.356439	0.341229	0.062771	-177813.550118	6	8	no_deam	FC	3	ngsrelateWithRealFreq	0.042598711631534884
childD	childF	99379	0.80325	0.196703	4.2e-05	0.0	0.0	0.0	0.0	0.0	5e-06	0.098398	5e-06	5e-06	0.049201	5e-06	5e-06	4.2e-05	5e-06	4.6e-05	0.098398	-0.0	-173110.235536	90	-1	0.99998	3.104015e-01,1.827018e-01,2.901601e-02,1.885048e-01,1.717175e-01,3.519342e-02,3.273988e-02,4.058911e-02,9.135981e-03	0.359637	0.337531	0.060987	-178404.242682	6	8	no_deam	FC	3	ngsrelateWithRealFreq	0.04349764159507196
childD	childE	98864	0.805517	0.193402	0.001065	0.0	0.0	1.6e-05	0.0	0.0	0.0	0.097766	1.6e-05	0.0	0.048883	0.0	0.0	0.001065	0.0	0.001065	0.097774	8e-06	-170087.12334	62	-1	0.996171	3.102008e-01,1.842014e-01,2.735701e-02,1.887464e-01,1.739269e-01,3.381909e-02,3.447250e-02,3.911662e-02,8.159182e-03	0.355491	0.342569	0.063331	-174388.003949	10	4	no_deam	FC	3	ngsrelateWithRealFreq	0.04577701431213416
childD	childF	98880	0.797639	0.202358	2e-06	0.0	0.0	0.0	0.0	0.0	2e-06	0.101182	2e-06	2e-06	0.050592	2e-06	2e-06	2e-06	2e-06	3e-06	0.101182	-0.0	-169984.800327	82	-1	0.996332	3.102668e-01,1.830908e-01,2.834914e-02,1.889301e-01,1.720307e-01,3.559241e-02,3.250178e-02,4.038476e-02,8.853453e-03	0.353721	0.338078	0.063542	-174855.896618	10	4	no_deam	FC	3	ngsrelateWithRealFreq	0.038898305400107074
childD	childE	68592	0.831254	0.166746	0.001986	3e-06	0.0	2e-06	0.0	0.0	9e-06	0.085368	1.1e-05	1.3e-05	0.042689	9e-06	9e-06	0.001986	9e-06	0.001995	0.08537	-1e-06	-101459.910576	50	-1	0.698109	3.036007e-01,1.875330e-01,2.792273e-02,1.935552e-01,1.759797e-01,3.219645e-02,3.470907e-02,3.801492e-02,6.488236e-03	0.355904	0.342419	0.063138	-103272.021926	30	1	no_deam	FC	3	ngsrelateWithRealFreq	0.06717485945401501
childD	childF	66345	0.814227	0.185713	5.6e-05	0.0	1e-06	0.0	0.0	0.0	2e-06	0.092916	2e-06	3e-06	0.046459	2e-06	3e-06	5.6e-05	2e-06	5.9e-05	0.092916	-0.0	-97975.607568	122	-1	0.67524	2.973737e-01,2.004888e-01,2.262630e-02,1.865968e-01,1.827031e-01,3.051755e-02,3.191287e-02,4.021804e-02,7.562828e-03	0.298513	0.356591	0.089434	-100017.578275	26	1	no_deam	FC	3	ngsrelateWithRealFreq	0.052465636480779836
childD	childE	99408	0.8019	0.197917	0.00018	0.0	0.0	0.0	0.0	0.0	3e-06	0.099142	3e-06	3e-06	0.049573	3e-06	3e-06	0.00018	3e-06	0.000184	0.099142	-0.0	-173276.775062	182	-1	1.0	3.105699e-01,1.840900e-01,2.774395e-02,1.884040e-01,1.737388e-01,3.344805e-02,3.397097e-02,3.971510e-02,8.319236e-03	0.355217	0.342429	0.063431	-177863.308003	5	20	no_deam	FC	3	ngsrelateWithRealFreq	0.042451074933386526
childD	childF	99408	0.802195	0.197645	0.000158	0.0	0.0	0.0	0.0	0.0	2e-06	0.098982	3e-06	3e-06	0.049492	2e-06	2e-06	0.000158	2e-06	0.00016	0.098983	-0.0	-173184.284855	71	-1	1.0	3.106301e-01,1.829228e-01,2.885091e-02,1.882330e-01,1.720177e-01,3.534016e-02,3.277362e-02,4.022840e-02,9.003283e-03	0.358245	0.338385	0.061673	-178454.125026	5	20	no_deam	FC	3	ngsrelateWithRealFreq	0.04268250622913326
childD	childE	91934	0.80556	0.194427	1e-05	0.0	0.0	0.0	0.0	0.0	2e-06	0.097226	2e-06	2e-06	0.048614	2e-06	2e-06	1e-05	2e-06	1.2e-05	0.097226	0.0	-149176.332528	90	-1	0.929556	3.085646e-01,1.850954e-01,2.790845e-02,1.888596e-01,1.737269e-01,3.401444e-02,3.390902e-02,4.035945e-02,7.562122e-03	0.355831	0.340543	0.062947	-152537.723091	19	2	no_deam	FC	3	ngsrelateWithRealFreq	0.04536985794188327
childD	childF	91905	0.813963	0.186031	0.0	0.0	0.0	0.0	0.0	0.0	5e-06	0.093021	5e-06	5e-06	0.046513	5e-06	5e-06	0.0	5e-06	5e-06	0.093021	-0.0	-148953.391517	182	-1	0.929263	3.076364e-01,1.847056e-01,2.935993e-02,1.887790e-01,1.720423e-01,3.544447e-02,3.307476e-02,4.056671e-02,8.390901e-03	0.362903	0.336066	0.059443	-152882.342994	15	2	no_deam	FC	3	ngsrelateWithRealFreq	0.05222802035306335
