a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childA	childB	99380	0.266261	0.489355	0.244378	0.0	0.0	6e-06	0.0	0.0	0.0	0.489055	6e-06	1e-06	0.244528	0.0	0.0	0.244378	0.0	0.244378	0.489059	3e-06	-160425.73402	74	-1	0.99999	4.019379e-01,1.213558e-01,9.297351e-03,1.227189e-01,2.389094e-01,3.424771e-02,1.099779e-02,3.486398e-02,2.567108e-02	0.084949	0.71641	0.250718	-163144.353814	6	8	no_deam	FS	1	ngsrelateWithRealFreq	0.011681081998970258
childE	childF	99380	0.256153	0.502474	0.241354	0.0	1.2e-05	0.0	3e-06	4e-06	0.0	0.492602	7e-06	1.7e-05	0.246303	2e-06	6e-06	0.241358	0.0	0.241358	0.49261	-0.0	-160583.159025	58	-1	0.99999	4.011416e-01,1.212554e-01,1.064950e-02,1.212686e-01,2.393882e-01,3.655689e-02,9.195226e-03,3.438820e-02,2.615645e-02	0.082898	0.718207	0.252067	-163382.107555	6	8	no_deam	FS	1	ngsrelateWithRealFreq	0.006291088962439913
childA	childB	98884	0.265536	0.490618	0.243816	1e-06	4e-06	1.6e-05	9e-06	0.0	0.0	0.489135	2.5e-05	5e-06	0.244569	5e-06	2e-06	0.243816	0.0	0.243816	0.489147	7e-06	-158655.852406	54	-1	0.996373	4.008919e-01,1.215846e-01,9.294642e-03,1.228776e-01,2.394506e-01,3.379197e-02,1.083799e-02,3.522519e-02,2.604541e-02	0.084078	0.717752	0.251376	-161254.753545	10	4	no_deam	FS	1	ngsrelateWithRealFreq	0.011069945437986582
childE	childF	98880	0.259145	0.497425	0.243408	1.1e-05	1e-05	1e-06	0.0	0.0	0.0	0.492128	1e-06	2.1e-05	0.246065	0.0	5e-06	0.243408	0.0	0.243408	0.492136	-5e-06	-158751.220741	70	-1	0.996332	4.011390e-01,1.217004e-01,1.063312e-02,1.213661e-01,2.397460e-01,3.611904e-02,9.276034e-03,3.383771e-02,2.618247e-02	0.083043	0.720104	0.25227	-161359.124646	11	4	no_deam	FS	1	ngsrelateWithRealFreq	0.006676229325000754
childA	childB	66673	0.280111	0.465171	0.254713	0.0	0.0	3e-06	1e-06	0.0	0.0	0.4873	4e-06	0.0	0.24365	1e-06	0.0	0.254713	0.0	0.254713	0.487302	1e-06	-94098.316114	54	-1	0.678578	3.916724e-01,1.350438e-01,5.865771e-03,1.169037e-01,2.594441e-01,2.454201e-02,1.014258e-02,3.268742e-02,2.369818e-02	0.061702	0.797834	0.274649	-94971.414597	30	1	no_deam	FS	1	ngsrelateWithRealFreq	0.026720428707888155
childE	childF	66245	0.263667	0.489133	0.247176	0.0	0.0	1e-06	2.2e-05	2e-06	0.0	0.491759	2.5e-05	2e-06	0.245882	1.1e-05	0.0	0.247178	0.0	0.247178	0.491767	1e-06	-93863.659579	62	-1	0.674222	3.923714e-01,1.325754e-01,7.496534e-03,1.168916e-01,2.553766e-01,2.811898e-02,6.943037e-03,3.599591e-02,2.423048e-02	0.056542	0.778536	0.274764	-94914.487976	35	1	no_deam	FS	1	ngsrelateWithRealFreq	0.010211979142164361
childA	childB	99408	0.266652	0.488389	0.244944	0.0	1.2e-05	0.0	3e-06	0.0	0.0	0.48915	3e-06	1.2e-05	0.244577	2e-06	6e-06	0.244944	0.0	0.244944	0.489154	0.0	-160439.561857	62	-1	1.0	4.018486e-01,1.213082e-01,9.234615e-03,1.227068e-01,2.390154e-01,3.422260e-02,1.106564e-02,3.483579e-02,2.576247e-02	0.084933	0.71696	0.250808	-163185.158695	5	20	no_deam	FS	1	ngsrelateWithRealFreq	0.012078459628611584
childE	childF	99408	0.256635	0.501	0.242341	1e-05	8e-06	5e-06	1e-06	0.0	0.0	0.492848	6e-06	1.8e-05	0.246425	1e-06	4e-06	0.242341	0.0	0.242341	0.492858	-3e-06	-160527.177412	62	-1	1.0	4.011244e-01,1.211875e-01,1.063293e-02,1.213383e-01,2.397597e-01,3.644588e-02,9.174265e-03,3.421948e-02,2.611747e-02	0.082613	0.720003	0.252482	-163353.240237	5	20	no_deam	FS	1	ngsrelateWithRealFreq	0.005878874778957846
childA	childB	91869	0.272443	0.480497	0.246977	4e-06	2e-05	4.4e-05	1.2e-05	1e-06	3e-06	0.487252	6e-05	2.7e-05	0.243631	9e-06	1.3e-05	0.246978	3e-06	0.24698	0.487285	2e-05	-140856.656668	42	-1	0.928899	4.002872e-01,1.236276e-01,8.865748e-03,1.225202e-01,2.416134e-01,3.347012e-02,1.131787e-02,3.281442e-02,2.548352e-02	0.083537	0.726403	0.25293	-142742.228481	18	2	no_deam	FS	1	ngsrelateWithRealFreq	0.01725489096845683
childE	childF	91827	0.267009	0.491152	0.241813	7e-06	6e-06	6e-06	3e-06	0.0	4e-06	0.4874	1.3e-05	1.7e-05	0.243703	5e-06	7e-06	0.241813	4e-06	0.241817	0.487409	-1e-06	-141107.143154	110	-1	0.928474	3.979504e-01,1.230856e-01,1.021903e-02,1.220202e-01,2.413451e-01,3.599822e-02,9.769148e-03,3.309971e-02,2.651268e-02	0.08282	0.722175	0.252692	-143233.845741	18	2	no_deam	FS	1	ngsrelateWithRealFreq	0.012036336015028277
