a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program
childB	childI	99380	0.141753	0.497038	0.120846	0.126680	0.113680	0.000000	0.000001	0.000001	0.000000	0.454626	0.000002	0.240361	0.241523	0.000001	0.056840	0.120847	0.000000	0.120847	0.546387	-0.063340	-167565.524651	102	-1	0.999990	4.152033e-01,9.737571e-02,2.304777e-02,1.608006e-01,1.685118e-01,6.587937e-02,1.197515e-02,2.957525e-02,2.763108e-02	0.207837	0.433578	0.142569	-169700.360425	6	8	no_deam	GP	2	ngsrelateWithRealFreq
childD	founder0	99380	0.536288	0.460213	0.003498	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.233605	0.000001	0.000000	0.116803	0.000000	0.000000	0.003498	0.000000	0.003498	0.233605	-0.000000	-171389.572226	110	-1	0.999990	3.322711e-01,1.681669e-01,2.167862e-02,1.688654e-01,1.817601e-01,4.479484e-02,1.980624e-02,4.569178e-02,1.696502e-02	0.228240	0.387545	0.124887	-177410.614729	6	8	no_deam	GP	2	ngsrelateWithRealFreq
childD	founder1	99380	0.537904	0.456695	0.005398	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.233749	0.000004	0.000004	0.116877	0.000004	0.000004	0.005398	0.000004	0.005402	0.233749	0.000000	-171280.978616	82	-1	0.999990	3.354194e-01,1.667356e-01,1.998107e-02,1.705706e-01,1.826265e-01,4.219875e-02,2.211596e-02,4.557322e-02,1.477896e-02	0.230509	0.390916	0.124546	-176452.069806	6	8	no_deam	GP	2	ngsrelateWithRealFreq
childE	founder0	99381	0.529074	0.468120	0.002800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.236866	0.000006	0.000006	0.118436	0.000006	0.000006	0.002800	0.000006	0.002806	0.236866	0.000000	-170870.003708	130	-1	1.000000	3.360175e-01,1.736574e-01,2.339120e-02,1.676958e-01,1.833018e-01,4.621716e-02,1.724168e-02,3.865677e-02,1.382059e-02	0.221672	0.392627	0.128698	-175380.671638	6	8	no_deam	GP	2	ngsrelateWithRealFreq
childE	founder1	99381	0.534892	0.464923	0.000177	0.000000	0.000000	0.000000	0.000000	0.000002	0.000007	0.232645	0.000009	0.000009	0.116326	0.000007	0.000007	0.000178	0.000007	0.000185	0.232647	0.000000	-170852.472888	142	-1	1.000000	3.376401e-01,1.739894e-01,2.143113e-02,1.710791e-01,1.822088e-01,4.392813e-02,1.938881e-02,3.872992e-02,1.160464e-02	0.224028	0.388881	0.126958	-174510.155957	6	8	no_deam	GP	2	ngsrelateWithRealFreq
childF	founder0	99380	0.533637	0.466171	0.000192	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.233278	0.000000	0.000000	0.116639	0.000000	0.000000	0.000192	0.000000	0.000192	0.233278	-0.000000	-170866.641788	126	-1	0.999990	3.354771e-01,1.736280e-01,2.250763e-02,1.670034e-01,1.814053e-01,4.663427e-02,1.845785e-02,4.058681e-02,1.429962e-02	0.225823	0.386942	0.125811	-175980.112288	6	8	no_deam	GP	2	ngsrelateWithRealFreq
childF	founder1	99380	0.543228	0.456622	0.000150	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.228461	0.000000	0.000000	0.114231	0.000000	0.000000	0.000150	0.000000	0.000150	0.228461	-0.000000	-170867.735468	94	-1	0.999990	3.365421e-01,1.742340e-01,2.086536e-02,1.713117e-01,1.803597e-01,4.335453e-02,2.024817e-02,4.035312e-02,1.273128e-02	0.227953	0.383445	0.124223	-175125.747785	9	8	no_deam	GP	2	ngsrelateWithRealFreq
childG	founder1	99380	0.522694	0.476513	0.000791	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.239049	0.000001	0.000001	0.119525	0.000001	0.000001	0.000792	0.000001	0.000792	0.239049	0.000000	-171432.548904	86	-1	0.999990	3.358495e-01,1.655443e-01,1.902017e-02,1.701559e-01,1.808271e-01,4.241533e-02,2.208282e-02,4.856123e-02,1.554365e-02	0.227306	0.386565	0.125101	-176806.025998	6	8	no_deam	GP	2	ngsrelateWithRealFreq
childG	founder2	99379	0.518362	0.480675	0.000958	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.241301	0.000005	0.000005	0.120653	0.000005	0.000005	0.000958	0.000005	0.000963	0.241301	-0.000000	-172211.836581	3574	-1	0.999980	3.299311e-01,1.666987e-01,2.378335e-02,1.603953e-01,1.801158e-01,5.291206e-02,1.814273e-02,4.691013e-02,2.111083e-02	0.232773	0.384171	0.122294	-179654.832866	6	8	no_deam	GP	2	ngsrelateWithRealFreq
childH	founder4	99381	0.422193	0.468288	0.000315	0.000000	0.000005	0.109192	0.000006	0.000000	0.000000	0.234468	0.109199	0.000005	0.117235	0.000003	0.000003	0.000315	0.000000	0.000315	0.289067	0.054596	-174109.891466	98	-1	1.000000	3.490698e-01,1.861983e-01,2.618094e-02,1.395914e-01,1.606281e-01,4.690751e-02,2.866577e-02,4.706993e-02,1.568829e-02	0.341452	0.338440	0.068736	-178650.336833	6	8	no_deam	GP	2	ngsrelateWithRealFreq
