a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program
childD	childG	99379	0.905078	0.094868	0.000052	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.047488	0.000001	0.000001	0.023744	0.000001	0.000001	0.000052	0.000001	0.000053	0.047488	-0.000000	-174306.512402	62	-1	0.999980	2.979175e-01,1.877670e-01,3.640368e-02,1.876132e-01,1.675326e-01,4.029732e-02,3.490104e-02,3.808790e-02,9.479795e-03	0.425617	0.319067	0.031595	-181133.412854	6	8	no_deam	HC	4	ngsrelateWithRealFreq
childE	childG	99380	0.927409	0.072475	0.000109	0.000002	0.000004	0.000000	0.000000	0.000000	0.000001	0.036350	0.000001	0.000008	0.018176	0.000001	0.000003	0.000109	0.000001	0.000110	0.036353	-0.000001	-173878.117972	86	-1	0.999990	2.985161e-01,1.947321e-01,3.981876e-02,1.894062e-01,1.679251e-01,3.987760e-02,3.250391e-02,3.073846e-02,6.481741e-03	0.430684	0.318597	0.029446	-178980.121543	6	8	no_deam	HC	4	ngsrelateWithRealFreq
childF	childG	99379	0.935444	0.064318	0.000230	0.000002	0.000000	0.000004	0.000000	0.000000	0.000001	0.032391	0.000006	0.000003	0.016196	0.000001	0.000001	0.000230	0.000001	0.000231	0.032394	0.000001	-173804.098957	74	-1	0.999980	2.982050e-01,1.937828e-01,3.964338e-02,1.887136e-01,1.669980e-01,3.930615e-02,3.353448e-02,3.258141e-02,7.235255e-03	0.438196	0.316547	0.026183	-179627.877815	6	8	no_deam	HC	4	ngsrelateWithRealFreq
childD	childG	98875	0.912373	0.087481	0.000119	0.000026	0.000000	0.000000	0.000000	0.000000	0.000000	0.043860	0.000001	0.000027	0.021930	0.000000	0.000000	0.000119	0.000000	0.000120	0.043873	-0.000013	-171137.278954	54	-1	0.996282	2.968036e-01,1.883897e-01,3.663176e-02,1.881778e-01,1.677124e-01,4.055820e-02,3.521577e-02,3.725176e-02,9.259066e-03	0.428397	0.318708	0.030409	-177572.876786	10	4	no_deam	HC	4	ngsrelateWithRealFreq
childE	childG	98873	0.928800	0.070388	0.000804	0.000000	0.000000	0.000003	0.000000	0.000000	0.000004	0.036003	0.000007	0.000004	0.018004	0.000005	0.000004	0.000804	0.000004	0.000809	0.036005	0.000001	-170726.556315	102	-1	0.996262	2.983891e-01,1.950935e-01,3.987911e-02,1.894445e-01,1.678732e-01,3.994735e-02,3.244688e-02,3.039161e-02,6.534741e-03	0.430837	0.318422	0.029371	-175538.948102	10	4	no_deam	HC	4	ngsrelateWithRealFreq
childF	childG	98889	0.935630	0.063773	0.000593	0.000000	0.000000	0.000002	0.000001	0.000000	0.000002	0.032482	0.000004	0.000002	0.016242	0.000002	0.000002	0.000593	0.000002	0.000595	0.032483	0.000001	-170668.277096	86	-1	0.996423	2.979188e-01,1.939535e-01,3.991169e-02,1.889498e-01,1.670409e-01,3.939521e-02,3.332052e-02,3.236972e-02,7.140004e-03	0.438409	0.316425	0.026087	-176097.712963	10	4	no_deam	HC	4	ngsrelateWithRealFreq
childD	childG	68450	0.929347	0.054441	0.016212	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.043433	0.000000	0.000000	0.021716	0.000000	0.000000	0.016212	0.000000	0.016212	0.043433	-0.000000	-101476.347771	142	-1	0.696664	2.922190e-01,1.918831e-01,3.549671e-02,1.889792e-01,1.732890e-01,3.906636e-02,3.541709e-02,3.490494e-02,8.744668e-03	0.409223	0.329605	0.039257	-104372.827286	34	1	no_deam	HC	4	ngsrelateWithRealFreq
childE	childG	68406	0.947488	0.047510	0.004999	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.028757	0.000002	0.000002	0.014380	0.000002	0.000002	0.004999	0.000002	0.005002	0.028757	0.000000	-101262.444789	106	-1	0.696216	2.926050e-01,1.988856e-01,3.953942e-02,1.921955e-01,1.714774e-01,3.846969e-02,3.235359e-02,2.881533e-02,5.658455e-03	0.419256	0.323384	0.034557	-103402.825105	38	1	no_deam	HC	4	ngsrelateWithRealFreq
childF	childG	66565	0.962417	0.037414	0.000140	0.000024	0.000001	0.000000	0.000000	0.000000	0.000003	0.018852	0.000003	0.000029	0.009428	0.000003	0.000004	0.000140	0.000003	0.000143	0.018864	-0.000012	-98540.812506	98	-1	0.677479	2.840246e-01,1.936902e-01,3.641402e-02,2.051883e-01,1.781362e-01,4.186206e-02,2.919109e-02,2.649729e-02,4.996282e-03	0.368286	0.334313	0.056983	-101009.056339	34	1	no_deam	HC	4	ngsrelateWithRealFreq
childD	childG	99408	0.905141	0.094729	0.000129	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.047494	0.000001	0.000001	0.023748	0.000001	0.000001	0.000129	0.000001	0.000130	0.047494	-0.000000	-174417.927169	70	-1	1.000000	2.978143e-01,1.882043e-01,3.638525e-02,1.876695e-01,1.676437e-01,4.027769e-02,3.478587e-02,3.781378e-02,9.405664e-03	0.424538	0.319238	0.032057	-181217.105488	5	20	no_deam	HC	4	ngsrelateWithRealFreq
