a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childA	childC	99381	0.535437	0.46453	2.6e-05	0.0	0.0	0.0	0.0	1e-06	6e-06	0.232297	7e-06	7e-06	0.116152	6e-06	6e-06	2.7e-05	6e-06	3.3e-05	0.232298	-0.0	-170791.375931	82	-1	1.0	3.370474e-01,1.730988e-01,2.240370e-02,1.693053e-01,1.806061e-01,4.599299e-02,1.868203e-02,3.996949e-02,1.289425e-02	0.227488	0.384717	0.124667	-175395.786757	6	8	no_deam	HS	2	ngsrelateWithRealFreq	0.028947668558970362
childB	childC	99380	0.543396	0.456597	4e-06	0.0	0.0	0.0	0.0	0.0	2e-06	0.228305	2e-06	2e-06	0.114153	2e-06	2e-06	5e-06	2e-06	6e-06	0.228305	-0.0	-170977.110907	78	-1	0.99999	3.367308e-01,1.760967e-01,2.284335e-02,1.698071e-01,1.789433e-01,4.639008e-02,1.849402e-02,3.863365e-02,1.206093e-02	0.231008	0.378905	0.122042	-175117.117794	6	8	no_deam	HS	2	ngsrelateWithRealFreq	0.03543554355445956
childA	childC	98921	0.537417	0.462557	2.1e-05	0.0	0.0	0.0	0.0	0.0	4e-06	0.231304	4e-06	4e-06	0.115654	4e-06	4e-06	2.1e-05	4e-06	2.6e-05	0.231304	-0.0	-168188.815107	98	-1	0.996745	3.366571e-01,1.727582e-01,2.242127e-02,1.692390e-01,1.807267e-01,4.614306e-02,1.903978e-02,4.001446e-02,1.300038e-02	0.229413	0.384839	0.123865	-172559.581327	10	4	no_deam	HS	2	ngsrelateWithRealFreq	0.030561471272393517
childB	childC	98911	0.54586	0.454103	2.8e-05	5e-06	1e-06	0.0	0.0	1e-06	3e-06	0.227083	4e-06	9e-06	0.113543	3e-06	4e-06	2.8e-05	3e-06	3.1e-05	0.227086	-2e-06	-168259.117138	74	-1	0.996645	3.362497e-01,1.750506e-01,2.333513e-02,1.702487e-01,1.795144e-01,4.651551e-02,1.838242e-02,3.885832e-02,1.184528e-02	0.232391	0.380013	0.121665	-172180.684626	10	4	no_deam	HS	2	ngsrelateWithRealFreq	0.037459644921791074
childA	childC	68513	0.56732	0.432595	7.6e-05	0.0	0.0	0.0	0.0	0.0	1e-05	0.216382	1e-05	1e-05	0.108196	1e-05	1e-05	7.6e-05	1e-05	8.5e-05	0.216382	-0.0	-100425.603981	198	-1	0.697305	3.307186e-01,1.778325e-01,2.368796e-02,1.744522e-01,1.825174e-01,4.327483e-02,1.833408e-02,3.672901e-02,1.245340e-02	0.230236	0.384806	0.123505	-102209.924048	31	1	no_deam	HS	2	ngsrelateWithRealFreq	0.05500127938208955
childB	childC	66809	0.557895	0.442015	8.5e-05	2e-06	0.0	0.0	0.0	0.0	4e-06	0.221096	4e-06	6e-06	0.11055	4e-06	4e-06	8.5e-05	4e-06	8.8e-05	0.221097	-1e-06	-97962.775688	194	-1	0.679962	3.272214e-01,1.707864e-01,2.330273e-02,1.839951e-01,1.914838e-01,4.688627e-02,1.386668e-02,3.260028e-02,9.857282e-03	0.194113	0.40617	0.143343	-99534.683204	27	1	no_deam	HS	2	ngsrelateWithRealFreq	0.04730785162105759
childA	childC	99408	0.533683	0.466307	8e-06	0.0	0.0	0.0	0.0	0.0	2e-06	0.233163	2e-06	2e-06	0.116582	2e-06	2e-06	8e-06	2e-06	9e-06	0.233163	-0.0	-170896.69554	82	-1	1.0	3.372162e-01,1.729636e-01,2.221134e-02,1.689406e-01,1.806727e-01,4.633158e-02,1.872077e-02,4.011805e-02,1.282515e-02	0.226554	0.384995	0.125122	-175541.018164	5	20	no_deam	HS	2	ngsrelateWithRealFreq	0.027506137509048168
childB	childC	99408	0.542993	0.456971	3e-05	1e-06	4e-06	0.0	0.0	0.0	0.0	0.228519	0.0	6e-06	0.11426	0.0	2e-06	3e-05	0.0	3e-05	0.22852	-1e-06	-171070.45608	74	-1	1.0	3.368383e-01,1.758907e-01,2.289539e-02,1.695600e-01,1.791035e-01,4.649251e-02,1.847925e-02,3.876022e-02,1.198018e-02	0.23101	0.379394	0.122136	-175256.023394	5	20	no_deam	HS	2	ngsrelateWithRealFreq	0.03511834178887149
childA	childC	91976	0.548515	0.450325	0.00115	0.0	0.0	0.0	0.0	0.0	1.1e-05	0.226323	1.1e-05	1.1e-05	0.113167	1.1e-05	1.1e-05	0.00115	1.1e-05	0.00116	0.226323	0.0	-147597.367188	210	-1	0.92998	3.351768e-01,1.746100e-01,2.294070e-02,1.696771e-01,1.819949e-01,4.591811e-02,1.898799e-02,3.798500e-02,1.270936e-02	0.230384	0.387125	0.123883	-150949.475472	18	2	no_deam	HS	2	ngsrelateWithRealFreq	0.040094194716941256
childB	childC	91957	0.556231	0.443584	7.5e-05	3.4e-05	5.3e-05	0.0	0.0	1.4e-05	7e-06	0.221915	2.2e-05	0.000108	0.110967	7e-06	3.4e-05	8.9e-05	7e-06	9.6e-05	0.221959	-1.7e-05	-147761.384235	74	-1	0.929788	3.340095e-01,1.769248e-01,2.331613e-02,1.719459e-01,1.801455e-01,4.648725e-02,1.830568e-02,3.715018e-02,1.171508e-02	0.231045	0.37995	0.122228	-150805.776364	18	2	no_deam	HS	2	ngsrelateWithRealFreq	0.04598802757965021
childA	childC	99398	0.534234	0.465749	1.3e-05	0.0	0.0	0.0	0.0	0.0	4e-06	0.232892	4e-06	5e-06	0.116448	4e-06	4e-06	1.3e-05	4e-06	1.7e-05	0.232892	-0.0	-170845.985034	90	-1	1.0	3.371584e-01,1.729708e-01,2.223872e-02,1.691204e-01,1.805925e-01,4.622515e-02,1.871829e-02,4.009587e-02,1.287986e-02	0.226792	0.384756	0.124973	-175494.280801	5	10	no_deam	HS	2	ngsrelateWithRealFreq	0.02795888604123322
childB	childC	99398	0.543712	0.45624	3.9e-05	3e-06	6e-06	0.0	0.0	0.0	0.0	0.228163	0.0	9e-06	0.114082	0.0	3e-06	3.9e-05	0.0	3.9e-05	0.228166	-2e-06	-171023.788429	70	-1	1.0	3.369045e-01,1.760816e-01,2.299773e-02,1.696389e-01,1.789598e-01,4.638529e-02,1.844897e-02,3.861630e-02,1.196689e-02	0.231598	0.379017	0.121812	-175168.020559	6	10	no_deam	HS	2	ngsrelateWithRealFreq	0.03571030693884703
childA	childC	99413	0.535434	0.464496	7.1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.232318	0.0	0.0	0.116159	0.0	0.0	7.1e-05	0.0	7.1e-05	0.232318	-0.0	-172113.306366	90	-1	0.99994	3.356229e-01,1.735221e-01,2.205845e-02,1.695311e-01,1.819816e-01,4.596203e-02,1.864248e-02,3.998077e-02,1.269858e-02	0.223654	0.387445	0.126841	-176728.843157	5	8	deam	HS	2	ngsrelateWithRealFreq	0.028960360339609012
childB	childC	99411	0.54323	0.456738	3.2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.228401	0.0	0.0	0.1142	0.0	0.0	3.2e-05	0.0	3.2e-05	0.228401	-0.0	-172227.239609	66	-1	0.99992	3.354048e-01,1.764897e-01,2.259102e-02,1.700008e-01,1.803195e-01,4.628876e-02,1.839306e-02,3.866839e-02,1.184391e-02	0.227286	0.381684	0.124167	-176383.371503	5	8	deam	HS	2	ngsrelateWithRealFreq	0.03531021838882715
childA	childC	99405	0.532567	0.467366	6.7e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.23375	0.0	0.0	0.116875	0.0	0.0	6.7e-05	0.0	6.7e-05	0.23375	-0.0	-175475.616233	114	-1	0.99992	3.321909e-01,1.745450e-01,2.153664e-02,1.704074e-01,1.851262e-01,4.605217e-02,1.797605e-02,3.966520e-02,1.250041e-02	0.213436	0.393733	0.132473	-179966.930164	7	4	deam	HS	2	ngsrelateWithRealFreq	0.026618238947508654
