a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childA	childD	99380	9.3e-05	0.999865	1e-06	3e-06	3.8e-05	0.0	0.0	0.0	0.0	0.499962	0.0	4.1e-05	0.249986	0.0	1.9e-05	1e-06	0.0	1e-06	0.499973	-2e-06	-159749.56159	126	-1.0	0.99999	3.833758e-01,1.492395e-01,9.833042e-08,1.386995e-01,1.960392e-01,6.111523e-02,1.378499e-05,5.018225e-02,2.133468e-02	7.1e-05	0.491018	0.247703	-163932.521335	10	8	no_deam	PO	1	ngsrelateWithRealFreq	9.464847243000277e-05
childA	childH	99381	0.0	0.776968	0.113789	0.0	0.109234	0.0	9e-06	0.0	0.0	0.584205	9e-06	0.109234	0.305758	4e-06	0.054617	0.113789	0.0	0.11379	0.611516	0.0	-157003.287894	90	-1.0	1.0	4.262343e-01,1.063546e-01,7.478801e-08,1.352397e-01,1.985342e-01,6.210047e-02,2.176715e-06,4.214822e-02,2.938636e-02	1.1e-05	0.574055	0.267232	-159425.962652	13	8	no_deam	PO	1	ngsrelateWithRealFreq	0.14455818845134072
childA	founder0	99381	0.0	0.999907	5.6e-05	3.3e-05	1e-06	0.0	0.0	3e-06	0.0	0.50001	3e-06	3.7e-05	0.250005	0.0	1e-06	5.8e-05	0.0	5.8e-05	0.50003	-1.7e-05	-159298.385588	130	-1.0	1.0	3.867631e-01,1.458145e-01,1.049125e-05,1.341234e-01,1.989027e-01,6.281415e-02,3.501386e-08,5.091366e-02,2.065781e-02	5.3e-05	0.505244	0.251281	-163554.871941	13	8	no_deam	PO	1	ngsrelateWithRealFreq	6.26764176810859e-05
childA	founder1	99381	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500016	0.0	6e-06	0.250009	0.0	3e-06	3e-05	0.0	3e-05	0.500018	-0.0	-159447.352759	126	-159447.394096	1.0	3.865857e-01,1.459612e-01,6.137920e-08,1.414775e-01,1.975733e-01,5.694826e-02,2.152251e-07,5.144554e-02,2.000820e-02	1e-06	0.499133	0.249783	-163128.904098	13	8	no_deam	PO	1	ngsrelateWithRealFreq	0.0
childB	childE	99380	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500018	1e-06	1e-06	0.250009	0.0	0.0	3.7e-05	0.0	3.7e-05	0.500019	-0.0	-159273.44271	110	-159273.49725	0.99999	3.888420e-01,1.467690e-01,2.416508e-06,1.442261e-01,1.985308e-01,5.245668e-02,1.737001e-07,5.196213e-02,1.721066e-02	1.3e-05	0.50208	0.250513	-161919.896039	13	8	no_deam	PO	1	ngsrelateWithRealFreq	0.0
childB	childF	99379	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500022	1e-06	2e-06	0.250011	0.0	1e-06	4.5e-05	0.0	4.5e-05	0.500023	0.0	-159268.685023	138	-159268.751544	0.99998	3.890130e-01,1.466759e-01,1.938611e-06,1.425417e-01,1.975037e-01,5.506308e-02,2.881226e-07,5.095728e-02,1.824305e-02	1.1e-05	0.499706	0.249921	-162295.587215	10	8	no_deam	PO	1	ngsrelateWithRealFreq	0.0
childB	founder0	99380	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500027	1e-06	1e-05	0.250015	0.0	5e-06	5.1e-05	0.0	5.1e-05	0.50003	-0.0	-159345.594127	114	-159345.667243	0.99999	3.871298e-01,1.485179e-01,1.054550e-07,1.338061e-01,1.979649e-01,6.336257e-02,2.604332e-07,4.907319e-02,2.014516e-02	2e-06	0.501482	0.250369	-163268.942368	13	8	no_deam	PO	1	ngsrelateWithRealFreq	0.0
childB	founder1	99380	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500018	1e-06	2.8e-05	0.250013	0.0	1.4e-05	2.2e-05	0.0	2.2e-05	0.500026	-0.0	-159560.746867	118	-159560.818992	0.99999	3.867698e-01,1.488719e-01,5.173100e-08,1.413467e-01,1.964798e-01,5.730987e-02,9.562297e-08,4.952593e-02,1.969586e-02	1e-06	0.494843	0.248704	-162862.898349	13	8	no_deam	PO	1	ngsrelateWithRealFreq	0.0
childC	childG	99380	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500053	6e-06	2.5e-05	0.25003	3e-06	1.2e-05	9.1e-05	0.0	9.1e-05	0.500061	-0.0	-159960.218858	158	-159960.291356	0.99999	3.832189e-01,1.417855e-01,1.343037e-06,1.372030e-01,1.966490e-01,5.990304e-02,1.658339e-06,5.492412e-02,2.631345e-02	1.5e-05	0.499339	0.249828	-165180.174944	10	8	no_deam	PO	1	ngsrelateWithRealFreq	0.0
childC	founder1	99381	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500034	3.3e-05	3e-06	0.250021	1.6e-05	1e-06	5.6e-05	0.0	5.6e-05	0.500044	0.0	-159630.258773	135	-159630.345977	1.0	3.854938e-01,1.394685e-01,1.578520e-07,1.425711e-01,1.972896e-01,5.385896e-02,3.722414e-06,5.826111e-02,2.305305e-02	2e-05	0.500527	0.250123	-164149.973596	13	8	no_deam	PO	1	ngsrelateWithRealFreq	0.0
